title,authors,tags,series,series_index,comments,languages,library_name,#world,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Song of the River","Sue Harrison","Dinamica · Pez fuera del agua, Genero · Ficcion historica, Subgenero · Supervivencia, Tono · Familia disfuncional, Tono · Narrador poco fiable, Tono · Traicion, Tono · Venganza","Storyteller","1.0","**Two ancient tribes on the verge of making peace become foes once more when a double murder jeopardizes a storyteller’s mission** Eighty centuries ago, in the frozen land that is now Alaska, a clubfooted male child had been left to die, when a woman named K’os rescued him. Twenty years later and no longer a child, Chakliux occupies the revered role as his tribe’s storyteller. In the neighboring village of the Near River people, where Chakliux will attempt to make peace by wedding the shaman’s daughter, a double murder occurs that sends him on a harsh, enthralling journey in search of the truth about the tragic losses his people have suffered, and into the arms of a woman he was never meant to love. Song of the River is the first book of the Storyteller Trilogy, which also includes Cry of the Wind and Call Down the Stars.","eng","LFiccion","","","Subgenero · Supervivencia","","Ficción general","80","Primera entrega de la trilogía del narrador; sin romance central.","Storyteller Trilogy","1.0"
"Cry of the Wind","Sue Harrison","Dinamica · Pez fuera del agua, Genero · Ficcion historica, Subgenero · Supervivencia, Tono · Familia disfuncional, Tono · Narrador poco fiable, Tono · Traicion, Tono · Venganza","Storyteller","2.0","Winter looms in this place of icy splendor near the top of the world-chilling a heart already frozen by hatred and cold dreams of revenge?  Experience and adversity have made the storyteller Chakliux a wise and powerful hunter and a man of great respect. But a tender heart is his weakness. In his village lives the beautiful Aqamdax for whom he yearns, though she is mated to a cruel and dangerous tribesman she does not love. It is Chakliux she runs to under a clear, moonlit sky while the village sleeps. But there can be no future for them together until a curse upon their people has been transcended. And then there is K'os, the healing woman--maddened and embittered by the outrage she was forced to endure years earlier--outcast and enslaved by the leader of the enemy tribe against whom she has sworn vengeance. To enact her savage and terrible justice, she will use--and destroy--anyone, if necessary, including the boy-turned-man she rescued in infancy and raised as her son: Chakliux, the storyteller.  Return now to a frozen land in a remarkable time eighty centuries past, when the spirit was tested--and strengthened--by the cruelties of nature and the great mysteries of life.","eng","LFiccion","","","Subgenero · Supervivencia","","Ficción general","85","Tercera parte, misma ambientación histórica.","Storyteller Trilogy","1.0"
"Call Down the Stars","Sue Harrison","Dinamica · Pez fuera del agua, Genero · Ficcion historica, Subgenero · Supervivencia, Tono · Familia disfuncional, Tono · Narrador poco fiable, Tono · Traicion, Tono · Venganza","Storyteller","3.0","The thrilling conclusion in the acclaimed Storyteller Trilogy weaves an intricate tale of two storytellers, the quick-witted female Qumalix and the silver-tongued man Yikaas, who vie to entrance their tribe with extraordinary and magical legends that detail the origins and adventures of their people. Reprint.","eng","LFiccion","","","Subgenero · Supervivencia","","Ficción general","85","Continuación, leyendas y aventuras.","Storyteller Trilogy","1.0"
"Madre Tierra, Padre Cielo","Sue Harrison","Dinamica · Pez fuera del agua, Genero · Ficcion historica, Subgenero · Supervivencia, Tono · Familia disfuncional, Tono · Venganza","Ivory Carver","1.0","Narra la terrible peripecia de Chagack, una joven cuyo pueblo de cazadores es aniquilado por un grupo de invasores sanguinarios. Chagak se aventura al mar en una frágil embarcación. El destino la lleva al encuentro a Shunagan, un anciano que vive en soledad en una playa remota. Shunagan, que posee el don de tallar figuras humanas y animales y participa del poder de los espíritos, la acoge y protege. Sin embargo, muy pronto la tragedia vuelve a rondar la vida de Chagak: un joven y brutal cazador la posee por la fuerza y deja su simiente en las entrañas de la joven. Desesperados, Shuganan y Chagak cometen un acto extremo en defensa de sus vidas, sin imaginar las terribles consecuencias del mismo. No obstante, la presencia de Kayugh y su gente, un puñado de hombres que han escapado de la catástrofe que devastó su aldea, da un vuelco inesperado a la atribulada existencia de Chagak.","spa","LFiccion","","","Subgenero · Supervivencia","","Ficción general","80","Primera entrega de la trilogía del marfil; el romance no es central.","Ivory Carver Trilogy","1.0"
"Mi Hermana La Luna","Sue Harrison","Dinamica · Pez fuera del agua, Genero · Ficcion historica, Subgenero · Supervivencia, Tono · Familia disfuncional, Tono · Venganza","Ivory Carver","2.0","**In prehistoric Alaska, an Aleut girl, unwanted and abused, changes the destiny of her tribe.** Gray Bird wanted only sons. His daughter, Kiin, would have been killed at birth to make way for a male heir if not for the tribal chief, Kayugh, who claimed the infant as a future wife for one of his two young sons. Sixteen years later, Kiin is caught between the two brothers: one to whom she is promised, the other whom she desires. But the evil spawned by her own family takes her far from her people to a place where savage cruelties, love, and fate will strengthen and change her, and lead her to her ultimate destiny.","spa","LFiccion","","","Subgenero · Supervivencia","","Ficción general","80","Segunda entrega, con subtrama romántica pero centrada en la supervivencia tribal.","Ivory Carver Trilogy","1.0"
"Mi Hermano El Viento","Sue Harrison","Dinamica · Pez fuera del agua, Genero · Ficcion historica, Subgenero · Supervivencia, Tono · Familia disfuncional, Tono · Venganza","Ivory Carver","3.0","Tercera entrega de la serie que Sue Harrison inició con la novela Madre Tierra, Padre Cielo y prosiguió con Mi Hermana la Luna.Mi Hermano el viento continúa la reconstrucción novelada de la vida de los indios americanos de hace 9.000 años, en los tiempos en que la Tierra no era más que una gran masa helada donde el ser humano luchaba día a día por su supervivencia. En esta ocasión, la autora presenta la vida de tres tribus diferentes, tres grupos de hombres, distintos en su concepción de la vida, cuyos destinos, sin embargo, están entrelazados. Situada en alaska, la novela utiliza como hilo argumental la historia de Kiin quien, a la muerte de su marido en una pelea de cuchillos, se encuentra sola, forzada a casarse y partir con el hombre que acabó con la vida de su esposo, dejando atrás a uno de sus dos hijos gemelos.Pero su fuerza y entereza de corazón la ayudarán a sobreponerse y a superar los obstáculos que la naturaleza y los hombres pongan en su destino. La historia de Kiin sirve para describir con detalle la vida y las costumbres de estos primeros habitantes de América. Gracias a una ingente labor de investigación. Sue Harrison ha sabido convertir sus tres obras en un completo y cuidado tratado antropológico en el que se unen la veracidad histórica y el placer narrativo.","spa","LFiccion","","","Subgenero · Supervivencia","","Ficción general","80","Tercera entrega; la trama principal es la vida tribal y la superación personal.","Ivory Carver Trilogy","1.0"
"La Canción Del Río","Sue Harrison","Dinamica · Pez fuera del agua, Genero · Ficcion historica, Subgenero · Supervivencia, Tono · Familia disfuncional, Tono · Narrador poco fiable, Tono · Traicion, Tono · Venganza","Storyteller","1.0","Mediado el séptimo milenio a. de C., las islas de la península de Alaska estaban habitadas por los antepasados de los aleutianos, grupos casi aislados que libraban una lucha sin cuartel para sobrevivir en uno de los entornos más hostiles imaginables. En condiciones de vida tan extremas no resulta sorprendente que un bebé diferente, nacido en la tribu de Río Cercano con un pie curvo y los dedos palmeados, fuera considerado una maldición y abandonado a su suerte...","spa","LFiccion","","","Subgenero · Supervivencia","","Ficción general","80","Novela de supervivencia prehistórica sin romance central ni elementos fantásticos.","Storyteller Trilogy","1.0"
"El Aullido Del Viento","Sue Harrison","Dinamica · Pez fuera del agua, Genero · Ficcion historica, Subgenero · Supervivencia, Tono · Familia disfuncional, Tono · Narrador poco fiable, Tono · Traicion, Tono · Venganza","Storyteller","2.0","Winter looms in this place of icy splendor near the top of the world-chilling a heart already frozen by hatred and cold dreams of revenge?  Experience and adversity have made the storyteller Chakliux a wise and powerful hunter and a man of great respect. But a tender heart is his weakness. In his village lives the beautiful Aqamdax for whom he yearns, though she is mated to a cruel and dangerous tribesman she does not love. It is Chakliux she runs to under a clear, moonlit sky while the village sleeps. But there can be no future for them together until a curse upon their people has been transcended. And then there is K'os, the healing woman--maddened and embittered by the outrage she was forced to endure years earlier--outcast and enslaved by the leader of the enemy tribe against whom she has sworn vengeance. To enact her savage and terrible justice, she will use--and destroy--anyone, if necessary, including the boy-turned-man she rescued in infancy and raised as her son: Chakliux, the storyteller.  Return now to a frozen land in a remarkable time eighty centuries past, when the spirit was tested--and strengthened--by the cruelties of nature and the great mysteries of life.","spa","LFiccion","","","Subgenero · Supervivencia","","Ficción general","85","Traducción de Cry of the Wind, mismo contenido.","Storyteller Trilogy","1.0"
"La Invocación De Las Estrellas","Sue Harrison","Dinamica · Pez fuera del agua, Genero · Ficcion historica, Subgenero · Supervivencia, Tono · Familia disfuncional, Tono · Narrador poco fiable, Tono · Traicion, Tono · Venganza","Storyteller","3.0","Hechizados por la magia de las palabras, la bella Qumalix y los jóvenes Yikaas y Kuy´aa prestan atención a las fascinantes historias que relatan los miembros de sus tribus: los Cazadores del Mar y los del pueblo de los Botes.  Entrelazando las historias de Yikaas e Hija, Sue Harrison vuelve a sus lectores con los personajes que llegaron a amar en los dos primeros libros de la trilogía Storyteller. Chakliux se ha convertido en el líder de una gran aldea donde él y su esposa Aqamdax son narradores, los conocedores de las tradiciones de su pueblo. La paz ha reinado desde que la malvada K'os fue desterrada a vivir como esclava de los Primeros Hombres. Pero entonces, el Mar del Norte trae a K'os un increíble regalo, un arma que puede rescatarla de la esclavitud y restaurar su poder sobre el pueblo del Río.  Sobre la base de las leyendas Sedna de los inuit, Invocación de las Estrellas no es sólo un estudio del arte del narrador, sino también la crónica llena de tensión de una batalla entre el bien y el mal, donde el amor se convierte en el peón de la venganza y el perdón en la única arma que tiene Chakliux para asegurar la supervivencia de su pueblo.","spa","LFiccion","","","Subgenero · Supervivencia","","Ficción general","80","Continúa la saga prehistórica; el amor es secundario frente a la trama tribal.","Storyteller Trilogy","1.0"
"An English Rose","Allyson R. Abbott","Genero · Ficcion historica, Tono · Familia disfuncional, Tono · Maldicion/Transformacion","","1.0","A compelling and humorous insight of past years and present dilemma’s as Rose reflects on her usefulness in later life. Just as she acknowledges and accepts her sell-by-date is approaching, life suddenly becomes interesting again, in more ways than one.","eng","LFiccion","","","","","Ficción general","80","Sinopsis de reflexiones vitales, sin romance central ni elementos de género.","",""
"Brighter Than Her Fears","Lisa Ard","Dinamica · Age gap, Dinamica · Desequilibrio de poder, Dinamica · Matrimonio fingido/conveniencia, Genero · Ficcion historica, Tono · Familia disfuncional, Tono · Maldicion/Transformacion","","1.0","**The 19th century women's rights movement and the rise of public education intertwine with one woman's story of struggle, perseverance, and love.** When her father dies and the family inn falls to ruin in 1882, western North Carolina, thirty-year-old Alice Harris is compelled to marry Jasper Carter, a Civil War veteran twice her age. Far from home and a stranger in a new family, Alice remakes herself. She learns to farm tobacco, mothers her stepson, and comes to love her husband.However, Alice uncovers pending trouble with the family's land holdings, which threatens their livelihood on the farm. The growth in Asheville promises a different future—one of manufacturing, transportation, tourism, and wealth. Alice believes this future demands an education and she rebels against the limited rural instruction. She joins forces with other women campaigning for Asheville's first public schools. Her actions spark the rebuke of the Carter men. Tragedy strikes and Alice's newfound security is ripped away. The family challenges her property rights and files for guardianship of her stepson. Battered but determined, Alice turns to the law—and a friendly court clerk—to fight for her independence. Will Alice lose everything? Not if she can help it. **Lisa Ard's debut historical fiction novel will resonate with readers for its parallels, between then and now, on women's rights, inequality, and racism.**
","eng","LFiccion","","","Dinamica · Matrimonio fingido/conveniencia, Dinamica · Age gap","","Romance histórico","70","Historia ambientada en 1882 donde el matrimonio y el amor son centrales junto a la lucha por la educación; romance histórico terrenal.","",""
"Destiny","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","1.0","<p><P>An ancient order tied to the Vatican...<br> A blood fortune buried in the caves of France...<br> A conspiracy of power, greed and darkest evil... </P>  <P>Archaeologist and explorer Annja Creed's fascination with the myths and mysteries of the past leads her to a crypt in the caves of France, where the terrifying legend of the Beast of Gevaudan hints at the unimaginable. What she discovers is shattering: an artifact that will seal her destiny; a brotherhood of monks willing to murder to protect their secret; and a powerful black-market occultist desperate to put his own claim to centuries-old blood money. Annja embarks on a high-tension race across Europe and history itself, intent on linking the unholy treachery of the ages with the staggering revelations of the present. But she must survive the shadow figures determined to silence her threat to their existence.</P>  EDITORIAL REVIEW:  **An ancient order tied to the Vatican . . . A blood fortune buried in the caves of France . . . A conspiracy of power, greed and darkest evil . . .**      Archaeologist and explorer Annja Creed's fascination with the myths and mysteries of the past leads her to a crypt in the caves of France, where the terrifying legend of the Beast of Gevaudin hints at the unimaginable. What she discovers is shattering: an artifact that will seal her destiny: a brotherhood of monks willing to murder to protect their secret; and a powerful black-market occultist desperate to put his own claim to centuries-old blood money. Annja embarks on a high-tension race across Europe and history itself, intent on linking the unholy treachery of the ages with the staggering revelations of the present. But she must survive the shadow figures determined to silence her threat to their existence.  <div><p class=""description"">EDITORIAL REVIEW:</p> <p class=""description"">**An ancient order tied to the Vatican . . . A blood fortune buried in the caves of France . . . A conspiracy of power, greed and darkest evil . . .**    </p> <p class=""description"">Archaeologist and explorer Annja Creed's fascination with the myths and mysteries of the past leads her to a crypt in the caves of France, where the terrifying legend of the Beast of Gevaudin hints at the unimaginable. What she discovers is shattering: an artifact that will seal her destiny: a brotherhood of monks willing to murder to protect their secret; and a powerful black-market occultist desperate to put his own claim to centuries-old blood money. Annja embarks on a high-tension race across Europe and history itself, intent on linking the unholy treachery of the ages with the staggering revelations of the present. But she must survive the shadow figures determined to silence her threat to their existence.</p></div>","eng","LFiccion","","","Subgenero · Fantasia urbana, Tono · Oscuro","","Fantasía","90","Artefacto en cuevas francesas, leyenda de la Bestia de Gévaudan; tesoro maldito y espada mágica.","Rogue Angel","1.0"
"Solomon's Jar","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","2.0","Priceless artifact sparks a quest to keep untold power from the wrong hands... Rumors of the discovery of Solomon's Jar--in which the biblical King Solomon bound the world's demons after using them to build his temple in Jerusalem--are followed with interest by Annja Creed. An archaeologist intrigued by the arcane, Annja pursues the truth about the vessel and its ancient origins. Her search leads her to a confrontation with a London cult driven by visions of a new world order; and a religious zealot fueled by the insatiable desire for glory. Across the sands of the Middle East to the jungles of Brazil, Annja embarks on a relentless chase to stop humanity's most unfathomable secrets from reshaping the modern world.","eng","LFiccion","","","Paranormal · Angeles y demonios, Subgenero · Fantasia urbana, Tono · Oscuro","","Paranormal","90","Novela de la saga Rogue Angel: arqueóloga con espada sobrenatural enfrenta demonios y artefactos bíblicos.","Rogue Angel","1.0"
"The Spider Stone","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","3.0","In the crumbling remains of a tunnel that was part of the Underground Railroad, a mysterious artifact reveals one of the darkest secrets of Africa's ancient past. Intrigued by the strange, encrypted stone, archaeologist Annja Creed opens a door to a world—and a legend—bound by a fierce and terrible force. She is not alone in her pursuit of the impossible.  A bloodthirsty African warlord, and an international corporate magnate exploiting a land, a culture and a people, are equally anxious to stake their claim on the relic's unknown power. Annja's odyssey deep into the primeval jungles of Senegal becomes a desperate race to stop those eager to unleash the virulence of the Spider God….","eng","LFiccion","","","Paranormal · Angeles y demonios, Subgenero · Fantasia urbana, Tono · Oscuro","","Paranormal","90","Piedra críptica y el Dios Araña; misterio africano con deidad sobrenatural.","Rogue Angel","1.0"
"The Chosen","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","4.0","Archaeologist Annja Creed believes there's more to the apparitions of Santo Niao--the Holy Child--luring thousands of pilgrims to Santa Fe. Other sightings of strange and anomalous creatures in the area indicate a mystery more profane than sacred--with links, perhaps, to Annja's own fate. But she is not alone in her quest to separate reliquaries from unholy minds who dare to harness sinister power. A dangerous yet enigmatic Jesuit, sworn to protect the Vatican at any cost, a brilliant young artist whose genius portrays a truth too potent for words and a famed monster hunter with a terrifying agenda are the keys to the secrets that lie in the heart of Los Alamos--and unlocking the door to the very fabric of time itself.  GraphicAudio...A Movie in Your Mind is a unique audio entertainment experience that features a full cast of actors, sound effects and cinematic music.  Publisher's Weekly says ""Graphic Audio delivers an action and sound effect loaded audiobook that lives up to its tagline, A movie in your mind.""  Audiofile Magazine says, GraphicAudio sets the gold standard for full-cast dramatizations, and new listeners will become instant fans.","eng","LFiccion","","","Paranormal · Angeles y demonios, Subgenero · Fantasia urbana, Tono · Oscuro","","Paranormal","90","Apariciones del Santo Niño y criaturas extrañas; trama de viaje en el tiempo y poder sobrenatural.","Rogue Angel","1.0"
"Forbidden City","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","5.0","A stunning artifact holds the key to an untapped power of global destruction-- 
While working on a dig in the California wilderness, archaeologist-adventurer Annja Creed uncovers evidence of a tragedy that's linked to Chinese miners during the days of the Gold Rush. A sudden attack on the site by shadow if gures drives Annja to if nd the connection to a mysterious buried city in China. Lured by legends of gold, betrayal and the vengeance of a Han Dynasty overlord, Annja travels on the Orient Express, battling avaricious treasure hunters and a modern-day descendant of an ancient league of assassins. Her adversaries will stop at nothing to stake their claim on the fabled lost city, where a Han leader's dark past promises doom for those who dare to reveal its evil power.
EDITORIAL REVIEW: A stunning artifact holds the key to an untapped power of global destruction— While working on a dig in the California wilderness, archaeologist-adventurer Annja Creed uncovers evidence of a tragedy that's linked to Chinese miners during the days of the Gold Rush. A sudden attack on the site by shadow if gures drives Annja to if nd the connection to a mysterious buried city in China. Lured by legends of gold, betrayal and the vengeance of a Han Dynasty overlord, Annja travels on the Orient Express, battling avaricious treasure hunters and a modern-day descendant of an ancient league of assassins. Her adversaries will stop at nothing to stake their claim on the fabled lost city, where a Han leader's dark past promises doom for those who dare to reveal its evil power. 
EDITORIAL REVIEW:
A stunning artifact holds the key to an untapped power of global destruction— 
While working on a dig in the California wilderness, archaeologist-adventurer Annja Creed uncovers evidence of a tragedy that's linked to Chinese miners during the days of the Gold Rush. A sudden attack on the site by shadow if gures drives Annja to if nd the connection to a mysterious buried city in China. Lured by legends of gold, betrayal and the vengeance of a Han Dynasty overlord, Annja travels on the Orient Express, battling avaricious treasure hunters and a modern-day descendant of an ancient league of assassins. Her adversaries will stop at nothing to stake their claim on the fabled lost city, where a Han leader's dark past promises doom for those who dare to reveal its evil power.
A stunning artifact holds the key to an untapped power of global destruction-- While working on a dig in the California wilderness, archaeologist-adventurer Annja Creed uncovers evidence of a tragedy that's linked to Chinese miners during the days of the Gold Rush. A sudden attack on the site by shadow if gures drives Annja to if nd the connection to a mysterious buried city in China. Lured by legends of gold, betrayal and the vengeance of a Han Dynasty overlord, Annja travels on the Orient Express, battling avaricious treasure hunters and a modern-day descendant of an ancient league of assassins. Her adversaries will stop at nothing to stake their claim on the fabled lost city, where a Han leader's dark past promises doom for those who dare to reveal its evil power.
","eng","LFiccion","","","Subgenero · Fantasia urbana","","Fantasía","90","Ciudad perdida china con poder oscuro; amenaza sobrenatural y espada de Juana de Arco.","Rogue Angel","1.0"
"The Lost Scrolls","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","6.0","Ancient papyrus scrolls recovered among the charred ruins of the Library of Alexandria reveal astonishing texts that detail the wonders of Atlantis--knowledge that could shatter the blueprint of world energy. Archaeologist Annja Creed confronts shadow figures determined to preserve empires built on power, greed and global manipulation, finding unlikely allies in a mysterious American with connections in high places, and a young linguistics prodigy with attitude. Dodging a petroleum conglomerate and their pet killers on a high-speed chase that leads from Egypt to the North Sea oil fields to the urban battlegrounds of China, Annja becomes an unwilling conspirator in a bid for power to control the beating heart of the world's energy. GraphicAudio...A Movie in Your Mind is a unique audio entertainment experience that features a full cast of actors, sound effects and cinematic music. Publisher's Weekly says ""Graphic Audio delivers an action and sound effect loaded audiobook that lives up to its tagline, A movie in your mind."" Audiofile Magazine says, GraphicAudio sets the gold standard for full-cast dramatizations, and new listeners will become instant fans.","eng","LFiccion","","","Subgenero · Fantasia urbana, Tono · Oscuro","","Paranormal","90","Pergaminos de la Biblioteca de Alejandría que revelan la Atlántida; energía mundial y conspiración.","Rogue Angel","1.0"
"God of Thunder","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","7.0","**Recovering artifacts.   Deciphering codes.   Cheating death.   And that's just the beginning...** Archaeologist Annja Creed narrowly escapes an attack by unknown figures when she tries to collect a package near her loft. She later learns that the sender--an old colleague named Fellini--has been brutally murdered. Fellini had been researching the Hammer of Thor, the Norse god of thunder, and had linked it to a Viking warrior and a twelfth-century Latvian village. A coded message in Fellini's package leads Annja on a wild chase along the canals of Venice to Latvia for more clues to an ancient treasure. Rumored to be hidden deep in the forests of Latvia for nine hundred years, this fabled prize is also sought by a ruthless corps of mercenaries. And they will do anything to find it. Including killing Annja Creed.","eng","LFiccion","","","Tono · Picante/Erotico, Ambientacion · Piratas, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fae/Feerico, Subgenero · Espionaje/Espias, Paranormal · Vampiros","","Misterio·Thriller·Terror","90","Aventura de arqueología con búsqueda de tesoros y peligro, sin romance central.","Rogue Angel","1.0"
"Secret of the Slaves","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","8.0","**The city of Promise holds the key to eternal life for some. Death for others.** When archaeologist Annja Creed is hired to find the lost city of Promise in Brazil, she is more than intrigued. Legends abound of a magical place where slaves were rumored to have discovered the secret to eternal youth and life. But strangers are not welcome in Promise.  Annja soon learns that the residents have gone to extreme lengths to guard their precious secret. Making her way from the steamy port of Belem to the brutal slums of Northeast Brazil, Annja faces unexpected peril, from poisoned arrows to Amazonian anacondas. As she navigates through a land where spirituality collides with the material world, Annja must distinguish between what is real and what is imagined for fear of making a wrong move. Because anyone or *anything* could be her enemy.  And she's getting too close....","eng","LFiccion","","","Tono · Picante/Erotico, Ambientacion · Piratas, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fae/Feerico, Subgenero · Espionaje/Espias, Paranormal · Vampiros","","Misterio·Thriller·Terror","90","Ciudad perdida de la eterna juventud en Brasil, peligros y leyendas.","Rogue Angel","1.0"
"Warrior Spirit","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","9.0","a priceless artefact could restore a family's honour ? or destroy everything in its wake. While vacationing in Tokyo, archaeologist Annja Creed is approached by a man who desperately needs her help. Kennichi Ogawa, the last descendant of an ancient warrior family, is trying to locate a stolen artefact. Legend has it that the vajra was mystically endowed by a warrior's spirit to help the Yumegakure–ryu family forever be a source for good. But the vajra could help the forces of evil if it gets into the wrong hands. And now the bloodthirsty Yakuza and a group of hired ninja are after it. As Annja and Kennichi trek through the fog–enshrouded mountains of the Iga province to find the relic, they must also outsmart the vicious Yakuza and ninja who are dangerously close to uncovering the vajra first...and to destroying their competition.","eng","LFiccion","","","Paranormal · Angeles y demonios, Subgenero · Fantasia urbana, Tono · Oscuro","","Paranormal","90","Vajra mística imbuida de espíritu guerrero; Yakuza y ninjas en busca del artefacto sagrado.","Rogue Angel","1.0"
"Serpent's Kiss","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","10.0","Some say they are a cursed people. But those who try to find them will be just as unlucky… Working on a dig on the southern coast of India, the last thing Annja Creed expects is to be hit by a tsunami. Or to strike archaeological gold. But that’s exactly what happens when several objects wash ashore in the storm.  The relics carry unfamiliar markings that hint at a legendary city. Excited by the prospect of discovering a culture believed lost to civilization, Annja embarks on a perilous journey deep into the heart of danger.  She learns of a mysterious artifact that could provide clues to the whereabouts of the lost city, which means trekking through an inhospitable jungle and forbidding terrain. But nature’s denizens and death traps are not the only someone else is also pursuing the prize. Just as Annja’s grail comes into view, she must ward off an even greater evil. Because deep in the Nilgiris mountains is a race of people that the world forgot.  And they don’t like strangers.","eng","LFiccion","","","Tono · Picante/Erotico, Ambientacion · Piratas, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fae/Feerico, Subgenero · Espionaje/Espias, Paranormal · Vampiros","","Misterio·Thriller·Terror","90","Tsunami revela reliquias de ciudad perdida en India, persecución y tribu hostil.","Rogue Angel","1.0"
"Provenance","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","11.0","When a mysterious man orchestrates an attack on archaeologist Annja Creed and then offers her an assignment, Annja is baffl ed. But the mission is too intriguing for her to refuse. She must fi nd an object that possesses a sacred and powerful secret offering atonement to anyone who uncovers it—or wreaking havoc on the world.  Stolen from an ancient order of knights, the relic is now in the clutches of a band of pirates sailing the South China Sea. When a government leader threatens to destroy the pirate ship—along with the artifact—rather than let it get into the wrong hands, Annja must decide at what cost the sacred prize should be protected. Destroying it would defi le history. But saving it could bring about apocalypse.","eng","LFiccion","","","Tono · Picante/Erotico, Ambientacion · Piratas, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fae/Feerico, Subgenero · Espionaje/Espias, Paranormal · Vampiros","","Misterio·Thriller·Terror","90","Reliquia sagrada en manos de piratas, amenaza apocalíptica y acción.","Rogue Angel","1.0"
"The Soul Stealer","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","12.0","Annja Creed jumps at the chance to join a fellow archaeologist on a quest to find a relic. But she’s not so thrilled about northern Siberia, where they are hoping to discover something buried in the long-undisturbed soil of Russia’s frozen terrain. When they reach the town of Jakutsk, Annja is put off by its gray landscape and highly superstitious inhabitants. They claim they are being hunted. Then one of the villagers goes missing.  The locals blame the Khosadam, a ghost of a fallen goddess said to ingest the souls of the departed. But there are no fresh graves. She is now hunting the living. When Annja seeks to destroy the apparition, she discovers an even more horrifying truth—and may have hit a dead end.","eng","LFiccion","","","Subgenero · Fantasia urbana, Tono · Oscuro","","Paranormal","90","Aparición de una diosa fantasma que roba almas; mundo real con elemento sobrenatural insertado.","Rogue Angel","1.0"
"Gabriel's Horn","Alex Archer","Arquetipo · Heroe reticente, Arquetipo · Mentor sabio, Dinamica · Grupo variopinto/Ragtag, Dinamica · Pez fuera del agua, Paranormal · Magia, Subgenero · Aventura/Quest","Rogue Angel","13.0","The stranger could be insane. Or he just might be our salvation.   
Archaeologist Annja Creed is more than curious when a decrepit, ancient-looking man visits her, claiming the end of the world is near. The stranger spins wild tales and speaks as if he actually knew King Arthur. But, strangest of all, he insists that Annja is the only one who can stop the horrible event that is about to happen.   
When Annja's mentor and friend Roux goes missing, she quickly realizes there may be something to the stranger's stories. Making her way through the dark and violent underbelly of Istanbul, Annja must find her missing friend and the Holy Grail before the relic gets   
into the wrong hands. She may not fully believe the fate of the world is on the line, but she doesn't really want to die fi nding out.
","eng","LFiccion","","","Subgenero · Fantasia urbana","","Fantasía","90","Búsqueda del Santo Grial en Estambul; profecía del fin del mundo; espada mágica y elementos artúricos.","Rogue Angel","1.0"
