title,authors,tags,series,series_index,comments,languages,library_name,#language_code,#world,#subjects,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Anchors Away and Murder","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fiona Fleming Cozy Mysteries","7.0","A seventh cozy mystery installment to die for!  A Crew-less Kind of Week  “Good morning, Sheriff. How’s Montpelier?” He and Jill were at a conference in the state capital, gone since last Sunday night. He’d been great to keep in touch, calling when he knew I’d be alone, usually about this time of day and again late enough at night we had lots of time to talk. Did he really know me that well, my schedule? Apparently. Made me feel a happy little bubble of joy, like we were really a couple. Weren’t we?  “Good morning, Miss Fleming,” he said in that deep gravel voice of his that made me shiver and grin all over again. “I’m bored silly, ready to come home tomorrow and wishing you’d come with me instead of Jill.”  Well, growl, Sheriff Turner.  With Petunia’s and the annex packed to the brim, Fee’s business is booming. When the yacht club’s president dies under mysterious circumstances, she discovers her bed and breakfast isn’t her only source of employment. Newly partnered with her father in Fleming Investigations, Fee reaches out to Crew to come home and solve the case. Trouble is, he’s vanished and no one will tell her where he’s gone. Worst of all? That leaves Robert, of all people, sitting in the sheriff’s seat to head butt with Fee and John with Olivia’s job again in the balance. (PLEASE The choice of AWAY instead of AWEIGH in the title is intentional!)","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Misterio en el club de yates con desaparición del sheriff.","Fiona Fleming Cozy Mysteries","1.0"
"Guns and Ammo and Murder","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fiona Fleming Cozy Mysteries","8.0","An anxious kind of month  “Any new threats against you?” Pamela seemed eager for my answer while I tsked at her.  “Are you actually asking me if I’ve had any further nasty messages left in my mailbox?” There’d been more than a few since she’d gleefully published my first column. I figured there’d be pushback, but threatening to hurt my dog, my business and my koi? Unacceptable. And while Crew seemed to think none of the threats were real, he was still worried, though he never once asked me to stop writing because he was a smart, smart boy.  Tensions are high as a pending election pits incumbent mayor Olivia Walker against Patterson lackey Geoffrey Jenkins, threatening Crew’s job as sheriff and his place in Reading. Fee and her mother, meanwhile, agree to assist the owner of a new hunting retreat with the first batch of guests. To their horror, not only are they cut off from the rest of Reading by an accidental beaver dam demolition, they are forced to investigate a murder while Fee wrestles with her past and the fact she’s still not over her ex.  Don't miss a single volume in the Fiona Fleming Cozy Mysteries! Find books one through five available    Bed and Breakfast and Murder   Chocolate Hearts and Murder   Fame and Fortune and Murder   Ghosts and Goblins and Murder   Ganache and Fondant and Murder   Ropes and Trees and Murder   Anchors Away and Murder","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Elecciones locales y asesinato en un retiro de caza, Fee investiga.","Fiona Fleming Cozy Mysteries","1.0"
"Runways and High Heels and Murder","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fiona Fleming Cozy Mysteries","9.0","An empowering kind of moment I had no idea hitting someone could be so emotionally satisfying. Not that I condoned violence on a regular basis, but I did happen to be known for my temper. Still, I usually took the pacifist route on the outside, if I tended to boil over on the inside. This opportunity to actually use my fists to strike out at another human being had much more appeal than I should have allowed myself. And the tight grin and panting half-hiccup, half giggle that escaped me every time I punched Matt honestly had to go. Self-defense class was fun, yo. Fee and Crew have fallen into a delightful romance while Reading’s continuing popularity keeps her busy at work. When a fashion show comes to town, Fee finds herself hosting Vivian French’s favorite designer at Petunia’s, along with the drama that entails. But when one of the elite ends up dead, it’s the drama between her loved ones that gets Fee the most riled up while she does her best to solve yet another murder. Don't miss a single volume in the Fiona Fleming Cozy Mysteries! Find books one through five available Bed and Breakfast and Murder Chocolate Hearts and Murder Fame and Fortune and Murder Ghosts and Goblins and Murder Ganache and Fondant and Murder Ropes and Trees and Murder Anchors Away and Murder Guns and Ammo and Murder","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Pasarela de moda y asesinato, serie cozy.","Fiona Fleming Cozy Mysteries","1.0"
"Plaid and Fore! And Murder","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fiona Fleming Cozy Mysteries","10.0","A mulligan kind of instant “Sorry about the whole clandestine next state over photo adventure,” Crew said. “It’s not like anyone else is looking since those treasure hunters debunked the idea.” I remembered Olivia’s disappointment, how she’d invested so much time and effort into the Captain Reading branding. If only she knew… Daisy made a noise, a choking, nervous sound that made me sigh. “Day,” I said, voice low and doing my best not to feel disappointed despite knowing what she was about to say. “It’s okay. Just tell us.” She met my eyes, her gray ones huge, while Crew waited, photos limp in his hands but zero judgment on his face, either. “I’m sorry,” she whispered, head hanging now. “It’s not just us. I told Rose everything.” When a golf pro falls victim to murder during a tournament hosted at the White Valley Golf and Country Club, Fee finds herself embroiled in the mystery while the hunt for the Reading hoard heats up and secrets behind the disappearance of Fiona Doyle are finally revealed. Don't miss a single volume in the Fiona Fleming Cozy Mysteries! Find books one through five available Bed and Breakfast and Murder Chocolate Hearts and Murder Fame and Fortune and Murder Ghosts and Goblins and Murder Ganache and Fondant and Murder Ropes and Trees and Murder Anchors Away and Murder Guns and Ammo and Murder High Heels and Runways and Murder","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Asesinato en torneo de golf, misma serie.","Fiona Fleming Cozy Mysteries","1.0"
"Whips and Spurs and Murder","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fiona Fleming Cozy Mysteries","11.0","An epic kind of year There were times when I made truly bad choices in life, moments when I knew better but I just couldn’t seem to help myself. You know what I mean, right? How logic and common sense seem to diverge with the powerful urge to act despite the innate understanding such actions will likely get you into a world of trouble and may not, in the end, be worth it? And, despite knowing all that, no matter how much you work to convince yourself some things are better left undone, let go, abandoned you just can’t seem to allow yourself the freedom to be a good, normal person and simply mind your own business. Wait. Was that just me? Sigh. Yeah. Just me. Okay then. Fiona Fleming’s plans to sneak into the exclusive Patterson wedding are interrupted when she stumbles on yet another body. With Crew out of town and the sheriff’s department short staffed, Fee finds herself investigating alongside his former FBI partner, Elizabeth Michaud. While she does her best to solve the murder, she uncovers further mysteries around the ruling family of the cutest town in America. Don't miss a single volume in the Fiona Fleming Cozy Mysteries! Find books one through ten available Bed and Breakfast and Murder Chocolate Hearts and Murder Fame and Fortune and Murder Ghosts and Goblins and Murder Ganache and Fondant and Murder Ropes and Trees and Murder Anchors Away and Murder Guns and Ammo and Murder High Heels and Runways and Murder Plaid and Fore! and Murder","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Boda exclusiva y asesinato, tono cozy.","Fiona Fleming Cozy Mysteries","1.0"
"Something Borrowed, Something Blue and Murder","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fiona Fleming Cozy Mysteries","12.0","**An old kind of new** Crew closed the distance between us, my head suddenly tucked under his chin, hands pressing me to him, rocking me gently, softly while he whispered my name in my ear. “Fee, I love you. I stayed for you, from the first time we met. I knew it was you.”Damn it, Crew Turner. Stop that right now. He turned me slightly, still holding me, and went on. “For better or worse, this place is home, now.” He nodded to Vivian who nodded back. “No matter what happens, I guess I’m about to become a Fleming.” I laughed at that through my tears, while Dad chuckled and Mom tsked. But, knowing Reading? That was exactly what everyone would think.Poor Crew.With a fresh death in none other than her beloved Petunia’s, and her wedding hanging in the balance, Fee must accept a role she never expected while doing her best to catch a murderer, all while realizing there’s a very good chance someone has it out for her…","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Boda y asesinato en Petunia's, tono cozy.","Fiona Fleming Cozy Mysteries","1.0"
"Pirate Gold and Murder","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fiona Fleming Cozy Mysteries","13.0","** *A swashbuckling kind of life* **  *I could honestly say there was nothing more incredible than opening my eyes to find a pair of gorgeous blue ones staring right back at me. I'd been enjoying this particular view for the last six months, with many, many more mornings to come. The rest of our lives together, to be exact, minus a few the delicious man I'd married was out of town.  How lucky could I possibly get?*  Happily married and ready for the truth, Fee and Crew go on an official search to find out if Reading's hoard actually exists. But treasure hunting takes a nasty turn when one of the dive team searching for gold goes belly up. To make matters worse, a second death adds to Fee's body count, leaving her juggling two murders and more mysteries than even a Fleming knows what to do with.  In this final installment of the **Fiona Fleming Cozy Mysteries** , will Fee finally uncover the secret of her namesake, Blackstone Corporation, Captain Reading's lost treasure and more?  Don't miss a single volume in the **Fiona Fleming Cozy Mysteries**! Find books one through twelve available now:  ** *Bed and Breakfast and Murder   Chocolate Hearts and Murder   Fame and Fortune and Murder   Ghosts and Goblins and Murder   Ganache and Fondant and Murder   Ropes and Trees and Murder   Anchors Away and Murder   Guns and Ammo and Murder   High Heels and Runways and Murder   Plaid and Fore! and Murder   Whips and Spurs and Murder   Something Borrowed, Something Blue, and Murder* **","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Búsqueda de tesoro con asesinatos, serie cozy.","Fiona Fleming Cozy Mysteries","1.0"
"Deck the Halls and Murder","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fiona Fleming Cozy Mysteries","14.0","A cozy kind of Christmas  The annual Christmas parade and tree lighting is interrupted when a corpse—rather than Santa—takes center stage. With her father’s investigation into the original crime under question, Fee pursues the truth while trying to hang onto her holiday spirit without spoiling her chances at a date with Sheriff Crew Turner.  PLEASE NOTE (possible spoiler alert): Deck The Halls and Murder takes place AFTER Fiona Fleming Cozy Mysteries #4 (Ghosts and Goblins and Murder). Reading to that point prior to this volume is strongly recommended.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Misterio durante desfile navideño con un cadáver.","Fiona Fleming Cozy Mysteries","1.0"
"Haute Couture and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","9.0","**Fancy dresses, ancient history and murder!**  
  
Fiona Fleming's return to the Big Apple has her helping out an old friend while reliving the past. But Vivian French's troubles turn from a bit of sleuthing to something much more deadly when the Queen of Wheat's foray into the world of high fashion design ends in death. Can Fee put aside her memories in time to save Vivian from losing her dream? Or worse, get sent to prison for murder?  
  
Available now from **Fleming Investigations Cozy Mysteries:  
Patent Pending and Death  
Inquiring Minds and Death  
Finding Zen and Death  
All In and Death  
Out With the Old and Death  
Tropical Destinations and Death  
Family Enterprise and Death**
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Cozy mystery con investigadora principal, sin romance central.","Fleming Investigations Cozy Mysteries","1.0"
"Patent Pending and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","1.0","Fiona Fleming is back, and, just her luck, the bodies keep piling up! Happily married and diving into her new career, Fee finds herself once again embroiled in the heart of mysteries she can’t seem to stop solving. At least this time she’s actually legit. Acting as local investigator for her co-owned Fleming Investigations private eye firm while her father, John, takes care of things more far flung, Fee not only uncovers the wrongdoings she's been hired to solve, but stumbles yet again over death, mayhem and murderers bent on keeping their secrets to themselves.  Welcome back to Reading, Vermont, the cutest (and deadliest!) town in America!","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Retorno a Reading, casos de asesinato.","Fleming Investigations Cozy Mysteries","1.0"
"Finding Zen and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","3.0","The women’s retreat weekend was supposed to relax Fee, not lead to murder! When an unwelcome guest goes belly up, and Mother Nature interferes in a cry for the cavalry, Fee is on the case, doing her best to find the killer before she becomes the next victim.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Retiro de mujeres que termina en asesinato, Fee investiga.","Fiona Fleming Cozy Mysteries","1.0"
"All in and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","4.0","When Fee is hired as extra security for a poker tournament, she fully expects to learn a thing or two. Trouble is, when one of the players dies during play, she not only has to use her specialized skills to figure out who killed him, she’s forced to do so under threat of arrest courtesy of her hated cousin, Sheriff Robert Carlisle. Will the right person end up behind bars or will Fee go to jail for trying find a killer?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Misterio cozy con protagonista que investiga la muerte de un jugador de póker.","Fiona Fleming Cozy Mysteries","1.0"
"Out With the Old and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","5.0","When Fee and Crew are invited to a New Year’s Eve soiree at Emile and Daisy’s amazing penthouse, the last thing she wants is to get dolled up and pretend to have a good time when she would prefer to stay home and spend the evening with her husband. Trouble is as trouble does, naturally, so her plans to retreat after an hour are thwarted when one of the guests—a popular social media influencer—turns up dead and it’s up to her to solve the mystery before the clock turns to midnight.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Misterio en fiesta de Año Nuevo, cozy.","Fleming Investigations Cozy Mysteries","1.0"
"Tropical Destinations and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","6.0","When Fee and Daisy take a well-earned vacation on a private resort island, the intrusion of a third wheel distracts while Fee struggles to reconnect with her bestie. Trouble is, when a fellow guest turns up dead, she’s torn between work and pleasure that could possibly spell the end of her life-long friendship and, if she doesn’t get her act together, mean both she and Daisy won’t get a chance to reconcile because they’ll both be dead…","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Vacaciones en isla con asesinato, misma serie.","Fleming Investigations Cozy Mysteries","1.0"
"Inquiring Minds and Death","Patti Larsen","Cozy Mystery, Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations","2.0","Now a fully licensed PI and working her own cases, Fee’s professional future comes into question once again with the discovery of an opponent’s body. She quickly uncovers ties to old crimes that could mean motive for murder, though her sympathies for the prime suspect could interfere with her ability to solve the crime…
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Continuación de la misma serie cozy mystery.","Fleming Investigations Cozy Mysteries","1.0"
"Family Enterprise and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","7.0","***The Cutest (Criminal) Town in America…?** *  Fiona Fleming expected green beer and Irish music for St. Patrick’s Day, not the murder of a local organized crime stoolie whose death puts her little town back into the crosshairs. But was he killed because of the O’Shea crime family or was his cause of death more personal—and therefore closer to home? With a Virginia State Police’s BCI detective breathing down her neck, Fee puts her investigative skills to the test against the Reading sheriff’s department, the head of the O’Shea crime family and her own father in order to find the truth.  **Available now from Fleming Investigations Cozy**   ***Patent Pending and Death   Inquiring Minds and Death   Finding Zen and Death   All In and Death   Out With the Old and Death   Tropical Destinations and Death** *","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Muerte de un soplón de la mafia local, investigación de crimen organizado.","Fiona Fleming Cozy Mysteries","1.0"
"Clinical Trials and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","8.0","Finding a cure for cancer can be murder…  When Reading’s ME, Dr. Lloyd Aberstock, asks Fiona Fleming to investigate a clinical trial, she’s on the case immediately. With the life and death balance of his beloved Bernice in peril, Fee digs into Dr. Aberstock’s concerns with help from her own husband, Crew. Fee uncovers deceit, sabotage and corporate espionage, all while trying to stay under the radar when one of the trial’s doctors ends up dead. But is the drug a fraud, or will the death of its creator put Bernice’s recovery at risk by ending the trial early?  **Available now from Fleming Investigations Cozy Mysteries:**   Patent Pending and Death   Inquiring Minds and Death   Finding Zen and Death   All In and Death   Out With the Old and Death   Tropical Destinations and Death   (Family Enterprise and Death – March 29th)","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Investigación de un ensayo clínico y muerte de un médico.","Fiona Fleming Cozy Mysteries","1.0"
"Medical Examinations and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","10.0","**Friends in need, old secrets and death!** The last thing Fee expected to be investigating is a murder so close to home—and her heart. When tragedy strikes a beloved Reading family, it’s up to Fee and the team at Fleming Investigations to protect the ones they care about and keep BCI Detective Rowan Mallory from sending the wrong person to prison for murder. But when the lead suspect is a close and personal friend who seems to think he’s guilty… what’s a redhead to do but prove him wrong?  Available now from **Fleming Investigations Cozy Mysteries** :   ***Patent Pending and Death   Inquiring Minds and Death   Finding Zen and Death   All In and Death   Out With the Old and Death   Tropical Destinations and Death   Family Enterprise and Death* **   ** *Haute Couture and Death (May 31st)* **","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Mismo estilo, asesinato cercano.","Fleming Investigations Cozy Mysteries","1.0"
"Fireworks, Family Feuds and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","11.0","**Strained relations, ancient history and death!** Still struggling with her recent loss, Fee is forced to confront her extended family when her aunt and uncle come to visit. But when the town's Independence Day celebration ends in murder, she has to decide if blood is thicker than old conflicts and whether she's willing to help when Robert is named as a suspect.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Celebración del 4 de julio con asesinato y conflicto familiar.","Fiona Fleming Cozy Mysteries","1.0"
"Running Pass and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","12.0","**College dreams, sketchy contracts and death!** Lucy’s volunteer efforts at Reading High School lure Fee into the testosterone-laced world of football. To her surprise, billionaire Nelson Delamonte shows interest in the local star. Trouble is, he’s not counting on murder or the fact he’s one of the suspects. Can Fee find out who did it before Fleming Investigations loses its best client?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Misterio relacionado con fútbol y cliente billonario.","Fleming Investigations Cozy Mysteries","1.0"
"Overturned Ruling and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","13.0","**Old scores, pending labor and death!** Fee’s ready to pop, but that doesn’t keep her from the job when an old enemy comes back to Reading for a showdown. But when the source of threat ends up dead, can Fee figure out who did the deed before she’s arrested—baby bump and all—for murder?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Enfrentamiento con viejo enemigo, tono cozy.","Fleming Investigations Cozy Mysteries","1.0"
"One for the Road and Death","Patti Larsen","Genero · Fantasia, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Fleming Investigations Cozy Mysteries","14.0","In this final book of the Fleming Investigations Cozy Mysteries, Fee does her best to uncover the truth behind the death of a business owner while wrangling an unhappy new police chief, a recently promoted homicide detective and the thirty-nine weeks of her pregnancy. Can she solve the case before the babies arrive--or will her last case before motherhood end with the wrong person behind bars?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Último caso antes de la maternidad, tono cozy.","Fleming Investigations Cozy Mysteries","1.0"
"Write, Edit, Kill","Bella Forrest","Subgenero · Thriller psicologico","Detective Erin Bond","2.0","**LEAVE A REVIEW?  
HE MIGHT BE AFTER YOU...**
Join Detective Erin Bond on a wild and chilling new case - the most unique of her career - chasing a killer so daring he deliberately leaves clues. 
Buy now... if you dare, dear reader.
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Detective chases a killer who leaves clues; thriller.","Erin Bond","1.0"
"Bare Girl","Bella Forrest","Subgenero · Thriller psicologico","Detective Erin Bond","1.0","**A page-turning serial killer thriller**
*From million-bestselling author Bella Forrest comes a dark and delicious new crime novel...*
Megastar Isabel Morales has never been one to shy away from controversy. But after a particularly daring, full-nude shoot on Wall Street, it's not only the media that has spiraled into a frenzy. Fans, and heck, the entire world seem to be turning against her. 
Rants, insults and death threats - Isabel has experienced it all in her time... But never like this. 
Her stunt was meant to be a statement of empowerment to women - a show of taking back her body from the capitalists who claim it as their own. But people don't get it. 
When Isabel vanishes in broad daylight from a building, Private Investigator Erin Bond receives a desperate call from Isabel's manager requesting her to join forces with the police in the case. 
Erin suspects she's in for the ride of her career, but given Erin's own celebrity status as an abducted child, she never thought it could become the ride of her life... 
Nothing is as it seems in the search for Isabel Morales. 
Buy now to join the hunt...
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Serial killer thriller; missing celebrity; private investigator.","Erin Bond","1.0"
"Meet Your Baker","Ellie Alexander","Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","Bakeshop Mystery","1.0","Welcome to Torte-a friendly, small-town family bake shop where the treats are so good that, sometimes, it's criminal...  After graduating from culinary school, Juliet Capshaw returns to her quaint hometown of Ashland, Oregon, to heal a broken heart and help her mom at the family bakery. The Oregon Shakespeare Festival is bringing in lots of tourists looking for some crumpets to go with their heroic couplets. But when one of Torte's customers turns up dead, there's much ado about murder...  The victim is Nancy Hudson, the festival's newest board member. A modern-day Lady Macbeth, Nancy has given more than a few actors and artists enough reasons to kill her...but still. The silver lining? Jules's high school sweetheart, Thomas, is the investigator on the case. His flirtations are as delicious as ever, and Jules can't help but want to have her cake and eat it too. But will she have her just desserts? Murder might be bad for business, but love is the sweetest treat of all...","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Primer cozy mystery de la serie, asesinato en la panadería, sin romance central.","A Bakeshop Mystery","1.0"
"A Batter of Life and Death","Ellie Alexander","Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","Bakeshop Mystery","2.0","**Welcome to Torte-a small-town family bakeshop where the coffee is hot, the muffins are fresh, and the cakes are definitely to die for...** * * * ****It's autumn in Ashland, Oregon-'tis the season for a spiced hot apple cider with a serving (or two) of Torte's famous peach cobbler. It's also the perfect time for Jules Capshaw to promote her family's beloved bake shop by competing in The Pastry Channel's reality show,* Take the Cake*. The prize is $25,000. But as Jules quickly learns, some people would kill for that kind of dough. *Literally*.  Then, just as Jules dusts off her Bavarian Chocolate Cake recipe and cinches up her apron, the corpse of a fellow contestant is discovered- *death by buttercream*. What began as a fun, tasteful televised adventure has morphed into something of a true-crime detective show for Jules and everybody else on set. Who could have killed Chef Marco, and why? Can Jules sift out the killer before someone else gets burned?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Cozy mystery con asesinato en concurso de repostería, sin romance central.","A Bakeshop Mystery","1.0"
"On Thin Icing","Ellie Alexander","Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","Bakeshop Mystery","3.0","Welcome to Torte-a small-town family bakeshop where the treats are killer good.  It's the dead of winter in the sleepy town of Ashland, which means no tourists-and fewer customers-for Jules Capshaw and her bakery. But when she's asked to cater an off-season retreat for the directors of the Oregon Shakespeare Festival, business starts heating up...until Jules finds a dead body in the freezer.  Someone at the retreat has apparently iced the bartender, a well-known flirt with a legendary temper-that is, before a killer beat him to the punch. Then, from out of nowhere, Jules's own ex-husband shows up at the shop-and soon becomes a suspect. With accusations piling up higher than the snow-and thicker than a chocolate mousse cake-Jules has to think outside the (recipe) box to find the real culprit...and make sure he gets his just desserts.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Cozy mystery sobre un cadáver en una panadería, sin romance central.","Bakeshop Mystery","1.0"
"Caught Bread Handed","Ellie Alexander","Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","Bakeshop Mystery","4.0","**Welcome to Torte—a friendly, small-town family bake shop where the oven is heating up as high as the body count…** * * * ****Jules Capshaw is still chewing over her husband Carlos’s return to Ashland, Oregon. Could there be too many cooks in the kitchen? Whatever is stirring between those two will have to wait. Despite the Oregon Shakespeare Festival being dark for the winter, the bakeshop is bustling, the dough is rolling, and there’s no rest for the weary…especially when murder is thrown into the mix.  When Mindy Nolan, the owner of a new restaurant in town, turns up dead, the batter at hand thickens. Jules knows that there was bad blood between Mindy and others in town, and tracking down the killer could prove to be an unwelcome treat. And to top it all off, there’s Carlos, who is pleading—with those delicious dark eyes and sexy Spanish accent—for Jules to take him back. Is home where the heart is or will she make a fresh start…and risk getting burned?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Cozy mystery con asesinato de restauradora, sin romance central.","A Bakeshop Mystery","1.0"
"Fudge and Jury","Ellie Alexander","Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","Bakeshop Mystery","5.0","**Welcome to Torte—a friendly, small-town family bakery where the pastries are delicious…and, now, suspicious.** It’s almost spring in Ashland, Oregon, and the town is preparing for the Shakespeare and the annual Chocolate Festival. Business is cookin’ at Torte, and the store is expanding as Jules’ team whips up crèpes filled with mascarpone cheese and dark chocolate. Torte stands a chance of being this year’s confectionery belle of the ball! Life couldn’t be sweeter—unless murder taints the batter.  Evan Rowe, of Confections Couture, makes a chocolate fountain that would put Willy Wonka to shame, and his truffles are to die for— *literally*? Yes, the world-renowned chocolatier has just turned up dead…right after sampling a slice of Jules’ decadent four-layer chocolate cake. Now all eyes are on Jules as she tries to find the mysterious ingredient in her own recipe. Can she sift out the truth before another contestant bites the buttercream?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Cozy mystery en festival de chocolate, sin romance central.","A Bakeshop Mystery","1.0"
"A Crime of Passion Fruit","Ellie Alexander","Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","Bakeshop Mystery","6.0","**Torte—everybody’s favorite small-town family bakeshop—is headed for the high seas, where murder is about to make a splash...** Jules Capshaw is trying to keep her cool as Torte gets set to make its transformation from quaint, local confectionary café to royal pastry palace. Meanwhile, Jules’s estranged husband Carlos is making a desperate plea for her to come aboard his cruise ship and dazzle everyone with her signature sweets. She may be skeptical about returning to her former nautical life with Carlos but Jules can’t resist an all-expense-paid trip, either. If only she knew that a dead body would find its way onto the itinerary...","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Cozy mystery a bordo de un crucero, sin romance central.","A Bakeshop Mystery","1.0"
"Another One Bites the Crust","Ellie Alexander","Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","Bakeshop Mystery","7.0","**Torte―the beloved small-town bakeshop run by Jules Capshaw―is set to hit the stage. But who would have guessed that murder would makes a surprise appearance?**  
It’s the role of a lifetime for Jules. The Shakespeare Festival has returned to Ashland, Oregon, for the season and Torte has been cast as the supplier of Elizabethan-era treats for the main event. But on the eve of opening night, a brawl between Jules’s friend Lance, the artistic director, and a strapping young thespian named Anthony almost brings down the house. . .and the next morning, Anthony is dead. Jules knows that Lance loves his drama―and his just desserts―but she also knows that murder is way off-script for him. Now it’s up to Jules to cut through a bevy of backstage betrayals and catty co-stars who all have their own secrets―before the curtain drops on someone else. . .
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Cozy mystery tras bambalinas del festival Shakespeare, sin romance central.","A Bakeshop Mystery","1.0"
