title,authors,tags,series,series_index,comments,#language_code,#subtitle,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Barcino","Maria Carme Roca","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Una novela cargada de acción y emoción que nos transporta a Barcino, la Barcelona romana.Barcino, siglo II. La fama de un hombre traspasa las fronteras de la época. Se trata de Luci Minici Natal Quadroni Ver, hijo de una ilustre familia de la colonia, hombre de gran atractivo, militar y político brillante, que gana, en el año 129, una peligrosa carrera de cuadrigas.Sin embargo, una sombra se cierne sobre héroe de Barcino. Ni el éxito profesional, ni la amistad y el amor que siente hacia Kyrene, ni la devoción que le profesa su esposa, Fausta, pueden borrar las huellas de un esclavo que marcó su propia infancia y parece esconderse detrás de toda traición y asesinato: Teseo.Una novela cargada de acción y emociones; una lectura trepidante que transportará al lector a la apasionante Barcelona romana y le descubrirá los secretos más íntimos de un personaje que paseó con orgullo el nombre de su ciudad por todo el mundo.
","spa","","Historical Fiction","","","Ficción general","70","Novela histórica ambientada en la Barcino romana, con acción y romance secundario.","",""
"La Mujer de Las Nueve Lunas","Carmen Torres Ripa","Historical Fiction.Middle Ages.High.12th Century, Topic.People & Places.Europa.Spain, _Biblioteca.Ficcion Historica","","1.0","Samuel Beyhe, un joven sacerdote experto en mística en plena crisis de fe, recibe un encargo de sus superiores vaticanos: investigar la vida y obra de Hildegard de Bingen, una abadesa de la Edad Media, teóloga, profetisa y visionaria, que revolucionó la jerarquía eclesiástica de su época.  
Lo que empieza siendo una investigación, pronto se convierte en una vertiginosa carrera por descifrar una profecía que afectará irremediablemente al papel de la mujer dentro de la Iglesia Católica. Y también en un peligroso juego donde la rompedora visión de Hildegard en torno a la verdad, la fe, el sexo y el amor cambiarán la vida de Samuel para siempre.
","spa","","Women's Fiction, Literature.European Literature.Spanish Literature, Historical Fiction.Middle Ages.High.12th Century","","","Misterio·Thriller·Terror","80","Thriller religioso sobre una profecía de Hildegard de Bingen, sin romance central.","",""
"El país de las promesas.","Sofia Caspari","Ficción Histórica, _Biblioteca.Ficcion Historica","Argentinien-Saga","1.0","En el verano de 1863, las jóvenes Anna y Viktoria se conocen durante su travesía en barco desde Alemania hacia Buenos Aires. Ambas van a reunirse con sus maridos, que las precedieron en el viaje por motivos muy distintos: el de Viktoria, un acaudalado hacendado argentino, tuvo que regresar a su país para atender negocios urgentes, mientras que la humilde familia de Anna no podía permitirse pagar todos los billetes a la vez. En esa tierra lejana, en la que ambas han depositado grandes esperanzas, sus caminos se separan. Sin embargo, el prometedor futuro de Viktoria se tuerce dramáticamente, y a Anna la aguarda una terrible noticia, cosa que propiciará que sus vidas vuelvan a cruzarse. 
Ésta es una espléndida novela llena de amor y desamor, de venturas y desventuras, que relata la historia de dos mujeres decididas a perseguir sus sueños en un mundo en el que todo parecía posible.
","spa","","Historical Fiction","Tono · Angst/Drama emocional","","Romance histórico","90","Romance central entre dos mujeres que viajan a Argentina en 1863, con drama emocional.","",""
"El taller de los libros prohibidos","Eduardo Roca","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Colonia, albores del siglo xv. Aires de reforma y cambio azotan una Europa gobernada aún por las supercherías y las viejas creencias. La difusión del saber está en poder de unos pocos. Sin embargo, a un pequeño grupo de sabios y eruditos que se reúnen en la más absoluta clandestinidad les une una ambición común: la transmisión cultural entre el pueblo. ¿Cómo? A través de los libros. Pero antes habrán de salvar las reticencias de la Iglesia —que no desea que obras «peligrosas» como los Evangelios lleguen al vulgo— y la de los nobles —que no quieren perder sus privilegios—. Solo un hombre, un modesto orfebre llamado Lorenz, ayudado por su hija, será capaz de afrontar el desafío. Aunque el precio que podría pagar por semejante osadía es el más caro: su vida y la de todos aquellos que le rodean. 
Una intensa y épica novela en la que la ambición, la crueldad y la intolerancia lucharán contra el saber, la justicia y la verdad, y en la que nos sumergiremos y dejaremos llevar por la magia que envuelve a los libros.
","spa","","Historical Fiction","","","Ficción general","80","Novela histórica sobre la difusión de libros en el siglo XV, sin romance central.","",""
"Todo lo que soy","Anna Funder","Ficción Histórica, Topic.People & Places.Europe.Germany, _Biblioteca.Ficcion Historica","","1.0","¿Qué sientes cuando tratas de avisar de un peligro y nadie te escucha?¿Qué sientes al recordar un amor que te volvió ciega a la real idad?¿Qué sientes frente al miedo?Cuando Hitler llegó al poder, yo estaba en la bañera...comenta Ruth Wesemann, sentada en el sillón de su casa en Sidney. Esta mujer de más de ochenta años tiene mucho que recordar, y su mente vuelve una y otra vez a los años treinta del siglo pasado, cuando Ruth, su prima Dora y los hombres que ellas amaban tuvieron que dejar Alemania, exiliarse en Londres y desde allí luchar para mostrar al mundo entero cuáles eran las intenciones reales de Hitler.En ese intento lo arriesgaron todo y Dora, la querida Dora, una mujer menuda y fuerte, apasionada a la hora de actuar y generosa en los juegos del amor, está más presente que nunca en la memoria de Ruth, la única que ha tenido la ocasión de sobrevivir y ahora tiene el deber de recordar, de contar su verdad, de asumir culpas y desengaños.La memoria, llena de dolor y teñida de ironía, es la protagonista de Todo lo que soy, una espléndida novela que nos lleva a Austerlitz o Los emigrados, de W.G. Sebald.","spa","","Historical Fiction, Cultural.Europe.Germany","","","Ficción general","90","Novela literaria sobre exiliados del nazismo, memoria y política, sin romance central.","",""
"El Sol Bajo La Seda","Éric Marchal","Historical Fiction.Modern.17th Century, _Biblioteca.Ficcion Historica","","1.0","Un apasionante retrato histórico de la Europa de finales del siglo XVII en el que la sociedad se enfrenta a los avances y las controversias de la ciencia médica de la época. La epopeya de un carismático cirujano ambulante que, guiado por la ambición de revolucionar la medicina, se ve abocado a una trepidante aventura en la que no falta el amor, la pasión, la guerra y las intrigas cortesanas. «Un formidable fresco histórico al estilo de Ken Follett.» Le Figaro Littéraire «La novela histórica del año. Y, sin duda, una de las mejores de los últimos diez años.» GÉRARD COLLARD, librero, cronista y fundador de la librería La Griffe Noire «Como Ken Follett, Marchal relata con virtuosidad, gran atención a los detalles, precisión y pasión, la vida de una época centrándose en la rivalidad entre los médicos de la facultad y los cirujanos ambulantes.» Le Journal de Montréal
","spa","","Historical Fiction.Modern.17th Century","","","Ficción general","70","Fresco histórico sobre un cirujano en el siglo XVII, con romance secundario.","",""
"María de Nazaret","Marek Halter","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","&lt;P class=description&gt;¿Quién no conoce el nombre de María, madre de Jesús, la que engendró la mayor conmoción espiritual desde la aparición del monoteísmo? Sin embargo, lo que nos dicen los Evangelios se resume en unos pocos versículos elípticos y misteriosos.Marek Halter dedicó varios años a esta novela, imaginado quién fue esa Miriam de Nazaret, nacida en un caótico reino de Israel en permanente lucha contra la ocupación romana. ¿Qué vínculos mantenía con la resistencia judía y con uno de sus jefes más populares, un tal Barrabás? ¿Y con los esenios de Damasco, de la secta de los terapeutas? ¿Y con su primo lejano, Juan el Bautista? Desde su infancia en Polonia, donde el culto a María domina la Iglesia Católica, Marek Alter se sintió fascinado por esta joven judía, clave en el origen del cristianismo.El resultado fue una novela de gran éxito en Francia y traducida en veintidós países.","spa","","Historical Fiction","","","Ficción general","80","Novela histórica sobre María de Nazaret, sin romance central ni elementos fantásticos.","",""
"El Fuego de Bronce","Jesús Villanueva Jimenez","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","El 25 de julio de 1797, el legendario almirante ingles Horatio Nelson perdió un brazo en la única derrota de su carrera: la fallida invasión de Santa Cruz de Tenerife, puente para conquistar las Islas Canarias y convertirlas en un nuevo Gibraltar. La defensa fue una gesta heroica en la que el teniente general Antonio Gutiérrez de Otero, con poco más de trescientos soldados y el concurso de milicias sin formación militar (y de un cañón, El Tigre, que alcanzó celebridad aquella jornada), venció a dos mil hombres bien instruidos de la flota británica, dueña del Atlántico. En medio de esos momentos dramáticos, protagonista de unos acontecimientos que pondrán en juego su vida, Fermín, un joven grancanario que huye de su pasado, llega al que será escenario del combate. Ignora que allí le aguardan el dolor y la gloria... y también dos personas, Damián y Pilar, que el destino va a cruzar en su camino para siempre. Los tres conocerán los límites de la amistad, del amor y de la lealtad, a la espera de una paz en la que puedan ver realizados sus sueños.
","spa","","Historical Fiction","Tono · Angst/Drama emocional, Subgenero · Belica/Guerra","","Romance histórico","70","Romance central ambientado en la batalla de Santa Cruz de Tenerife (1797), con triángulo amoroso y drama bélico.","",""
"A la sombra de la sabina","Dimas Vaquero Peláez","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Se trata de una novela histórica sobre la Guerra civil y la Memoria de la represión durante la guerra civil española, donde la ficción de una novela no ha superado a la verdad, ni la realidad de los hechos nunca fueron una ficción.","spa","","Historical Fiction","Subgenero · Belica/Guerra","","Ficción general","90","Novela histórica sobre la Guerra Civil española y la represión, sin romance central.","",""
"22 Britannia Road","Amanda Hodgkinson","Ficción Histórica, Military & Wars, Military & Wars.World War II (1939-1945), Topic.People & Places.Europa.England, _Biblioteca.Ficcion Historica","","1.0","Silvana y Januscz se reencuentran en Londres tras seis años de obligada separación a causa de la Segunda Guerra Mundial. Por fin retomarán su vida junto a su hijo Aurek, aunque sea lejos de su Polonia natal. Pero lo que debería ser un reencuentro feliz toma un giro sorprendente. Ya nada es como antes. La guerra los ha convertido en dos extraños con secretos.
","spa","","Historical Fiction, Military & Wars, Literature.European Literature.British Literature, Contemporary.20th Century.World War II (1939-1945)","","","Ficción general","90","Novela histórica sobre el reencuentro de una familia polaca tras la Segunda Guerra Mundial, sin romance central.","",""
"1914. El asesinato de Sarajevo","Eladi Romero García","_Biblioteca.Ficcion Historica","","1.0","El 28 de junio de 1914, siete nacionalistas bosnios aguardaban en Sarajevo, capital de Bosnia, al archiduque Francisco Fernando de Habsburgo con intención de asesinarlo. La preparación del atentado había sido orquestada desde Serbia, donde una organización militar secreta llamada la Mano Negra hacía lo posible por unir a su territorio a todas las minorías serbias de los Balcanes, incluidas las de Bosnia, ahora dependientes de los Habsburgo. El magnicidio tuvo éxito gracias a una casualidad que permitió al estudiante Gavrilo Princip, miembro del comando, disparar contra el archiduque y su esposa. Ambos fallecieron, iniciando así un conflicto que acabaría convirtiéndose en una guerra de enormes dimensiones, la Primera Guerra Mundial. El presente relato narra de forma novelada cómo se preparó el atentado desde Belgrado, cómo se llevó a cabo y cómo fueron juzgados sus responsables, tratando el suceso al estilo de una novela de intriga en la que la diplomacia austrohúngara y alemana mueven los hilos para que estalle una guerra que ya muchos, demasiados, anhelaban.","spa","","Historical Fiction","","","Ficción general","90","Novela histórica sobre el asesinato de Sarajevo y la Primera Guerra Mundial, sin romance central ni elementos fantásticos.","",""
"El abogado de Indias","Amós Milton García Orozco","_Biblioteca.Ficcion Historica","","1.0","Una novela actual y sin embargo histórica, donde los personajes, los pleitos, los enfrentamientos entre administraciones, los sobornos y los entresijos de una justicia débil con los arrogantes, pero arrogante con los débiles, era una práctica habitual, que apenas si ha variado con el paso del tiempo. Después de redactar varios miles de cuentos cortos en forma de querellas, demandas o requerimientos, Milton decidió escribir El abogado de Indias, basada en dos escenarios; la Sevilla del siglo XVI, donde la sangre y el oro fluían a raudales, y la administración de justicia que imperaba en una época en permanente estado de ebullición.
","eng","","Historical Fiction","","","Ficción general","80","Novela histórica de temática legal ambientada en la Sevilla del siglo XVI, sin romance central.","",""
"El destino de un guerrero","Fabio Sorrentino","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Narona, febrero de 33 a. C. El veterano de la XIX legión, Lucio Fabio Silano, recibe un extraño y misterioso papiro que lo obligará a dejar apresuradamente a sus compañeros de armas en Dalmacia y viajar hacia Brundisium. El joven cónsul Octavio exige su inmediata presencia para encomendarle una importante y delicada misión en Alejandría. Acompañado por un viejo mercader griego de borrascoso pasado y una tripulación de jóvenes y astutos cartagineses, Lucio Fabio Silano afrontará peligrosas travesías marítimas, extenuantes marchas, intrigas políticas y asesinatos, hasta adentrarse en las regiones más recónditas e inaccesibles de Asia Menor…","spa","","Historical Fiction","","","Ficción general","90","Aventura histórica en la Roma del 33 a.C. con misiones e intrigas políticas, sin romance central.","",""
"El Amor Más Grande. La Historia De Amor Más Conmovedora De La Segunda Guerra Mundial","Olga Watkins","Ficción Histórica, Military & Wars, _Biblioteca.Ficcion Historica","","1.0","Éste es el fascinante y dramático testimonio del viaje de Olga, una joven que no dudó en llegar hasta el mismísimo corazón del Tercer Reich para buscar al hombre que amaba.Cuando agentes de la Gestapo detienen a su prometido Olga no duda en embarcarse en un viaje de tres mil kilómetros a través de la Europa ocupada arriesgando su vida sin temor ni a los arrestos ni a la traición ni a la muerte. A medida que avanza la Segunda Guerra Mundial y cuando ya se atisba su trágico desenlace la joven se niega a rendirse incluso cuando su misión la lleva hasta las puertas de los campos de concentración de Dachau y Buchenwald...El amor más grande recoge las luces y las sombras de una época dolorosa, y se convierte en un documento real de la situación extrema a la que se vieron abocados millones de personas en Europa. Una obra enternecedora que revela hasta dónde se puede llegar por amor
","spa","","War, Historical Fiction","Tono · Trauma/Salud mental","","No-Ficción","80","Testimonio real de una mujer que busca a su amado durante la Segunda Guerra Mundial; es un documento histórico biográfico.","",""
"La comadrona","Katja Kettu","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Laponia, 1944: hasta los rincones más inhóspitos de Finlandia llegan los ecos de la Segunda Guerra Mundial. Por las venas de la comadrona fluye la sangre de un padre comunista salvajemente represaliado. Desde su infancia vive aislada de una sociedad que la desprecia. Pero su mundo sufre un vuelco cuando un enigmático oficial alemán de las SS la descubre con un cordón umbilical entre los dientes: es la primera vez que alguien la mira de verdad. Su amor la impulsa a seguir a Johannes hasta el campo de prisioneros al que ha sido enviado y más allá. Hasta la muerte si es necesario.","spa","","Historical Fiction","Dinamica · Prohibido, Tono · Angst/Drama emocional, Subgenero · Belica/Guerra","","Romance histórico","90","Relación central entre una comadrona finlandesa y un oficial de las SS durante la Segunda Guerra Mundial, romance central en ambientación histórica real.","",""
"El último Jesuíta: La persecución contra la compañía de Jesús en tiempos de Carlos III","Pedro Miguel Lamet","Ficción Histórica, History, _Biblioteca.Ficcion Historica","","1.0","La novela narra dos historias paralelas y encontradas de dos hermanos que viven la expulsión y extinción de la Compañía de Jesús en el siglo XVIII.  
  
Por un lado, Mateo Fonseca, secretario personal del conde de Floridablanca, quien se ve inmerso en el proceso de supresión de los jesuitas por el papa Clemente XVI y el encarcelamiento de su superior general.  
  
Por otro lado, Javier Fonseca, religioso jesuita, que sufre en su propia carne la expulsión de la Compañía de Jesús de España, el penoso viaje sin rumbo, el destierro en Córcega y Bolonia, y finalmente su llegada a Rusia donde son recibidos por la Zarina Catalina.  
  
Las sucesivas expulsiones de Portugal y Francia, el motín de Esquilache, la deportación de cinco mil jesuitas de España y América, su penosa navegación sin rumbo, el destierro, y la manipulación del cónclave para elegir a un papa propicio a la extinción, componen un retablo repleto de aventuras e implicaciones políticas y religiosas en el variopinto ambiente ilustrado del Siglo de las Luces.
","spa","","Historical Fiction, History","","","Ficción general","90","Novela histórica sobre la expulsión de los jesuitas en el siglo XVIII, sin romance central.","",""
"Lazos de humo","María Iglesias","Historical, _Biblioteca.Ficcion Historica","","1.0","La historia de Adam Cassidy es un secreto a voces: él, enigmático náufrago, desapareció después de dejar en la aldea cántabra el germen de una estirpe de individuos de cabellos rojizos y espíritu indomable. En 1871, más de un siglo después de aquella visita, llega al mundo Germán Díaz.El pequeño pelirrojo crece feliz escuchando fantásticos relatos sobre su origen, pero cuando, siendo aún niño, se ve obligado a emigrar e instalarse en una sucia carbonería gaditana, decide que la vida nada tiene que ver con las románticas expectativas de su madre y a punto está de enterrar sus sueños.Providencialmente, un joven periodista se cruzará en su camino y, alimentándolo con grandes novelas y altos ideales, lo convencerá de que con su talento innato y la formación necesaria puede llegar a ser lo que desee. Años más tarde, convertido ya en abogado y dispuesto a abanderar aquellas causas comprometidas cuya defensa dan sentido a la palabra «justicia», entiende que su círculo profesional y la clase social dominante le harán pagar por su atrevimiento un alto precio de consecuencias inimaginables.UN BELLÍSIMO FRESCO SOBRE LA EPOPEYA DE LOS ESPAÑOLES QUE EMIGRABAN EN DILIGENCIAS IMPOSIBLES PARA ENCONTRAR EL SUSTENTO DE SUS FAMILIAS EN LUGARES REMOTOS. UNA CRÓNICA APASIONANTE SOBRE LA SOCIEDAD QUE VIVIÓ UN REVOLUCIONARIO CAMBIO DE ÉPOCA. UN RELATO ÍNTIMO SOBRE LOS MIEDOS DE UN HOMBRE CARGADO DE SUEÑOS, PERO ENFRENTADO A UNA REALIDAD ÁRIDA Y ESTÉRILLAZOS DE HUMO ES LA NOVELA DE UN SIGLO; DE LOS HOMBRES Y MUJERES QUE LO HABITARON
","eng","","Historical Fiction","","","Ficción general","80","Saga familiar y social ambientada en el siglo XIX, con elementos de superación y justicia, sin romance central ni fantasía.","",""
"La Ciudad del Lucus","Luis Maria Cazorla Prieto","Historical Fiction.Modern.19th Century, _Biblioteca.Ficcion Historica","","1.0","A principios del siglo XX las grandes potencias coloniales se disputan en Marruecos el reparto militar y político de África. España, que se lame aún las heridas de la pérdida de Cuba, Puerto Rico y Filipinas, aspira a sacar tajada alcanzando un acuerdo con Francia sin desairar a Inglaterra y Alemania. En junio de 1910, el desembarco en Larache de las tropas españolas comandadas por el entonces teniente coronel Fernández Silvestre se traduciría más tarde, en 1912, en el inicio del Protectorado español en Marruecos. Un episodio de nuestra historia reciente poco divulgado, y que sin embargo ejerció una gran influencia en importantes hechos posteriores, como la Guerra Civil de 1936. &quot;La ciudad del Lucus&quot; reposa sobre un fondo histórico bien documentado y revela datos poco conocidos a pesar de su crucial relevancia. Al tiempo, muestra con singular viveza narrativa el drama humano que supone abrirse camino en un mundo desconocido, a través de la inmigración que llevó a un puñado de españoles a la zona noroccidental de Marruecos, esperanzados en las posibilidades que se les abrían en aquellas tierras. La trama se desarrolla entre 1904 y 1912 en las ciudades de Larache (“la ciudad del Lucus”), Tánger, Tetuán, Arcila y Alcazarquivir. Al hilo de los avatares de un inmigrante que huye de la crisis económica que sufre Alicante a finales del siglo XIX y se establece como comerciante en Larache, desfilan por sus páginas marroquíes que se debaten entre la fidelidad a las costumbres tradicionales y el progreso material, hebreos siempre en un difícil equilibrio, y militares españoles y franceses, algunos de ellos personajes célebres, como el teniente Fernández Silvestre o el líder Ahmed el-Raisuni. Todos ellos tejen una tupida trama de intereses y sentimientos, a veces complementarios otras contrapuestos, que conforman la tensión dramática de una novela memorable.","spa","Novela","Historical Fiction.Modern.19th Century","","","Ficción general","90","Novela histórica sobre el Protectorado español en Marruecos, drama humano y político sin romance central.","",""
"La última vez que vi París","Lynn Sheene","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","&quot;Una novela que nos recuerda que en los peores momentos es cuando podemos recuperar las riendas de nuestra vida&quot;<br /> <br /> <br /> <br /> <br /> Mayo de 1940: &quot;Claire Harris&quot; huye de Manhattan con la romántica idea de empezar una nueva vida en París. Pero sus planes se truncan cuando ve a los soldados nazis desfilando bajo el Arco de Triunfo: la ocupación alemana ha comenzado. Su única opción es trabajar en una floristería bajo la atenta mirada de madame Palain.<br /> <br /> <br /> <br /> A cambio de documentación falsa, Claire empieza a colaborar con la Resistencia francesa. A pesar del peligro que esto supone, la joven florista descubre la eterna belleza de la Ciudad de la Luz mientras la explora en compañía de &quot;Thomas Grey&quot;, un misterioso inglés que también trabaja para la Resistencia. La valentía y la inteligencia de Claire la convierten en seguida en una eficiente espía, y sus valores cambiarán al ser testigo del valeroso espíritu de los parisinos.<br /> <br /> <br /> <br /> Pero la decepción y la traición la fuerzan a huir de nuevo, esta vez para pelear por el hombre al que ama. Claire sólo reza para reunir el coraje y la firmeza suficientes para volver a ver París algún día...","spa","","Historical Fiction","Dinamica · Prohibido, Tono · Angst/Drama emocional, Subgenero · Espionaje/Espias","","Romance histórico","90","Romance central en la Segunda Guerra Mundial, con espionaje y resistencia en París; ambientación histórica real.","",""
"La primera reina tolteca","Sandra Sabanero","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","&quot;Nuestros viejos abuelos cuentan que el dios creador sabía descifrar los mensajes del cielo y leer con anticipación en los astros lo que iba a suceder en la tierra...&quot;<br /> <br /> &quot;La primera reina tolteca&quot; es una novela intensa donde se narra el sentir de Xiuhtlatzin, alguien que no teme ser como es y que se muestra auténtica, plena, majestuosa.<br /> <br /> Esta historia cuenta la grandeza de Tollan, un pueblo sorprendente, y cómo Xiuhtlatzin descubre que lo importante no es entender el mundo exterior, sino también el interior, donde los dioses se manifiestan iluminándola para que aprenda día a día el valor de las personas y, sobre todo, el lugar que ocupa como mujer tolteca.<br /> <br /> La nobleza es un tesoro que se lleva por dentro y no se ostenta con presunción como una piedra de jade o una capa de plumas preciosas, por eso Mitl, el gran soberano tolteca, descubre en Xiuhtlatzin el amor, y juntos encumbrarán a una nación destinada a la luna y al sol.<br /> <br /> &quot;Sandra Sabanero&quot; (Silao, México - 1954) es licenciada en Ciencias Políticas y Administración Pública de la UNAM. Actualmente reside con su familia cerca de Stuttgart, después de haber pasado largas estancias en Malawi, El Salvador, Guatemala y Bolivia. Desde hace quince años se dedica a la creación literaria.<br /> <br /> Con su novela &quot;Boda mexicana&quot;, publicada originalmente en alemán, ha cosechado un notable éxito del público y de la crítica al ser traducida a varios idiomas, editada en 21 países, y parte de su contenido se utiliza en libros de enseñanza en Francia para estudiantes de bachillerato. Al igual que La primera reina tolteca, sus novelas Boda mexicana, El balcón de las gardenias y La alcaldesa han sido publicadas en español por Ediciones B.","spa","","Historical Fiction","Dinamica · Amor a primera vista, Tono · Cozy/Ligero","","Romance histórico","90","Historia de amor de una reina tolteca en el México prehispánico; romance central en ambientación histórica sin elementos fantásticos más allá de la mitología cultural.","",""
"Los ojos de India","Susana Negro","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","La India vive con desconcierto el avance de la colonización británica sobre sus tierras. El cultivo del algodón, el comercio de especias, tejidos y otras artesanías son el modo de vida de muchas familias que verán, impotentes, cómo se diluye el control sobre sus propiedades y sus oficios en favor de los ingleses, decididos a imponer sus propias reglas.<br /> <br /> El clan Prakachiralli, sin embargo, se mantendrá fiel a su férrea tradición. Kantal, la matriarca, depositaria de esas tradiciones, es la encargada de transmitirlas, así como de buscar alianzas y concertar los matrimonios más favorables para sus descendientes entre las familias que pertenezcan a su misma casta.<br /> <br /> Savitri, incorporada a la casa Prakachiralli como prometida de uno de los varones del clan, cuando solo contaba seis años de edad, se transformará en una viuda de por vida al morir su futuro marido. Es entonces cuando Kantal decide enviarla a servir a la mansión del matrimonio Barwick, una pareja de opulentos ingleses llegados a la India para explotar la producción de tintes.<br /> <br /> De esta suerte, Savitri se convierte en testigo y cómplice de la pasión que acabará con la calma aparente que disfrutan sus amos gracias a su situación privilegiada, asentada en mitad de un mundo y unos personajes que bregan por sostener su identidad y sus creencias.<br /> <br /> Las revueltas, la lucha de castas, la incomprensión entre dominadores y dominados, el lujo y la suntuosidad que amenazan la sencillez de la tradición hindú... Tal y como sucede en novelas legendarias como la clásica Pasaje a la India, de E. M. Forster, o la más reciente El Dios de las pequeñas cosas, de Arundhati Roy, Los ojos de India nos relata un periodo fascinante de la historia universal en el que la cultura mítica de todo un país se ve atrapada y amenazada por el pensamiento pragmático y nada conciliador de los colonizadores.","spa","","Historical Fiction","","","Ficción general","70","Novela histórica sobre la India colonial y las tradiciones de un clan, con una subtrama romántica pero no como pilar central.","",""
"El diamante de los Tudor","Will Whitaker","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Una atmosférica novela de espionaje ambientada en la corte de los Tudor. Carlos V aprovecha la guerra que reina en Europa para extender su imperio, mientras pacta una alianza con el Papa en Italia. Tan sólo Inglaterra puede hacerle frente. A sus treinta y seis años, Enrique VIII preside una opulenta corte, y encarga a Richard Dansey, un joven y ambicioso orfebre, la difícil misión de encontrar la joya perfecta para Ana Bolena, su última conquista. Dicho periplo lleva a Richard de Venecia a Roma, y por toda Europa, mientras se ve envuelto en las arteras intrigas de la corte de los Tudor.","spa","","Historical Fiction","Subgenero · Espionaje/Espias, Ambientacion · Corte/Intriga palaciega","","Misterio·Thriller·Terror","90","Novela de espionaje e intrigas en la corte de Enrique VIII, sin romance central.","",""
"El secreto de Ángela","María López Castaño","Historical Fiction.Modern.19th Century, Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Corre el año 1863 y una joven aldeana, Ángela, que años después llegará a ser gobernanta, va a Cantaloa para trabajar en el Gran Hotel. Allí se pone a las órdenes de Mercedes, una mujer seria, exigente y disciplinada. La recién llegada es una muchacha humilde, dulce, obediente y dispuesta; una joven que tiene ilusiones… y un corazón prendado de don Carlos, el futuro dueño del Gran Hotel. 
La historia de amor de don Carlos y Ángela es uno de los grandes secretos que se ocultaron en el Gran Hotel durante décadas, aunque no es el único. Las paredes del majestuoso edificio encierran la clave para desvelar el misterio que envuelve un asesinato sucedido hace años y que supuso el origen del asesino del cuchillo de oro. 
Entre la segunda mitad del siglo XIX y la primera década del XX, seremos testigos de los secretos que se esconden tras los muros del Gran Hotel. Amores, traiciones y asesinatos bailan entre elpasado y el presente.
","spa","","Historical Fiction.Modern.19th Century, Historical Fiction","Dinamica · Prohibido, Tono · Angst/Drama emocional","","Misterio·Thriller·Terror","80","Combinación de romance y asesinato en un hotel del siglo XIX; el misterio del asesino del cuchillo de oro es el motor principal.","",""
"El sonido de la vida","Alex George","_Biblioteca.Ficcion Historica","","1.0","Hanover, Alemania, 1904. Frederick y Jette son una pareja poco convencional cuyo destino se une al conocerse una cálida tarde de primavera en el parque de Grosse Garten. Frederick posee el don de la música, y, Jette, a pesar de su falta de gracia femenina, una sensibilidad especial para apreciar una delicada melodía. Al escuchar de boca de Frederick un aria de La Bohème de Puccini, reconoce en él al hombre de su vida. Poco después, Jette se queda embarazada, y ante la rotunda desaprobación de su madre, deciden huir juntos y embarcarse en el primer buque que zarpe hacia el Nuevo Mundo. El azar les lleva a Nueva Orléans. La pareja acabará instalándose en una pequeña ciudad de Misuri, donde da comienzo la gran historia de amor y supervivencia de cuatro generaciones de una misma familia.
","spa","","Contemporary.20th Century.1900s","Dinamica · Amor a primera vista, Dinamica · Prohibido, Tono · Angst/Drama emocional","","Romance histórico","90","Saga familiar que comienza con un amor prohibido y una huida en 1904; el romance central impulsa la trama.","",""
"La última noche","Francisco Gallardo","Historical Fiction.Middle Ages.High.12th Century, _Biblioteca.Ficcion Historica","","1.0","Al final de su vida, en el año 1195 de los cristianos y 589 de la Hégira, Sarah Avenzoar - nieta del famoso médico Abu Marwan Avenzoar y médico ella misma - rememora su infancia en Sevilla, rodeada de tratados de poesía y medicina: allí conoce a su abuelo Abu Marwan, recién llegado del destierro, y al ilustre Averroes, ante quien se hace merecedora de la iyaza, el permiso para atender y curar a mujeres y niños. Con el paso de los años, Sarah se desplaza a Marrakech y ejerce la medicina en el harén del califa, donde se verá envuelta en las intrigas políticas entre almohades y almorávides, y en las no menos peligrosas intrigas delas mujeres del harén, algunos de cuyos secretos podrían acarrearle la muerte. 
Basada en el personaje histórico de la nieta de Avenzoar, La última noche es un viaje a la Andalucía del siglo XII y al imperio almohade que desde Marrakech gobernaba las dos orillas del Mediterráneo, un mundo fascinante donde la suntuosidad de las Mil y Una Noches se mezcla con un inusitado desarrollo técnico y quirúrgico, de la mano de una de las primeras mujeres que practicó legalmente la medicina. Pero ninguna medicina puede curar las heridas del alma...
","spa","","Historical Fiction.Middle Ages.High.12th Century","","","Ficción general","90","Novela histórica sobre una médica judía en la Andalucía del siglo XII, sin romance central.","",""
