title,authors,comments,tags,languages,series,series_index,#info,#world,#clasificacion,#subjects,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Her Duke for Thirty Days","Tiffany Baton","“Thirty days only. And then our ruse is over...”  Phyllis’ only duty is to find a husband before her sister. And even though she would do anything for her, she can never wed. So when she is forced into an arranged marriage, she vows to find a solution!  To save his family from bankruptcy, Duke Alexander is forced to do something he never thought he would: claim a bride. Until his intended proposes a ruse that could free them both...  Pretend to be in love for thirty days and escape both their predicaments.  At least, that was the plan. For the bold spinster has started haunting Alexander's thoughts. Yet everything is ruined by the worst scandal London has ever seen…  *If you like powerful Dukes, loving Duchesses and a marvelous depiction of the majestic Regency and Victorian era, then Her Duke for Thirty Days is the novel for you.  An enchanting regency romance of 80,000 words (around 400 pages), written by Tiffany Baton and published by Cobalt Fairy.  No cheating, no cliffhangers, and a sweet happily ever after.  Grab ""Her Duke for Thirty Days"" today to discover Tiffany's fantastic story!","Ambientacion · Boda, Ambientacion · Regencia, Dinamica · Matrimonio concertado, Genero · Romance, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Sin escenas/Sweet","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia","","Romance histórico","95","Fingimiento amoroso de treinta días para escapar de compromisos. Regency.","",""
"The Heartless Duke’s Bride","Tiffany Baton","“Nothing could have prepared me for the storm that is called my wife…”  Cold and emotionless, Duke Edward had no intention of marrying. Until his failing business leaves him no other choice. He must find a wife immediately!  Lydia was raised to be the perfect lady. But after being rejected by her suitor, her parents decide to take matters into their own hands. And marry her off to a heartless Duke…  While Edward builds his icy walls to keep his new wife away, Lydia is determined to melt them all down. Forcing him to face a newfound emotion: affection. Yet a well-kept secret threatens to take away the only thing Edward never knew he needed… Her.  *If you like powerful Dukes, loving Duchesses and a marvelous depiction of the majestic Regency and Victorian era, then The Heartless Duke’s Bride is the novel for you.  An enchanting regency romance of 80,000 words (around 400 pages), written by Tiffany Baton and published by Cobalt Fairy.  No cheating, no cliffhangers, and a sweet happily ever after.  Grab ""The Heartless Duke’s Bride"" today to discover Tiffany's fantastic story!","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Sin escenas/Sweet","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Dinamica · Grumpy/Sunshine, Tono · Cozy/Ligero","","Romance histórico","95","Regency romance con duque frío y esposa decidida, matrimonio forzado, sin elementos sobrenaturales.","",""
"The Insufferable Duke","Tiffany Baton","“You’re insufferable and infuriating. And God knows why but I love you, you fool.”  Lady Helena hates the Moores. Yet when her beloved sister is caught in a compromising position with one of them, she has no choice but to help her marry the man she loves.  Duke Christopher hates the Carters. Until his brother proposes to Lady Julia, forcing him to act as the peacemaker. The only problem: working with the snooty Lady Helena or risking their families killing each other.  Despite their non-stop bickering, an affection rises to the surface. A love that seems unstoppable until everything crumbles down. Just before the wedding the bride disappears and the letter left behind is signed with an M…  *If you like powerful Dukes, loving Duchesses and a marvelous depiction of the majestic Regency and Victorian era, then The Insufferable Duke is the novel for you.  An enchanting regency romance of 80,000 words (around 400 pages), written by Tiffany Baton and published by Cobalt Fairy.  No cheating, no cliffhangers, and a sweet happily ever after.  Grab ""The Insufferable Duke"" today to discover Tiffany's fantastic story!","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Sin escenas/Sweet","eng","","1.0","","","Dinamica · Enemigos a amantes, Dinamica · Proximidad forzada, Tono · Cozy/Ligero","","Romance histórico","95","Regency romance con disputas familiares y bickering entre duque y lady, sin magia.","",""
"A Seductive Bride for the Illusionist","Olivia T. Bennet","""You are the only woman who made me risk everything for just a second in your bed ""  Meticulous and stubborn, London journalist Sophie Gale is struggling to provide for her family in a world ruled by men. When her boss asks her to uncover the secrets of the elusive Great Dynamo, she must push aside both her passion and her morals.  Edward Linfield, else known as the Great Dynamo, hides secrets greater than his name. As a famous illusionist, his days are filled with excitement and intriguea mask to hide his true pain and plan. A plan that just might blow up when the ever persistent Sophie manages to slip in through the cracks.  It only takes one mistake to ruin the fun. As Edwards plans of revenge move to action, theres one thing he never anticipated; having to choose between duty and passion. For who breaks the illusion when the one who created it is dead?  *If you like a realistic yet steamy depiction of the Regency and Victorian era, then A Seductive Bride for the Illusionist is the novel for you.  This is Olivia's 29th novel, a historical Regency romance novel of 60,000 words (around 300 pages). No cheating, no cliffhangers, and a strong happily ever after.  #### Pick up ""A Seductive Bride for the Illusionist"" today to discover Olivia's amazing new story!","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Tono · Picante/Erotico, Arquetipo · Rockstar/Celebridad","","Romance histórico","95","Regency romance entre periodista e ilusionista, trama de matrimonio y sensualidad, sin fantasía.","",""
"Ruined by the Devilish Duke","Olivia T. Bennet","** *“I will show you what it means to belong to me, wife.”* **  Seduction doesn’t work on a Duke like Aaron. Especially from naive social climbers like his new neighbors. Yet their daughter is dangerous…for she tempts him like no one ever has.  Dorothy would do anything for her family…except marry for money. So when the duke next door insults them, she gives him a piece of her mind. Only, Aaron shuts her up in the most pleasurable of ways.  Neither of them expects to get caught. And now, Dorothy has no choice but to marry a man she cannot stand. Until he shows her that scandal isn’t the only way he can ruin her…  * * *If you like a realistic yet steamy depiction of the Regency and Victorian era, then* Ruined by the Devilish Duke* is the novel for you.  An enchanting regency romance of 80,000 words (around 400 pages), written by Olivia Bennet and published by Cobalt Fairy.  No cheating, no cliffhangers, and a strong happily ever after.  Pick up ""Ruined by the Devilish Duke"" today to discover Olivia's fantastic new story!**","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Dinamica · Enemigos a amantes, Tono · Picante/Erotico, Arquetipo · Realeza","","Romance histórico","95","Regency romance: lady atrapada en compromiso con duque que detesta, matrimonio forzado y pasión.","",""
"Ravished by the Duke of Sin","Olivia T. Bennet","** *“As long as I am here, you will know pleasure.”* **   
Much to her brother’s disappointment, Lady Alice is in no rush to marry. Yet when he invites his eligible friends to their home, she can’t deny the pull she feels for the most wicked of them all.   
Surrounded by scandal, Duke Levi is thankful when his friend organizes a hunt to distract him. Until he meets Alice and sees his dark desire reflected in her eyes…   
Trapped together, Alice keeps longing for the duke’s touch. And Levi is willing to satisfy her needs. But only until the hunt ends…   
* * *If you like a realistic yet steamy depiction of the Regency and Victorian era, then* Ravished by the Duke of Sin* is the novel for you.   
An enchanting regency romance of 60,000 words (around 300 pages), written by Olivia Bennet and published by Cobalt Fairy.   
No cheating, no cliffhangers, and a strong happily ever after.   
Pick up ""Ravished by the Duke of Sin"" today to discover Olivia's fantastic new story!**
","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Proximidad forzada, Dinamica · Prohibido, Tono · Picante/Erotico, Arquetipo · Bad boy","","Romance histórico","95","Regency romance con atracción prohibida entre lady y el amigo de su hermano, atrapados juntos.","",""
"The Duke and the Wedding Crasher","Olivia T. Bennet","A prideful duke, a betrayed lady, and a wedding that must be stopped…  Happily engaged, Lady Laura finds out through the papers that her betrothed is marrying her old friend. Devastated by their betrayal she is on her way to make a scene. Yet her carriage breaks down and a ravishing stranger appears, all too willing to help…  When the woman he was courting invites him to her wedding, Duke Arthur’s pride doesn’t allow him to not attend. Until he meets an alluring minx set on revenge. A woman he finds himself unable to resist…  Her plan is scandalous enough already, but traveling alone with a man that makes her burn with desire has Laura unable to decide. Should she stay silent or crash the wedding and suffer the deadly consequences…?  *If you like a realistic yet steamy depiction of the Regency and Victorian era, then The Duke and the Wedding Crasher is the novel for you.  An enchanting regency romance of 80,000 words (around 400 pages), written by Olivia Bennet and published by Cobalt Fairy.  No cheating, no cliffhangers, and a strong happily ever after.  Pick up ""The Duke and the Wedding Crasher"" today to discover Olivia's fantastic new story!","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Amor a primera vista, Dinamica · Proximidad forzada, Tono · Picante/Erotico, Arquetipo · Realeza","","Romance histórico","95","Regency romance: lady que va a interrumpir boda conoce a duque en carruaje roto, viajan juntos.","",""
"Ralph","Edith Byrd","**A Duke torn between duty and love. A servant mother with a dangerous secret. A daring plan to protect them all.** After a great tragedy, Ralph is facing the difficult task of taking over the dukedom, turning into the New Duke of Lancaster.   
However, a dark secret and a notorious enemy are threatening to ruin him and his dukedom...   
A servant girl carrying a secret royal baby in her belly.   
A trusted advisor having his own hidden agenda.   
A title, Ralph was never meant to inherit.   
A promise to his late brother he can hardly keep.   
Navigating the delicate balance between his obligations and his feelings gets harder and harder, as Ralph is torn between his sense of duty and his heart.   
Until a Lady appears...   
Miriam, a young woman with a secret of her own, hired to be his new housekeeper.   
She is the one who can buy him time... by forcing him to marry her!   
But is she really an ally? Or just another dangerous siren eager to destroy him?   
Ralph must act quickly or everything will be lost. **If you are a fan of Bridgerton and Julia Quinn, you won't be able to put this book down.**
","Ambientacion · Regencia, Genero · Romance historico","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Arquetipo · Realeza, Tono · Oscuro","","Romance histórico","90","Regency romance con duque que debe casarse con ama de llaves para proteger un secreto, tono sombrío.","",""
"The Mysterious Marquis","Karen Cogan","**Will Her Determination Put Her In Danger?** When her best friend disappears without a trace, Lady Marianne Bentley is perplexed. Since the girl's parents seem opposed to an all-out investigation, Marianne decides to take matters into her own hands. She soon discovers that a certain Marquis, with whom she has never been cordial, was the last to keep company with her young friend. Marianne's conviction he is involved in the disappearance leads her to renew their acquaintance in the hope of obtaining a clue. But, she is taken off guard by his wit and charm and seeming sincerity. Soon, she finds herself falling in love with the one man she vowed never to trust.","Ambientacion · Regencia, Genero · Romance historico, Tono · Sin escenas/Sweet","eng","","1.0","","","Dinamica · Enemigos a amantes, Arquetipo · Realeza, Tono · Cozy/Ligero","","Romance histórico","90","Regency romance: lady investiga desaparición y sospecha de marqués, luego se enamora.","",""
"The Winters Sisters - Special Collection Edition","Regina Darcy","Four sisters, all as different as can be, destined for spinsterhood because of their impoverished circumstances and forces outside their control. Follow their journey through trials and tribulations towards love unexpected. 
  
Book 1 – The Way To A Duke’s Heart - Theodora   
Miss Theodora Winters the oldest of the four daughters of the Viscount of Lockley is headstrong and impulsive. So much so that she embarks on a scheme that will have her exposed to the most scandalous situation with an unusual man. A treasonous act, a hidden love, and a mistaken arrangement will all lead the way to a duke’s heart and a maiden’s secret desire.   
Book 2 – A Faithful Maiden for The Broken Earl - Caroline   
Miss Caroline Winters is no diamond of first water, but she is not homely either. Destined for spinsterhood because of forces beyond her control, little does she know that one act of kindness is about to change her life forever. A secret letter, a mistaken attachment and new love all lead the broken Earl to a faithful, sweet maiden that will heal him in more ways than one.   
Book 3 – To Love A Marquess - Ann   
Miss Ann Winters is in love. The object of her affection is none other than the Marquess of Penderstone a known rogue and confirmed bachelor. But she is convinced they are destined to be. That conviction will lead to unexpected consequences for both her and the Marquess. A persistent mistress, a disastrous arrangement, a love spurned. The Marquess is about to get more than he bargained for. Sometimes some relationships are matches made in heaven.   
NEW! Book 4 – Forget Me Not - Beatrice   
Miss Beatrice Winters does not know what she has lost as she cannot remember what she had in the first place – the love of a true gentleman. But she knows what she doesn’t want and that is to find herself tied up in a marriage not of her own device…or at least as far as she can remember. A love lost, a love misunderstood, a love regained. Sometimes you need to get a bit lost to find your way home.Come along on a journey full of adventure, romance and intrigue. Download now to find out how it all ends.   
Regina Darcy writes clean, regency romance novelettes that always have a good old fashioned happy ending.   
GREAT VALUE BOX SET   
1.Once Upon a Regency Romance (Regency Romance Timeless Tales) (15 Book Box Set)   
2.How to capture a Lord (5 Story Box Set)   
3.When a Rogue finds love (6 Story Box Set)   
4.A heart set on love (6 Story Box Set)   
5.Regency Legacy (30 story box set)   
St Bernadette Files 1.The prisoner of love2.For the sake of love3.Love to the rescue   
Runaway Brides 1.Against her will2.The Daring Escape3.Mistaken for a Cyprian   
Rogues and Laces Series 1. The Arrangement2. A Spinster for the Marquess3. A Game of Chance4. An Angel for the Earl
","Ambientacion · Regencia, Genero · Romance historico, Tono · Sin escenas/Sweet","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Dinamica · Enemigos a amantes, Ambientacion · Regencia","","Romance histórico","90","Colección de cuatro novelas regency de hermanas que encuentran amor, tono dulce y clásico.","The Winters Sisters","1.0"
"How to Best a Rakish Marquess","Violet Hamers","What’s he to do when he inherits a title, a fortune…and a betrothed?  Betrothed to a Marquess ever since she was a little girl, Lady Marcella Baxter cannot find it in herself to feign sadness at his disappearance years ago. And she would do anything to get herself out of it.  Reginald Danvers, the newly appointed Marquess of Hurrow, will forever curse the day he decided to rob his own father. And the only thing that could alleviate his reluctance to enter the ton again is his feisty intended.  Thrown into a battle of wills, no one seems to be emerging triumphant save their scorching desire for each other. But Reginald is soon to realize that someone didn’t want him around then and even more so now. And they won’t be satisfied until he draws his last breath.  *If you like a realistic yet steamy depiction of the Regency and Victorian era, then How to Best a Rakish Marquess is the novel for you.  This is Violet's 20th novel, a historical Regency romance novel of 80,000 words (around 400 pages). No cheating, no cliffhangers, and a strong happily ever after.","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Ambientacion · Regencia, Tono · Picante/Erotico","","Romance histórico","95","Regency romance con matrimonio por conveniencia y tintes de misterio.","",""
"A Wallflower to Tame the Duke","Violet Hamers","“Don't you know that I ache for you the way you ache for me?”  Lady Isadora has had enough. She might have been able to withstand her mother’s comments and the ton’s disapproval of her voluptuous figure. But seeing her name on the bottom of a rake’s ranking list is the last straw...  Duke Alexander is looking for a duchess. But despite his efforts to forget his rakish ways, old habits die hard. And a mysterious note inviting him to a secret rendezvous is a temptation he cannot decline…  Alexander never expected that a passionate kiss in the dark would make him yearn for so much more. Nor that the lady would walk away, taking all his clothes with her. Whether it’s revenge or desire, it matters not. He simply must get his hands on her…  *If you like a realistic yet steamy depiction of the Regency and Victorian era, then A Wallflower to Tame the Duke is the novel for you.  An enchanting regency romance of 60,000 words (around 300 pages), written by Violet Hamers and published by Cobalt Fairy.  No cheating, no cliffhangers, and a strong happily ever after.  Pick up ""A Wallflower to Tame the Duke"" today to discover Violet's fantastic new story!","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Enemigos a amantes, Dinamica · Opuestos se atraen, Arquetipo · Realeza, Tono · Picante/Erotico, Ambientacion · Regencia","","Romance histórico","95","Wallflower vengativa y duque mujeriego; romance con tensión y erotismo en la Regencia.","",""
"A Beastly Kind of Duke","Violet Hamers","***Everyone had heard the rumors. But no one was prepared for the truth...*** Compromised by her lecherous betrothed, Lady Regina Bexley’s only option is to flee to the countryside. With serious doubts about her own legitimacy, receiving the unwelcome glares of the beastly Duke is only the beginning of her problems.  One thing that Alistair Benson, the Duke of Slater, cannot stand is having visitors. For people avoiding his hideous facial scars hurts more deeply than the wounds. So when a tiny, feisty lady refuses to avert her gaze, his frozen heart awakens.  To his utter indignation, Lady Regina is there to stay. And her proposal to enter a pretend marriage makes it even harder for him to restrain himself. For where does the scheme end and the truth start? And a trail of blood is enough to show him that someone is determined not to let him feel what happiness tastes like.  * * *If you like a realistic yet steamy depiction of the Regency and Victorian era, then* A Beastly Kind of Duke* is the novel for you.  This is Violet's 22nd novel, a historical Regency romance novel of 60,000 words (around 300 pages). No cheating, no cliffhangers, and a strong happily ever after.**  #### Pick up ""A Beastly Kind of Duke"" today to discover Violet's fantastic new story!","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Dinamica · Grumpy/Sunshine, Arquetipo · Realeza, Ambientacion · Regencia, Tono · Angst/Drama emocional","","Romance histórico","95","Ducal escocés con cicatrices y dama fugitiva; matrimonio de conveniencia en la Regencia. Romance central.","",""
"A Virgin to Seduce the Duke","Violet Hamers","“No need to act so prim and proper now, my lady. I will not tell a soul about our little rendezvous.”  Miss Ashton cannot afford an unsuccessful Season. And despite her feisty cousin’s constant nagging to act a little wicked once in a while, Sophia would not be able to live with herself if she disappointed her guardians.  The Duke of Relington has been engaged to a Lady of his father’s choosing ever since he was fifteen. But now that his time as a carefree bachelor seems to be running out, he is desperate to escape his miserable fate.  A momentary lapse in judgement is all it takes for Sophia to find herself in the arms of a rake who kisses her breathless. And when she finds her name all over the papers, Nicholas shows up to court her and save her reputation. Only… Sophia has some no touching, and definitely no kissing.  *If you like a realistic yet steamy depiction of the Regency and Victorian era, then A Virgin to Seduce the Duke is the novel for you.  An enchanting regency romance of 60,000 words (around 300 pages), written by Violet Hamers and published by Cobalt Fairy.  No cheating, no cliffhangers, and a strong happily ever after.  Pick up ""A Virgin to Seduce the Duke"" today to discover Violet's fantastic new story!","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Prohibido, Arquetipo · Realeza, Tono · Picante/Erotico, Ambientacion · Regencia","","Romance histórico","95","Dama comprometida y duque libertino; romance picante en la Regencia. Sin elementos fantásticos.","",""
"The Viscount Takes a Bride","Violet Hamers","** *“Was compromising me part of your plan so I have no choice but to accept your offer?”* **  The Viscount of Saxton killed her brother. That much is certain amongst Margaret’s family. And now he has the audacity to blackmail them in exchange for her hand in marriage!  Seth is a man of few words. And as the Viscount of Saxton, he is used to getting his way. Even if it means forcing his new bride into a marriage of convenience with him to protect her.  Only…Margaret proves to be too feisty for her own good. And his own sanity.  * * *If you like a realistic yet steamy depiction of the Regency and Victorian era, then* The Viscount Takes a Bride* is the novel for you.  An enchanting regency romance of 60,000 words (around 300 pages), written by Violet Hamers and published by Cobalt Fairy.  No cheating, no cliffhangers, and a strong happily ever after.**  **Pick up ""The Viscount Takes a Bride"" today to discover Violet's fantastic new story!**","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Ambientacion · Regencia, Tono · Picante/Erotico","","Romance histórico","95","Marriage of convenience forzado para protegerla, ambientado en la Regencia.","",""
"The Duke Gets Even","Violet Hamers","“My wrongdoing? Need I remind you, Your Grace, it was you who kissed me first?”  Misfortunes seem to hit Lady Melanie one after the other. First, her own father wishes to sell her off to a lecherous man, and second, the Duke of Nicholson demands compensation for a crime she never committed.  Owen did not think that his life could get any worse after becoming Duke. And he would even consider tailing his feisty sister to every ball of the Season bearable. Until a certain Lady makes sure that his darkest secret is out.  But what should the price she has to pay be? Sponsoring his sister for the Season and kissing him in the dark might be enough for Melanie to make up for it…  *If you like a realistic yet steamy depiction of the Regency and Victorian era, then The Duke Gets Even is the novel for you.  An enchanting regency romance of 80,000 words (around 400 pages), written by Violet Hamers and published by Cobalt Fairy.  No cheating, no cliffhangers, and a strong happily ever after.  Pick up ""The Duke Gets Even"" today to discover Violet's fantastic new story!","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","","1.0","","","Dinamica · Enemigos a amantes, Ambientacion · Regencia, Tono · Picante/Erotico","","Romance histórico","95","Regency romance donde él exige compensación y surge la atracción.","",""
"The Perfect Rose","Brooke Hampton","**Being the perfect rose of the season isn’t all it’s cut out to be.** Lady Rose Gardner strives to live up to her name—the perfect flower—flawless, beautiful, accomplished, and confident, but her efforts always seem to come up short. When she finds she is unable to fulfill her parents’ expectations of a brilliant match to a titled gentleman, the Earl and Countess Gardner give her an ultimatum she cannot secure the marriage she was raised for right away, or be promised to an unscrupulous fortune hunter of noble birth.  Frederick Hastings typically has a knack for making people happy. But Lady Rose Gardner and her dragon of a mother are the exception. As much fun as it is to needle the haughty Lady Rose, Frederick discovers that he needs her help to save his house party from utter failure. What she asks in return challenges some of his most deeply held beliefs.  Roses, it turns out, are not perfect. But Frederick learns that they are real, fragile, and entirely worth sacrificing for. With Lady Rose’s time to choose a husband coming to a swift end, can the two of them find a way to fight for the happiness they both desire?","Ambientacion · Regencia, Genero · Romance historico, Tono · Sin escenas/Sweet","eng","","1.0","","","Dinamica · Amigos a amantes, Ambientacion · Regencia, Tono · Cozy/Ligero","","Romance histórico","95","Debutante que debe casarse y ayuda de un caballero; tono ligero.","",""
"His Yuletide Kiss","L. Summer Hanford","**He's the perfect man, but he's courting the wrong woman.** Daphne Hayhurst is quietly optimistic about her come out, even if London is a bit daunting. But before her Season, she must spend a month getting acquainted with her estranged cousins, the Barlows. Unfortunately, her aunt is a bit erratic, her cousins appear to loathe her, and, worst of all, the man Cousin Wendy is nearly betrothed to is the most compelling gentleman Daphne has ever met. Wendy simply does not deserve him. His Yuletide Kiss is a sweet Regency Romance, perfect for any time of year but especially enjoyable around Christmas. If you like your romance with a little fun and a touch of laughter, you'll love Summer Hanford's Regency Christmas novella, His Yuletide Kiss. Start reading today!","Ambientacion · Regencia, Genero · Romance historico, Tono · Sin escenas/Sweet","eng","","1.0","","","Ambientacion · Navideno/Festivo, Ambientacion · Regencia, Tono · Sin escenas/Sweet","","Romance histórico","95","Novela navideña de la Regencia, dulce y sin escenas explícitas.","",""
"A Scandalous Agreement With an Earl","Henrietta Harding","**Vivianne Marie DeCourcy has vowed never to open her heart again. Scarred by a past betrayal, she's resolved to remain closed off to love. However, her family situation takes a turn for the worse, and Vivianne faces a dire marry for survival or risk everything for the independence she craves. When a ball brings her close to the notorious Earl of Chesterfield, a rake with a charm that could melt even the iciest of hearts, her carefully guarded heart will choose the road of sin.**  
Will she dare become a pawn in his scandalous games?   
Earl Edward Vincent Woodhouse is used to getting his way, but when his inheritance is threatened, he knows he is in desperate need of a wife. His carefree smile might fool most, but Vivianne sees through his rakish façade. Intrigued by her wit and beauty, Edward makes her a tempting a marriage of convenience, one that would satisfy his uncle's demands and save Vivianne's family from ruin. It all seems simple until undeniable desire captures his soul…   
Will he tame his burning passion for the wallflower?   
As Vivianne and Edward exchange playful banter and stolen glances, they both start to realize there's more at stake than reputation or wealth. In a world filled with gossip, jealousy and dangerous suitors, old wounds resurface and secrets threaten to tear them apart. Can they overcome the shadows of their past and embrace their flaming romance, or will pride and fear keep them from their only chance at true, passionate love?   
**""A Scandalous Agreement with an Earl"" is a historical romance novel of approximately 80,000 words. No cheating, no cliffhangers, and a guaranteed happily ever after.**  
**Opposites attract, Reforming the Rake, Fake relationship/courtship**
","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Ambientacion · Regencia, Tono · Picante/Erotico","","Romance histórico","95","Matrimonio de conveniencia para salvar a la familia, ambientado en la Regencia.","",""
"Starry Nights, Scandal, and a Fiery Lady","Henrietta Harding","In the sparkling world of London's elite, Lady Annabelle Elizabeth Fitzroy hides her scars from past heartbreak, embracing her fierce spirit among the ton. Beneath the watchful gaze of the stars, she secretly nurtures her love for astronomy, finding solace in the celestial mysteries that light up her nights, away from the ton’s pretentious gaze. Amidst the opulent parties and stifling expectations, Annabelle's life takes an unexpected turn when she is accidentally spotted in an awkward position with a ravishing Viscount. As the scandalous airs of the ton can destroy everything she holds dear, she must choose between freedom and her growing desire for the man he might take it away… Will she let herself go to experience her burning passion? Lord William Alexander Channing, Viscount of Ashbourne, newly elevated in society, is utterly confounded by the intrigue and complexities of the ton. Reluctantly, he immerses himself in the world of lavish celebrations, unaware that one fateful evening will shatter his perception of life. When scandal is about to burst and destroy his and Lady Annabelle’s reputation once and for all, duty rises and untamed emotions of lust ignite inside him. Will Lord William conquer the ton's scandal and keep his burning desire for Lady Annabelle, or will it force them apart? As Annabelle’s and William’s worlds collide in a scandal of epic proportions and the ton's machinations play out, their unwavering devotion push the boundaries of their flaming love. As notorious antagonists and schemes risk to ruin them both, the star-crossed lovers manage to find their tantalising refuge underneath the celestial sky. As each twist and turn of their entwined destinies unfolds… Will their sizzling romance shine as brightly as the stars , or will it be extinguished by the relentless gossip and societal pressures? Can the very chaos that brought them together also tear them apart for good? ""Starry Nights, Scandal, and a Fiery Lady"" is a historical romance novel of approximately 60,000 words. No cheating, no cliffhangers, and a guaranteed happily ever after.","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA","eng","","1.0","","","Dinamica · Proximidad forzada, Ambientacion · Regencia, Tono · Picante/Erotico","","Romance histórico","95","Escándalo que obliga a la unión; ambientado en la Regencia.","",""
"A Duke's Skillful Seduction","Henrietta Harding","Being the only child of a wealthy and well-respected wine merchant, Miss Caroline Watford is expected to act as a lady, even if she is not one. While left alone in the shadows one fateful night, she becomes the right target for some very unwanted attention... What will happen when a seductive Lord comes to her rescue and turns out to be a disgruntled man from her past?  Will Caroline find the burning passion she has been looking for in the arms of a fiery acquaintance she has long escaped from?  Lord Louis Wellington is the epitome of what it means to be a nobleman; handsome, intelligent, gentlemanly, yet, he has a very dark side. When he finds out that the most tempting woman he has ever seen is actually the one who humiliated him when he was just a boy, he is not sure if he can let that grudge go. He knows it is childish, but he can not help himself...  Known for how dangerous he is when it comes to women, what could ever go wrong?  Caroline and Louis are forced to come together to rescue her cousin from a scandal that may just ruin, not only her reputation, but also her life and her family. Will they reach her in time or will her downfall be their own doom? After all, will their passionate affair prevail or will their flaming desires be buried deep in the ground?","Ambientacion · Regencia, Genero · Romance historico","eng","","1.0","","","Dinamica · Enemigos a amantes, Ambientacion · Regencia, Tono · Picante/Erotico","","Romance histórico","95","Regency romance con pasado humillante y rescate de prima.","",""
"A Wicked Duke to Her Rescue","Henrietta Harding","Being mistreated by her stepmother her whole life, the fiery Liliane Ward is trying to live a peaceful life, which leaves no time for romance. Certainly no time for the seductive stranger she keeps running into... However, when a flaming encounter at a ball reveals that he is the newly named Duke of Gillingham, remaining unnoticed will become much harder.   Can her desire for the Duke make her dance on the wild side?   Harry, the tempting Duke of Gillingham, is convinced that love is not in the cards for him. However, things are about to change when he meets a mysterious servant-girl who insists on keeping her identity a secret. After her very seductive appearance at a ball, he is even more intrigued, but every time he tries to get close to her, she disappears.   Will he manage to discover the identity of the mysterious woman who always leves him wanting so much more?   Even if the obstacles between them seem greater than their fierce connection, Liliane and Harry find themselves bound together by their sizzling passion. With Harry facing his own demons and Liliane’s stepmother threatening her with misfortune, they will soon be forced to make a decision… Will their sinful feelings be strong enough to thwart their families wicked intentions? Or will they kneel to everyone else’s desires and abandon their own?   ""A Wicked Duke to Her Rescue"" is a historical romance novel of approximately 60,000 words. No cheating, no cliffhangers, and a guaranteed happily ever after.","Ambientacion · Regencia, Genero · Romance historico, Tono · Final feliz/HEA","eng","","1.0","","","Dinamica · Prohibido, Ambientacion · Regencia, Tono · Picante/Erotico","","Romance histórico","95","Duque y doncella con identidad oculta; obstáculos de clase y deseo.","",""
