title,authors,tags,series,series_index,comments,identifiers,languages,#subtitle,#title_opf,#info,#libreria
"Los Pecados De Saray","Liza Black","","","1.0","¡Hola! Soy Saray, la camarera del único bar de Azul, un pueblo diminuto y aburrido como tantos otros, adormecido y gris. Pero cuando llega el verano Azul se transforma: bulle de gente, alboroto e inquietud, olor a fiesta y suben las temperaturas.  Y yo también comienzo a derretirme...  Entre la muchedumbre ruidosa busco ansiosa a un hombre con quien compartir mi sudor, que me haga suspirar y vibrar. ¿Lo encontraré? Tal vez...  Los juegos atrevidos de África, mi mejor amiga, me incitan al pecado y me dejo seducir.  Experiencias irrepetibles, amor y desencuentros, mucho sexo en lugares únicos, diversión y sorpresas te acompañarán a lo largo de esta novella erótica. Solo tienes que dejarte llevar y disfrutar leyendo. Atrévete...","mobi-asin:8b2a5059-7ae4-48fc-9424-3c715d8d814b,grvotes:6,goodreads:23597582,amazon:B00OMDA6JQ","spa","","Los Pecados De Saray","","Romance contemporáneo [REVISAR]"
"Madness: A Rockstar Romance (Chaos Fuel Book 2)","Amy Booker","","","1.0","In the highly anticipated second book of the Chaos Fuel Duet, bassist Dakota Benally navigates the chaos of rock stardom while grappling with the weight of his past. Still haunted by the loss of his wife, Dakota's world shifts when he meets Lauren, a resilient single mother working at a diner near the band's recording studio.  As their paths intertwine, Dakota and Lauren find themselves drawn to each other, recognizing a shared understanding of love, loss, and the struggle to move forward. But with the demands of Dakota's career and Lauren's own personal battles, their budding connection is put to the test.  Madness explores the complexities of second chances, the courage to confront one's demons, and the power of love to heal even the deepest wounds. Dakota and Lauren's story is a poignant reminder that, even in the face of adversity, hope can be found in the most unexpected places.  Will Dakota and Lauren's newfound love be enough to weather the storm, or will the madness of their lives ultimately tear them apart? Find out in this emotionally charged tale of redemption, forgiveness, and the strength of the human spirit.  Content This book contains mentions of loss of a loved one, drug addiction, and recovery.","amazon:B0D2M836K6,goodreads:212100447,mobi-asin:B0D2M836K6,isbn:9798990630000","eng","","Madness: A Rockstar Romance (Chaos Fuel Book 2)","","Ficción general [REVISAR]"
"Monsieur","Emma Becker","","","1.0","¿Por qué hacemos cosas que sabemos que están mal?  Ella tiene 20 años y él, 46. Él es un reputado médico, casado y con cinco hijos. Ella contacta con él a través de Facebook y le cuenta que estudia filología y publica en la revista literaria erótica Estupro. Lo que comienza siendo un intercambio de mails algo subidos de tono y de gran carga erótica se convertirá en una relación física llena de encuentros concertados, donde sólo hay sitio para prácticas sexuales cada vez más radicales. Consciente de vivir una relación destructiva, Ellie no podrá parar y dejará que Monsieur siga llevándola al límite.  Una novela escrita por una jovencísima autora francesa de 22 años que explora los límites del deseo y de la dominación.","grvotes:420,goodreads:17798832,isbn:9788408112020,mobi-asin:03ab1e9d-8ba3-4ae9-99f9-894b43a19d32,amazon:8408112023","spa","","Monsieur","","Romance contemporáneo [REVISAR]"
"Truck Me","Aria Bliss","","Mutter Brothers","2.0","**A Grumpy-Sunshine Small Town Romance** Garret Mutter is broody, grumpy, and always scowls. By all accounts, I’d say he hates me. But there’s a fire burning deep in his eyes every time he looks at me that makes me shudder with desire.  Five reasons my life imploded:  ✔️Boyfriend of seven years rejected my marriage proposal.  ✔️Publically humiliated and disgraced by said boyfriend.  ✔️Unemployed.  ✔️Moved back home to live with parents at age thirty.  ✔️Forced to deal with the loss I’ve been running from for over ten years.  I haven’t seen Garret since high school, and I hate that I’m not at my best—not even close. I’m sure he remembers me as the always-perfectly-put-together beauty queen. Not the frizzy head, make-up free, failure that I am today.  But he’s even hotter than he was in high school.  So. Not. Fair.  Tall, grumpy, bearded, growly, with a thick wall of solid muscle—that’s Garret Mutter.  And from the way he’s glaring at me, I can’t tell if he hates me or wants to kiss me.  Thankfully, he doesn’t make me wonder for long.  The growing attraction between us ignites, and I soon learn that there’s so much more to Garret than the grumpy-bear scowl he hides behind.  Garret has a secret, and it just might destroy my family.  We made a choice to be together. And now we must face the consequences—Garret more than me—as we each deal with the hard truths of our pasts.  Our invisible scars run deep and threaten to stand in our way.  And I’m not convinced we’ll be able to overcome them to build a future together.  Author’s Note: This is Garret and Charlotte’s story. A grumpy-sunshine, opposites attract, girl next door, small-town romance between a disgraced former beauty queen determined to get her life back and a hot alpha mechanic who’d rather be left alone than deal with the painful realities of his past.","goodreads:90327001,isbn:9781948169844,amazon:B0BSSJ5GW8,mobi-asin:B0BSSJ5GW8","eng","","Truck Me","","Romance contemporáneo [REVISAR]"
"Nanny Dispute","Shandi Boyes","","","1.0","With an illustrious career and more ‘cool creds’ than he’ll ever need, Brodie Davis seems to have the world at his feet.  The sexy yet moody federal agent could secure the attention of any woman when he enters a room, but he only has eyes for one.  His almost six-year-old daughter, Lucy.  She’s the apple of his eye.  His reason to breathe.  And his recently recruited nanny’s biggest ally.  After a taxing few years, convincing an age-discriminating single father to hire a ‘less experienced’ nanny should be a walk in the park for Henley.  She’s stubborn, beautiful, and harboring more secrets than a lack of nannying credentials. But since she's running from the past, she’s forgotten that the biggest dangers only ever present when unexpected feelings develop.  **Nanny Dispute** is a **insta-lust** standalone age-gap **romantic suspense** by bestselling author Shandi Boyes. It doesn't follow the normal single dad/nanny trope so expect the unexpected!","amazon:B0C8HL82M9,mobi-asin:B0C8HL82M9,goodreads:179267923","eng","","Nanny Dispute: A single dad/nanny romantic suspense","","Romance contemporáneo [REVISAR]"
"Never Trust the Boss","Aria Bliss","","","1.0","He’s the demanding, sexy Greek god of a man that I never knew I needed. Which is a real inconvenience considering we can’t stand each other.  Atticus Rosi is an alpha male with aspirations of earning a corner office on the top floor. Which means he has his head so far up my father’s backside, he’ll never find his way back out.  And my dad just forced me to be Atticus’ assistant.  My orders were clear—do the job for one year, or kiss my trust fund goodbye.  But I have plans for my life—important ones—that Dad refuses to acknowledge. Why should I put my dreams and aspirations on hold just because I’m not the son he always wanted?  To say I walk into my first day of work with a serious chip on my shoulder is an understatement. I don’t want to be here, and it shows in my performance.  That’s what happens when I’m forced to do something I don’t want to do.  But Atticus is having none of it.  The worse I do at my job, the more vindictive he becomes. It starts with an epic glitter bomb episode that I’d find hilarious if it happened to someone else.  But it happened to me.  And for that, Atticus has to pay.  To our dismay, the more we fight, the more our chemistry intensifies.  With each passing day, it becomes harder and harder to ignore his expressive chocolate-brown eyes, his sexy grin, his rock-hard body, and the glimpses I get of his tattoo-covered arms when he rolls up his shirtsleeves.  The workplace fantasies running through my mind would send my dad into a tailspin. Acting on these fantasies puts my future at risk and maybe even Atticus’ job.  Unfortunately for both of us, Atticus knows how to push all my buttons, and in the best way imaginable.  I hate him for it.  Author’s Note: This is Atticus and Indigo’s story. An enemies-to-lovers, boss’ daughter, boss-assistant, forbidden workplace romance between a hot, dirty-talking half Greek tech genius who’s singularly focused on his career and a strong, take-charge-of-her-life woman with a burning desire to break free from her father’s control.","goodreads:216078327,amazon:B0BZLZMZJF,mobi-asin:B0BZLZMZJF,isbn:9781948169875","eng","","Never Trust the Boss","","Romance contemporáneo [REVISAR]"
"Waltz","Amy Booker","","Rhapsody","4.0","Waltz - a dance in triple time performed by a couple, who as a pair turn rhythmically around and around as they progress around the dance floor.  In music, timing is everything.  Newly minted rockstar Remington Matthews never expected to fall for an introverted tattoo artist when he returned home for his sister’s wedding. But sparks fly between the restless extrovert and his sister’s best friend, Monroe, despite their opposing natures.  Just as their summer fling ignites, realities loom. Remy’s band Murderous Crows begins touring Europe while Monroe leaves for an apprenticeship in New York. Their budding romance survives the temporary parting but faces a serious test when a huge career opportunity opens up for Monroe.  As their globe-spanning careers pull them apart, Remy and Monroe long for compromise. Their contrasting personalities complement each other, but can these opposites find harmony across the miles? Or will forced separate paths permanently fray the bonds of new love?  Waltz , Book #4 in the Rhapsody Rockstar Series, is an emotional rockstar romance about two people discovering that embracing each other’s strengths and flaws forges the strongest union, no matter the distance.","goodreads:199447290,amazon:B0CKWYMSDN,mobi-asin:B0CKWYMSDN,isbn:9798986565194","eng","","Waltz","","Romance contemporáneo [REVISAR]"
"Ruthless Kingpin","Carina Blake","","","1.0","","mobi-asin:B0BHXDBTSQ","eng","","Ruthless Kingpin","",""
"Sex Ed","Kristen Bailey","","","1.0","**Ed is a virgin. I didn’t know those existed – not at our age anyway. Maybe he was so drunk that he forgot all the times he’s had sex. I wish I could get that drunk.** Mia and Ed have been best friends ever since they began teaching at the same school. Ed bakes cake for the staff, Mia eats the cakes. Ed can’t control his students, Mia sorts them out. Mia can’t work the photocopier, Ed shows her how.  Mia’s love life might be chaotic but she’s totally devoted to her super-tidy, cat-owning, geeky but not bad-looking best friend. So, when Mia discovers Ed is still a virgin at twenty-eight, she decides to take matters into her own hands and teach him the skills he needs to seduce the pretty new maths teacher, Caitlin.  It’s an education that involves panic-buying sex toys and buddy-watching porn, and when Ed graduates with an A+ for effort – and begins dating the perfect-on-paper Caitlin – Mia knows her work is done.  But is Caitlin as sweet as she seems? And could Mia’s feelings for Ed be stronger than she realised?","mobi-asin:B0C41Y1HSX,isbn:9781805080152,amazon:B0C41Y1HSX,goodreads:146316480","eng","","Sex Ed","","Romance contemporáneo [REVISAR]"
"Steel Empire: A Dark Billionaire Romance (Broken Cross Book 3)","Bri Blackwood","","","1.0","","mobi-asin:B08W5FH6GW","eng","","Steel Empire: A Dark Billionaire Romance (Broken Cross Book 3)","",""
"Stolen Wife","Carina Blake","","Stolen Hearts","1.0","I'll do whatever it takes to get her in my arms, even kill my brother.
 
I'll do everything in my power to destroy all who came between us.
 
The second I held the wedding photo of Giada with my brother, my revenge became tainted with possessiveness so profound that I grew colder. Calculating.
Obsessed.
 
I'd do anything to get my desire. To taste her.
 
Giada is mine, and it didn't matter the how or why, because she just is. I'll play her name in my head--my sirens song--as I remove her from my brother's grasp and take her for my own.
 
One by one, I'd get my vendetta on those who sent me away while claiming what was never theirs.
","mobi-asin:B087WK67B6","eng","","Stolen Wife","","Romance contemporáneo [REVISAR]"
"Stolen Dove (Stolen Hearts Series Book 2)","Carina Blake","","Stolen Hearts","2.0","","mobi-asin:B08TMZWJN9","eng","","Stolen Dove (Stolen Hearts Series Book 2)","",""
"Stolen Tutor","Carina Blake","","Stolen Hearts","3.0","","mobi-asin:B0BLST8TLZ","eng","","Stolen Tutor","",""
"Not About Love","Jamie Bennett","","Tennessee","4.0","*“These are not love lessons,” I said, shaking my head. “This is not about love.”* Tally Taylor is definitely not the woman to instruct anyone in that particular topic. Life hasn’t given much love to her, but it isn’t what she wants, anyway. It’s certainly not what she’s after from men—like, not even her own father loves her, but that’s just the way things are. She’s fine with it.   So, love? No way. Sex? Sure, lots. Friendship? Well…she wouldn’t have thought so, not until she meets Owen. He’s cute and also sweet, also funny, also not interested in her at all. At least, he isn’t interested in her body, which is what every other guy seems to care about. Instead, he says that he wants to be friends. Friends?   But it turns out that they both really, really need one. Owen has been struggling through life alone, and Tally has been struggling with everything, as much as she doesn’t want to admit to it. As she deals with old problems with her father, new problems with his new family, with secrets from her childhood and secrets from the present, with some scary truths that she never wants to admit—Owen is there for her. He becomes the most important person in her life.   But love? No. That's not what this is, not for Tally and not for Owen, either. She’ll be his friend, sure, but this is not about love.   Until it is. And what is Tally Taylor going to do about that?","mobi-asin:B09YDNHVJ5,goodreads:60853915,amazon:B09YDNHVJ5","eng","","Not About Love","","Romance contemporáneo [REVISAR]"
"The Billionaire's Auction","Bri Blackwood","","The Ruthless Billionaire Trilogy","1.0","**Desperate times lead to desperate measures…** That’s how I ended up in an auction.   The money from it would be my way out.   My last chance.   Then I saw him, and hope flashed through my mind when he placed a bid.   It shouldn’t have.   Because I didn’t know about the dark edges that surrounded his soul, the ones that should never see the light of day.   Now I’m tied to him for ninety days, but I can survive this.   I’ve been through so much worse before.   Or so I thought.   Because my hope? Was nothing more than a façade.   Now, he was my monster.  ** *The Billionaire’s Auction is the first in an enemies to lovers billionaire trilogy. Themes in this dark and sexy series may not be suitable for all readers. It is NOT a standalone and ends in a cliffhanger.* **","goodreads:59660792,grvotes:552,mobi-asin:B09MCC8TL9,amazon:B09MCC8TL9","eng","","The Billionaire's Auction: A Dark Billionaire Romance (The Ruthless Billionaire Trilogy Book 1)","","Romance contemporáneo [REVISAR]"
"Has Anyone Seen My Sex Life?","Kristen Bailey","","The Callaghan Sisters","1.0","**'Absolutely hilarious!! Seriously, I haven't been able to put this one down!... I have not stopped laughing... One of those books which is perfect after a stressful day because you are guaranteed to laugh out loud... Loved it... Devoured this book in just a few hours... Impossible to put down.'* Little Miss Book Lover 87* , **  **It's normal for your washing machine to get more action than you, right?** I wake up, bleary-eyed.  It's been two years, six months and three hours since I last shaved my legs, and the llama-patterned knickers I'm wearing have seen better days.  We have seven minutes before the kids wake up, and my husband shuffles closer. 'Ouch,' he says, a piece of Lego sticking into his back.  Then, a light comes on in the landing. Small footsteps creep down the stairs. A little voice screams, 'IS SOMEONE COMING TO MAKE BREAKFAST?!'  All hope of having some 'alone time' is replaced with wondering if we've run out of Cheerios, thinking about the overflowing laundry, and remembering that I forgot to take out the recycling. Again.  Just a typical Monday morning for the Morton family...  Except today, when I go downstairs in my dressing gown, I find something. Something belonging to my husband. Something that *definitely* wasn't in the wedding vows. And it's either going to make us... or break us.  **  **An utterly hilarious and unmissable novel for anyone who has ever felt like they spend more time washing the dishes than getting lucky. Fans of** ** *Why Mummy Drinks* ****and* **** The Unmumsy Mum,** ***and rom-coms by Sophie Ranald and Sophie Kinsella, will ugly laugh at this gloriously funny and relatable read.* *  ** **Readers totally love** ** *Has Anyone Seen My Sex Life?* **** : ** ** 'Last night I started* Has Anyone Seen My Sex Life?* by Kristen Bailey and **oh my days... I was howling in bed! The hubby wasn't happy... Said that amount of laughter should not be coming from the bedroom * *.'* Emma and the Little Book Worm* , 5 stars  ' **There are funny books that make me smile and there are hilarious books that make me laugh out loud. For me this one definitely belongs in the latter category**... This story is filled with funny parts and I **totally adored** it.' *B for Book Review* , 5 stars  'Full of humour, **will definitely make you laugh (would be surprised if it didn't!)**... **Makes you smile and laugh**.' Goodreads Reviewer, 5 stars  ' **Hilarious**... It really had all the feels.' *Foxy Faces with Nicky* **  'A real light-hearted **humorous, laugh-out-loud** read... **Will keep you entertained from start to finish, very down-to-earth, relatable humour that parents everywhere will be able to relate to!** ' Goodreads Reviewer, 5 stars","ff:b/kristen-bailey/has-anyone-seen-my-sex-life,mobi-asin:B083DZHPVJ,goodreads:55057914,isbn:9781838882358,amazon:1838882359","eng","","Has Anyone Seen My Sex Life?","","Romance contemporáneo [REVISAR]"
"Can I Give My Husband Back?","Kristen Bailey","","The Callaghan Sisters","2.0","**My sisters call my ex-husband Satan. That tells you everything you need to know about him.** I thought I was sorted on the life front. I was a heart surgeon with a loving partner and two gorgeous little girls. Except my husband's version of 'loving' is lying, cheating and sleeping his way around London. Which means I definitely deserve a refund.  Unfortunately, moving on isn't that simple. Just because I know how to operate on a heart doesn't mean I know how to fix my broken one. Plus, I lost the receipt for him years ago so I'm definitely getting short changed.  But now I'm single, am I ready to mingle? There are a few minor issues:  1) The last time I went on a date double denim was in fashion and my eyebrows were horrendously overplucked.   2) Men wear stupidly skinny jeans now.   3) I don't know how to use dating apps but at least I don't have to get changed out of my pyjamas.   4) Sometimes the most promising thing you have in common with a guy is a shared love of prawns.   5) I don't know whether to open a date with 'hi' or 'hello' or 'hey' and once I ended up saying 'howdy'.  Everything happens for a reason, they say. There's plenty more fish in the sea. But what happens when everything falls apart and you haven't got a clue how to go fishing?  **An absolutely hilarious and utterly relatable tale for anyone who has ever survived a nightmare relationship, felt a little lonely or nursed a broken heart with wine and carbs. This feel-good novel will get you back on your feet and genuinely laughing out loud. Perfect for fans of *Why Mummy Drinks* , Sophie Ranald and Sophie Kinsella.** ## **Readers love Kristen Bailey:** ' **Absolutely hilarious!! Seriously, I haven't been able to put this one down!**... I **have not stopped laughing**... One of those books which is **perfect** after a stressful day because you are **guaranteed to laugh out loud... Loved it... Devoured this book in just a few hours... Impossible to put down**.' *Little Miss Book Lover 87* ,  ' **One of the funniest books I have read. Ever!**... I **absolutely LOVED** this.' *Star Crossed Reviews* ,  'I **can't even count all of the times I burst out laughing**... I **laughed so hard my cat jumped out of his bed scared out of his mind and gave me an evil look for disturbing his sleep**... If you love a good laugh-out-loud story full of heart, love and banter and are **not afraid to be that crazy person in public laughing like a total maniac** , then this is definitely the book for you!' *Sinfully Wicked Book Reviews* ,  ' **I've read books which have made me laugh before - but this time I couldn't stop!**... I **giggled hysterically**... It's **so very, very funny!** My long suffering other-half is used to me **giggling maniacally** when I'm reading, but this **took things to a whole new level... A right good laugh... Absolutely hilarious... Yes, it's THAT funny! Without a doubt, worth a full house of stars**.' *Grace J Reviewer Lady* ,  ' **Oh my days... I was howling** in bed! **The hubby wasn't happy... Said that amount of laughter should not be coming from the bedroom!** ' *Emma the Little Book Worm* ,  ' **Tears were running down my face, I was laughing so hard**.' *I Am Indeed* ,  ' **A laugh-a-minute comedy... I began laughing at about page 2 and didn't stop until the end**... **Funny-as-hell!!** I challenge anyone, man or woman, to read this book and not find at least one bit of it where you can say ""yep... that's my life""!!! This is a book that **I started reading with tears in my eyes from laughing and rounded it off wonderfully with tears of sadness!!!... Fab, fab, fab!!!** ' *Stardust Book Reviews* ,  ' **The laughs never stopped... Will give you a good bellyache from laughter**.' *DarnCuteBookReviewGirl* ,","isbn:9781838882389,amazon:B0851DH1CM,mobi-asin:B0851DH1CM,goodreads:52076869,ff:b/kristen-bailey/can-i-give-my-husband-back","eng","","Can I Give My Husband Back?: A totally laugh out loud and uplifting page turner","","Romance contemporáneo [REVISAR]"
"Did My Love Life Shrink in the Wash?","Kristen Bailey","","The Callaghan Sisters","3.0","It’s normal to wish that your baby came with a snooze button, right?  When I got pregnant, Will and I didn’t have a clue what we were signing up for. It turns out that there’s loads we weren’t warned about:  1) In the middle of the night you’ll be begging Siri for advice on getting your baby to sleep. (In case you’re wondering, whale music doesn’t work.)   2) If you make the mistake of going to a nightclub you’ll nod off, drool, and be woken up by an angry bouncer.   3) You’ll spend more time spooning your child’s cuddly donkey than your own boyfriend.   4) Communication with your other half will be via post-it notes on the fridge, mainly telling him to buy more milk.   5) Sex is something that happened in another dimension.  But even if I feel like I’m waiting for my motherhood powers to come in the post, at least I’ve got Will. Our old life – festivals, sambuca shots, an actual sex life – might be a distant memory, but we can get through anything together, can’t we?  At least that’s what I thought until, one day, Will walked out on us… If I’m on my own (apart from Siri, obviously) can I do this whole parenting thing? Or I am destined to lose my sanity one sleepless night at a time?","mobi-asin:B08L5BYRL3,isbn:9781838889722,goodreads:55668385,ff:b/kristen-bailey/did-my-love-life-shrink-in-the-wash,amazon:B08L5BYRL3","eng","","Did My Love Life Shrink in the Wash?: An absolutely laugh-out-loud and feel-good page-turner","","Romance contemporáneo [REVISAR]"
"Shattered Sinner","Bri Blackwood","","The Shattered Trilogy","2.0","**This was never a part of the plan….** My life was in shambles.My parents tried to seal my future to a man I didn’t know.But he could never have my heart.It belonged to the one man who was forbidden to me, my brother’s best friend.Too bad he had no issue shattering it into a million pieces.When I thought things couldn’t get worse, my best friend was missing, leaving behind a void filled with dark questions and secrets.The only thing I could do is fight for my survival.I refused to be a pawn in this twisted game.Welcome to my descent where I have no problem bringing everyone down with me. **Shattered Sinner is the second book in a dark college romance trilogy that has enemies-to-lovers themes. This book may not be suitable for all readers due to dubious situations that might be triggering. It ends in a cliffhanger and the next book in the series will be Shattered Reign. This story takes place in the Brentson University world.**","mobi-asin:B0C6G23BCM,amazon:B0C6G23BCM,goodreads:164957901","eng","","Shattered Sinner","","Romance contemporáneo [REVISAR]"
"The Way We Are (Pinkie Promise Duet Book 1)","Shandi Boyes","","","1.0","","mobi-asin:B07JFCT7VY","eng","","The Way We Are (Pinkie Promise Duet Book 1)","",""
"The Way We Were (Pinkie Promise Duet Book 2)","Shandi Boyes","","","1.0","","asin:B07K4ZPDZW","eng","","The Way We Were (Pinkie Promise Duet Book 2)","",""
"Abducted by the Bratva","Isla Brooks","","Zolotov Bratva","1.0","**I accidentally got knocked up by the head of the Bratva.** It was just one night with a much older stranger. One night to forget about my troubles. But when he finds out I’m pregnant, he suddenly becomes possessive and protective. And now he’s dragged me to his mansion and tells me I must marry him. He rules the city with an iron fist, and now he wants to rule my body. He never accepts no, he always gets his way. I know what’s at stake, I know exactly what he’ll do when I don’t obey him. He thinks he owns me, that my curves belong to him alone. His ice cold hands touch me until I succumb. His toxic tongue plays me until I give in. His heir is growing inside of me, and he will never let me go. Should I try to escape this Russian prison? Or should I give myself to the Bratva?  **The Zolotov Bratva control Philadelphia. They are cruel, relentless, and resolve conflicts solely through bloodshed. But when you’re the woman they want, you’ll discover the meaning of tough, addictive love that only their frosted Russian heart can give you...**","mobi-asin:B0CRSDXNQN,amazon:B0CRSDXNQN,goodreads:205049876","eng","","Abducted by the Bratva","","Romance contemporáneo [REVISAR]"
"Dare You Twice_A mystery thriller to keep you guessing","Murray Bailey","","Dare You thriller","2.0","","mobi-asin:B0774G3CL8,isbn:9781999795412","eng","","Dare You Twice_A mystery thriller to keep you guessing","",""
"A Caller's Game","J. D. Barker","","","1.0","","isbn:9781734210453,mobi-asin:B08Q1TWS2M","eng","","A Caller's Game","",""
"Forsaken","J. D. Barker","","","1.0","","isbn:9780990694915,mobi-asin:B00P1W6RDQ","eng","","Forsaken","",""
"Caribbean Shipwreck","Sal Bianchi","","","1.0","Retired Navy SEAL and police officer Pierce Archer was looking forward to a laid back family vacation filled with scuba tours, snorkeling, and plenty of time in the sun. But when pirates attack their excursion boat and take a family member hostage, Pierce's instincts kick in, and the old skillset he thought he'd put to rest comes back into practice. He vows to do everything in his power to get his family back, but without any weapons and far from home, can he pull it off? Or will his Caribbean vacation turn into disaster?
","mobi-asin:B0CLKKM37F","eng","","Caribbean Shipwreck","","Misterio·Thriller·Terror [REVISAR]"
"Shakedown in Havana","Sal Bianchi","","Rising Tide Adventures","2.0","Pierce Archer's new vigilante outfit is up, running, and ready for their first client, and it isn't long before the perfect case falls in their lap. A young man is dead, and all signs point to his friend as the culprit. Except the friend, and the rest of his family, insists he didn't do it. With the evidence piling up against him and the cops eager to close a cut-and-dry case, Pierce and his team jump into action. It seems like a straightforward assignment, but things go off the rails when the path leads them on a chase down to Havana.  Without the red tape holding them back, will they be able to find the missing piece to the puzzle, or will the road lead right into a gruesome death?","goodreads:201125770,ff:b/sal-bianchi/shakedown-in-havana,mobi-asin:B0CM6NGNGD,amazon:B0CM6NGNGD","eng","","Shakedown in Havana","","Misterio·Thriller·Terror [REVISAR]"
"Vanishing in Aruba","Sal Bianchi","","Rising Tide Adventures","3.0","When American women start disappearing on the island of Aruba, the news travels fast, and Pierce Archer and his team think it's the perfect case to sink their teeth into.  But things get complicated quickly when Pierce himself is named as a suspect, a dead body washes ashore, and a lead pulls them away from the island.  With time not on their side, will Pierce and his team be able to track down the foe behind the vanishing acts, or will clear Caribbean water prove deadly for anyone who gets too close?","ff:b/sal-bianchi/vanishing-in-aruba,goodreads:202754143,mobi-asin:B0CP2PVMXR,amazon:B0CP2PVMXR","eng","","Vanishing in Aruba","","Misterio·Thriller·Terror [REVISAR]"
"New Orleans Nightmare","Sal Bianchi","","Rising Tide Adventures","4.0","Pierce and his team have followed the mysterious flower symbol down to New Orleans. Their laid-back research trip takes an unusual turn, however, when a terrified stranger suddenly arrives and hides at their table. When they discover he is merely a journalist writing a simple piece on the newest housing development in New Orleans, they immediately investigate, and what they discover is far deeper and more dangerous than they'd ever imagined.  Can Pierce help this new stranger before it's too late? Or will the secrets behind the walls be the last ones he hears?","ff:b/sal-bianchi/new-orleans-nightmare,amazon:B0CRBMY14T,mobi-asin:B0CRBMY14T,goodreads:204679985","eng","","New Orleans Nightmare","","Ciencia Ficción [REVISAR]"
"La casa sin llaves","Earl Derr Biggers","","Charlie Chan","1.0","Dan Winterslip, antiguo pirata y negrero, había sido uno de los hombres más ricos y respetados de Hawaii. En su juventud todos le temían y odiaban en las tierras bañadas por los mares del Sur; pero cuando fue decubierto su cadáver, hacía ya tiempo que aquel pasado parecía haber sido borrado por la paradisíaca atmósfera de la isla. Ahora, Charlie Chan, el gordo, educadísimo y muy eficaz detective chino de la policía de Hawaii, debía poner al descubierto una maraña de odios, venganzas y envidias; tenía que aislar el sentimiento que había provocado el crimen y la mano que había empuñado el arma asesina.
","goodreads:24166192","spa","","La casa sin llaves","","Ficción general [REVISAR]"
"El loro chino","Earl Derr Biggers","","Charlie Chan","2.0","Gracias mil. Es una de la frases que más usa Charlie Chan. Porque es un hombre extraordinariamente educado, lo que no le impide ser duro e inflexible. La avalancha de chinos taimados, crueles, siniestros y malvados de tantas novelas tiene su contrapunto en este detective. El sargento Chan de la policía de Honolulú es flemático, tiene doce hijos y, sin otra pista que la proporcionada por un loro que se va de la lengua, puede desentrañar el misterio de un asesino sin cadáver.
","goodreads:23254301,isbn:9788402081506","spa","","El loro chino","","Misterio·Thriller·Terror [REVISAR]"
"El Criado Chino","Earl Derr Biggers","","Charlie Chan","6.0","Charlie Chan es chino, detective, pertenece a la policía de Honolulú y es uno de los personajes más inteligentes y divertidos de la literatura policíaca de nuestra época. Con paciencia oriental es capaz de resolver los casos más intrincados y arrojar luz sobre los misterios más sombríos. Esta vez, la muerta es una señora muy hermosa, y los sospechosos son cuatro, pues la bella asesinada se había casado cuatro veces. Y ninguno de sus maridos o ex maridos tiene una coartada muy sólida...  Origen de Charlie Chan: En 1925 el periódico estadounidense The Saturday Evening Post iniciaba la publicación de un nuevo serial, The house without a key, con el que ganar lectores a la competencia. El relato era obra del escritor Earl Derr Biggers (1884-1933), quien había encontrado su inspiración en la prensa. Según contó más tarde el propio novelista, había leído en 1919 un diario de Honolulú (Hawai, Estados Unidos), donde se explicaban las hazañas de un célebre detective local, Chang Apana (1871-1933). La vida de este investigador cautivó inmediatamente la imaginación de Biggers, pues Apana había sido vaquero antes de entrar al servicio de la policía hawaiana, luchando valerosamente contra las mafias locales","isbn:9788402089861,goodreads:22398020,amazon:8402089860","spa","","El Criado chino","","Ficción general [REVISAR]"
"Abomination","E. E. Borton","","","1.0","They were built as unstoppable warriors. They became unstoppable monsters.  

Four decorated U.S. Marines with spotless service records are wanted for the brutal rapes and murders of over a dozen women within four months. Their hunting grounds stretch from New York to Georgia. When Ryan Pearson and his team of FBI agents close in on the first killer, the cornered Marine nearly defeats three heavily armed assault teams with nothing but unbridled violence and grossly deformed hands.   

After the bloody encounter that left another woman and two agents dead, Ryan begins to question the directives of the military liaison and his own boss, the Deputy Director of the Bureau. The answer he discovers during his unsanctioned investigation blurs the normally focused line between victim and criminal.   

Ryan enlists the help of a civilian scientist that can link the sociopathic behavior of the four fugitive Marines to a biomedical research facility where they were stationed prior to the murders. When the scientist Ryan befriends is attacked in a military style ambush, he forces himself to remember every detail of the violence. He wants to remember so he knows exactly what to give back to the ones responsible.
","amazon:B005Q2N4NC,google:bYfIWIQNhgsC,isbn:9781456727802","eng","","Abomination","","Ciencia Ficción [REVISAR]"
"Cursed Brides and Alibis","Amy Boyles","","Southern Belles and Spells Mystery","2.0","","mobi-asin:B07TWGTV4M","eng","","Cursed Brides and Alibis","",""
"Magical Dames and Dating Games","Amy Boyles","","Southern Belles and Spells Mystery","3.0","","mobi-asin:B07X1FRMYF","eng","","Magical Dames and Dating Games","",""
