title,authors,tags,series,series_index,comments,identifiers,languages,library_name,#language_code,#world,#subtitle,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Los olvidados","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","11.0","Alguien ha derribado una nave-insecto, y los yeerks intentan ocultarlo rápidamente de una vez y para siempre. Pero Tobías lo ha descubierto. Ahora los animorphs podrán revelar al mundo que la Tierra está invadida. Pero entonces todo empieza a complicarse. Jake, los demás animorphs y Ax se ven transportados a otro lugar y a otro tiempo. ¿Encontrarán el camino de retorno?","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Forgotten","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","11.0","There's been an accident. Someone crash landed a Yeerk Bug fighter, and the Yeerks have been trying to cover it up--quickly. When Tobias spots it before they get the chance, the Animorphs decide to steal the ship, to show the world that Earth has been invaded.  That's when things go terribly wrong. Before they know it, Jake and the other Animorphs find themselves in another place. Another time. And there's no way home...","amazon:B0718Y95LW,goodreads:35381280,grvotes:5444,isbn:9781338216523","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia, Ambientacion · Viaje en el tiempo","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"La reacción","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","12.0","A Rachel le están pasando unas cosas muy raras. Se transforma sin querer y es incapaz de controlar el proceso. Estaba haciendo los deberes cuando, sin previo aviso, se convierte en cocodrilo. De repente, sin recuperar antes su aspecto humano, toma forma de elefante. ¿Qué está ocurriendo? No lo saben, pero Rachel y sus compañeros deben averiguarlo, y rápido. Nadie puede sorprender a Rachel en una de sus inesperadas transformaciones, o los animorphs serían descubiertos…","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Reaction","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","12.0","Rachel's got some pretty strange stuff happening. She can't control her morphing. One minute, she's doing homework. The next, she's morphing a full-grown crocodile, and -- without returning to human form -- she becomes an elephant. That's when the floor gives way and Rachel finds herself looking up at what *used* to be the kitchen ceiling. 
What's going on? No one's sure, but Rachel and the other Animorphs have to figure it out -- quickly. Because if someone sees Rachel's out-of-control morphing, the other Animorphs and Ax are in some serious trouble...
","isbn:9780590997348,goodreads:815401","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Young adult/Juvenil","","Ciencia Ficción","100","Problemas con el poder de morphing en contexto de invasión alienígena.","Animorphs","1.0"
"El cambio","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","13.0","Tobías se ha acostumbrado bien a su vida de ave. Aunque ahora es un halcón ratonero, su mente es todavía la de un chico. Al principio le costó adaptarse a estar atrapado en aquel cuerpo pero, después de todo ya no está tan mal. Pero ahora Tobías ha tomado una decisión muy especial, de la que ni los demás anirmophs ni Ax saben nada. Una decisión definitiva. ¿Seguirá siendo una rapaz?… ¿O recuperará su forma humana?","goodreads:96981985,isbn:9788440690968,grvotes:0,amazon:8440690967","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Young adult/Juvenil, Subgenero · Poder alienigena","","Ciencia Ficción","100","Morfología animal por tecnología alienígena.","Animorphs","1.0"
"The Unknown","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","14.0","There's a new rumor in town. Someone has discovered an item that proves life on other planets exists. And they've been hiding it on a base called Zone 91. The Most Secret Place On Earth. 
Cassie, the other Animorphs, and Ax already know about life on other planets. Too well. They also realize the Yeerks will try to access Zone 91 to find out if what's there will threaten their mission. So the Animorphs decide to pay Zone 91 and the Yeerks a little visit. But what they discover is not at all what they expect.
","isbn:9780590494236,goodreads:363391","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Young adult/Juvenil","","Ciencia Ficción","100","Investigación de la Zona 91 y posible evidencia de vida extraterrestre.","Animorphs","1.0"
"La huida","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","15.0","¿Hay algo peor que descubrir que tu madre es Visser Uno, el jefe de la invasión yeerk en la Tierra? Eso mismo le ocurre a Marco. ¿Cómo podrá mirarla a los ojos, sabiendo que en su cerebro se oculta un yeerk? Cuando Marco, los demás animorphs y Ax descubren que Visser Uno supervisa una proyecto submarino secreto, deciden ir a echar un vistazo. Sin embargo, Marco no sabe si va a ser capaz de pelear en esta batalla…","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Escape","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","15.0","Almost nothing could be as bad as finding out your mother is Visser One. The most powerful of all Vissers. The leader of the Yeerk invasion of Earth. But it happened to Marco. And even though he's been handling it pretty well, he knew there'd come a time when he'd have to face her again. Knowing that the Yeerk in her brain had taken his mother away. 
So when Marco, the other Animorphs, and Ax discover that Visser One is overseeing a secret underwater project, they know they have to check it out. But Marco's not sure if this is a battle he'll be able to fight....
","isbn:9780590494243,goodreads:363355","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
"La Advertencia","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","16.0","Jake descubre algo asombroso navegando por Internet: los animorphs no son los únicos que saben lo de la invasión. Existe una página web dedicada a los yeerks. ¿Y si lo investigan? De paso averiguarían si son los únicos en luchar contra la invasión. Pero… ¿y si es una trampa? Decidan lo que decidan, deben actuar pronto, porque Visser Tres no es el único que se muere por conocerlos…","grvotes:0,amazon:8440692196,isbn:9788440692191,goodreads:96982380","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Warning","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","16.0","Jake has made an amazing discovery: a Web site about the Yeerks. Should the Animorphs investigate? If they do, they might walk right into a trap. And if they don't, they'll never know if they're fighting their enemies alone...
","isbn:9780590494304,goodreads:363405","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Young adult/Juvenil","","Ciencia Ficción","100","Descubrimiento de un sitio web sobre los Yeerks.","Animorphs","1.0"
"La caverna","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","17.0","Por fin los animorphs descubren un arma contra los yeerks, un arma que los vuelve locos: el puré de avena. ¡Sí! Para acabar con ellos bastará con prepararlo. ¿O no? Pues no. Porque también tendrán que volver al estanque yeerk, y reencontrarse con Visser Tres es una perspectiva poco atrayente. Quizá esta vez la suerte no acompañe a los animorphs…","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Underground","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","17.0","What's tasty, good for you, and only takes sixty seconds to make? Oatmeal. And because of a strange reaction to the Yeerk's physiology, it's making the would-be invaders of Earth more than a little crazy. Now Rachel and the other Animorphs have a new weapon against the Yeerks. Sounds good, right?Wrong. Because using this advantage against the Yeerks has dire consequences for their human hosts. In order to avoid hurting innocent people, the Animorphs will have to make another trip to the Yeerk pool, where they barely escaped with their lives. The Animorphs have taken chances before and been very lucky. But this time their luck may be about to run out.","grvotes:4460,amazon:B071H98D9J,isbn:9781338216585,goodreads:35448705","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Young adult/Juvenil","","Ciencia Ficción","100","Uso de avena como arma biológica contra los Yeerks.","Animorphs","1.0"
"La decisión","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","18.0","Al transformarse en mosquitos para pasar desapercibidos ante los yeerks, Ax y los animorphs son absorbidos por el espacio cero. No saben cómo han llegado hasta allí, ni cómo regresar a la Tierra… Para colmo, se les está acabando el oxígeno. Por suerte, una nave andalita los encuentra justo a tiempo. Ax está de nuevo con su gente y deberá tomar una decisión definitiva. ¿Optará por regresar a la Tierra?","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia, Ambientacion · Espacial/Space opera","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Decision","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","18.0","Ax and the Animorphs are about to have a huge problem. It starts when they decide to morph mosquitoes in order to slip by some unsuspecting Yeerks. It ends with them stuck in Zero-space with no idea how they got there, no way to get back to Earth...and no oxygen. 
Luckily, an Andalite scout ship finds them before it's too late. But now Ax is finally with his own people. And he doesn't know if he ever wants to go back to Earth...
","isbn:9780590494410,goodreads:363406","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
"La despedida","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","19.0","Cassie ha tenido mas que suficiente. Después de la última misión, se da cuenta de que no quiere continuar. Está cansada de ser un animorph. No hay más que hablar: abandona el grupo. Pero lo peor está por ocurrir. Al parecer una controladora ha seguido a Cassie tras el último encuentro con los yeerks y ha averiguado que nuestra amiga es andalita o… humana. Si sus superiores se enteran, Cassie y sus amigos estarán en peligro y la Tierra sucumbirá a la invasión.","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Departure","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","19.0","Cassie's had it. After the last mission, she realizes she's getting tired of missions. Tired of battles. Tired of being an Animorph. She decides that she just can't do it anymore. So she quits.  But the war for her planet isn't so easy to quit. It seems a human-Controller named Karen followed Cassie after the last run-in with the Yeerks, and she knows Cassie has the ability to morph. If she exposes Cassie, it's all over. No more Cassie. No more Animorphs. No more planet Earth.","isbn:9781338216622,grvotes:4527,amazon:B0716CX5ZJ,goodreads:35381292","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
"El descubrimiento","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","20.0","David ha encontrado la caja azul que Elfangor utilizó para crear a los animorphs. El chico no tiene ni idea de lo que es, pero Marco sí. En cuanto ve a David con la caja sabe que ha de recuperarla… A cualquier precio. Parecía un plan sencillo, pero acaba en espantoso desastre: David huye con los animorphs y Ax. Ahora sólo tienen dos opciones: entregarlo a los yeerks… O convertirlo en el sexto animorph.","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Young adult/Juvenil, Subgenero · Poder alienigena","","Ciencia Ficción","100","Nuevo recluta con el cubo morfogenético.","Animorphs","1.0"
"The Discovery","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","20.0","The blue box Elfangor used to create the Animorphs has been found by a kid named David. David has no idea what he has -- or what it can do. But Marco does. And when he sees David with it, he knows the Animorphs have to get that box. At any cost.
","goodreads:363420,isbn:9780590496377","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
"La amenaza","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","21.0","El nuevo animorph llega justo cuando los yeerks preparan su mayor golpe. La situación es ideal: los líderes mas poderosos del mundo se han reunido. ¿Qué mejor forma de apoderarse de los humanos? Al principio, David se une a la lucha. Pero algo va mal, porque empieza a romper las reglas y a correr riesgos que ponen en peligro a todo el grupo. Los animorphs no saben qué hacer. Los yeerks eran sus peores enemigos, pero la situación está a punto de cambiar…","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"La solución","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","22.0","David, el nuevo animorph, no es lo que parece. Le obsesiona dominar a los otros animorphs, y con su actitud provoca la división del grupo. Rachel y los demás saben que se les acaba el tiempo. Tienen por delante la batalla mas importante de su lucha contra los yeerks, y no pueden esperar. Si vencen, podrán frenar la invasión. Pero nadie sabe qué hacer con David. Porque el nuevo animorph es algo más que un problema… Es un peligro mortal.","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"La farsa","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","23.0","Una chica busca a Tobías. Asegura que es su prima, y Tobías no sabe si dice la verdad, pero parece buena persona, y sabe mucho de él. Lo que cuenta es muy interesante: parece ser que un abogado ha descubierto el testamento del padre de Tobías. Su «prima» se ofrece para asistir con él a la lectura del documento. Pero algo no encaja. Los animorphs deciden investigar un poco… y lo que descubren cambiará para siempre la vida de su compañero.","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"La sospecha","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","24.0","Cassie, los otros animorphs y Ax tienen unos problemas muy pequeños: se llaman helmacrones, y apenas miden tres centímetros. Están furiosos con Cassie, porque creen que les ha robado la nave. Ella pensaba que era un juguete y la ha donado a una institución benéfica. Los animorphs y Ax tienen un nuevo dilema, porque los helmacrones poseen un arma secreta: pueden hacer menguar a los demás. Y si no les devuelven pronto la nave, a la humanidad le aguarda una «pequeña» sorpresa…","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Suspicion","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","24.0","Cassie and the other Animorphs have a few little problems. A few very little problems. Actually, the problems call themselves Helmacrons. They're less than an inch tall, and they're pretty upset at Cassie. They believe she stole their ship. Cassie thought it was just a toy and gave it to charity. Now the Helmacrons want it back.  So the Animorphs have a new dilemma. Because the Helmacrons have their own secret weapon: They can shrink other beings down to their size. And if they don't get their ship back soon, everyone on the planet is in for a little surprise...","goodreads:36067114,isbn:9781338216875,grvotes:3746,amazon:B074PXJVPS","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
"El extremo","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","25.0","Marco y los demás animorphs han conseguido localizar la base de rayos kandrona que están construyendo los yeerks. Eso está bien. Pero se encuentra en alguna parte del Polo Norte, lo cual no está tan bien. Los animorphs saben que los yeerks son criaturas con mucha sangre fría, ¡pero esto es una locura! ¿A quién le apetece ir al Polo Norte sin cuerpos apropiados para el frío? Sin embargo, los chicos saben que si los yeerks logran terminar su base, la Tierra no tendrá salvación. Y los animorphs no están dispuestos a darse por vencidos.","","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Experiment","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","28.0","The Yeerks have decided to try a little experiment. They've decided that if they can develop a way to make people more ""willing"" to be infested, they can speed up Earth's invasion. So the Yeerks try to invent a substance that will take away the human ability to make a decision. A substance that will eliminate free will.Now the Animorphs are not only faced with trying to slow down the Yeerks' invasion, but they also have to put an end to the genetic testing on a small group of humans. This time there's only one chance to stop the Yeerks. And if anything goes wrong, it's all over...","grvotes:3458,amazon:B074PWZBKZ,isbn:9781338216912,goodreads:36148640","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Reunion","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","30.0","Marco's mom is back. But she's not Visser One anymore. Marco's not even sure if she's still a Controller, but he's determined to find out. No matter what it takes. No matter what might happen. Marco wants his mom back.  Jake and the other Animorphs realize that Marco is under some serious stress. And that the situation with his mom could very well jeopardize everything they've worked for. Now they also have to wonder if Marco will be the one to give away the secret of the Animorphs.","grvotes:3266,isbn:9781338216936,amazon:B074PXFXZ9,goodreads:36050067","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
"The Illusion","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","33.0","Tobias and the other Animorphs already have a few problems: saving the world, keeping their identities secret, finishing their homework. Now they have one more thing to add to the list. The Yeerks have discovered a way to cause a person to demorph. And with this new device Visser Three plans on capturing ""the Andalite bandits.""  Now what? The Animorphs realize they have to get rid of the device -- or be captured by the Yeerks. And the risk of getting caught is very high. That's when Tobias comes up with the only possible plan. Someone has to acquire Ax...","amazon:B074PXLQ5W,isbn:9781338217605,goodreads:36148647,grvotes:3274","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
"The Prophecy","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","34.0","There is a chance for the free Hork-Bajir on Earth to start their own rebellion against the Yeerks. They have the numbers, but they don't have the weapons. They've learned from the last surviving Arn -- the race that created the Hork-Bajir -- that Aldrea, daughter of Prince Seerow, knew the location of a stolen Yeerk vessel.  Unfortunately, the only way to recover the ship is to ask Aldrea herself -- and she's dead. The Arn have Aldrea's persona stored, but to bring her back, they need a host body, and Cassie, Rachel, or Toby Hamee are the closest matches. The only problem is that once Aldrea gets into one of their minds, she may not want to come out...","isbn:9781338217629,grvotes:3110,amazon:B074PWJS53,goodreads:36148636","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Young adult/Juvenil","","Ciencia Ficción","100","Continuación de la saga Animorphs con conflictos alienígenas.","Animorphs","1.0"
"The Proposal","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","35.0","Marco already knows he has a few problems. There's the constant battle with the Yeerks, and finding out his mother was infested by Visser One, the leader of the Yeerk invasion of Earth. But things are about to get even weirder. Marco's father is thinking of getting married again.  Meanwhile, the Animorphs have other things to worry about. It seems the Yeerks are trying harder than ever to get people into The Sharing. Now the kids have to find a way to slow down recruitment. But Marco's personal stress is causing him to morph into creatures that don't exist. Creatures the Yeerks are sure to notice... and attack...","goodreads:36148652,grvotes:2927,amazon:B074PY28QH,isbn:9781338217636","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
"The Mutation","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","36.0","Visser Three is still trying to find a way to reach the Pemalite ship that was hidden thousands of feet below the ocean's surface. The ship contains technology so advanced that it's superior to anything even the Andalites have built. And this time, the Visser plans to find the ship so he can use the power to complete Earth's invasion.  Jake and the other Animorphs acquire additional deep-sea morphs in order to stop the Visser's plan. But while trying to destroy the Yeerk ship, the kids make a startling discovery: an underwater civilization. Have the kids discovered Atlantis... or is it just another trap?","amazon:B074PXVQX7,grvotes:2960,goodreads:36148649,isbn:9781338217643","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
"The Weakness","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","37.0","When Jake has to leave town for a family thing, the other Animorphs and Ax figure life will pretty much be normal until he gets back. But when Tobias discovers Visser Three's newest feeding place, the kids decide they have to check it out.  But there's no assigned leader. Now Rachel, Tobias, Cassie, Marco, and Ax have a problem. Who will be the best one for the job? Because being in charge isn't just guts and glory. It's about making decisions that will mean the difference between life... and death.","goodreads:36148643,grvotes:2912,isbn:9781338217674,amazon:B074PXDK2D","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
"The Arrival","K. A. Applegate & Katherine Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","38.0","Andalites have finally arrived on Earth. Ax and the other Animorphs now have allies willing to fight against the Yeerk invasion. But there are only four Andalites. Not nearly enough to defeat thousands of Yeerks. Not enough to stop humans from being infested.  Everyone agrees that the battle must continue, but the Andalites don't want to fight alongside humans. They feel their skills will be less than adequate. And they demand that Ax choose a side. Will Ax stay with his friends... or stand with his people?","goodreads:36148650,grvotes:2909,isbn:9781338217681,amazon:B074PXW7XK","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Ambientacion · Espacial/Space opera, Arquetipo · Realeza, Subgenero · Supervivencia, Subgenero · Thriller legal","","Ciencia Ficción","100","Serie de ciencia ficción juvenil con invasión alienígena y capacidad de transformación animal mediante tecnología alienígena.","Animorphs","1.0"
