title,authors,tags,series,series_index,comments,languages,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Jackson","Neven Iliev","Harem, _Biblioteca.Fantasia.Contemporanea, Find Alien, vampire, Find Elf, Litrpg, Find Vampire, Science Fiction Fantasy, humor, Find Magic, Comedy, Find Demon AND Angel, Find wizard, Fantasy, Fiction","Everybody Loves Large Chests","9.0","It’s amazing what the lack of immediate threat to one’s life and wellbeing can do for a person’s disposition. High risk, high reward endeavors suddenly seem far less appealing, month-long delays are no longer a cause for concern, and sleeping in every single day of the week becomes an extremely attractive proposition. Indeed, without a pressing need to aggressively expand its power, Boxxy T. Morningwood is finally able to simply sit back, enjoy life, and watch the world both turn and burn. Questions such as ‘Who started those fires?’ and ‘Should I do something about them?’ are answered with ‘Don’t know’ and ‘Don’t care.’ Having finally achieved the slow life it never knew it wanted, Boxxy is quite unwilling to jeopardize its newfound safety for no good reason.  Of course, old habits die hard. Acquiring things of the tasty and/or shiny variety remain an enticing goal, as does the steady accumulation of power. Just because it no longer has the threat of death looming over it doesn’t mean that the once-mimic won’t take the occasional calculated risk in exchange for immense personal gain. Admittedly, developments outside its predictions will inevitably put carefully laid plans to waste, but that’s how it always has been and always will be. Boxxy will deal with those issues in the same manner it always has – with cunning ingenuity, brutal efficiency, and old-fashioned dumb luck. Despite what one might think, all three of those traits can be nurtured and improved, even something as seemingly unreliable as good fortune. Especially good fortune.  The time for the Hero of Chaos to get thrown about by the whims of fate is over, and it is now Boxxy’s turn to make the world bend to its will, starting with the savage orcs of the far south.","eng","","Subgenero · LitRPG/GameLit","","Fantasía","90","LitRPG protagonizado por un mímico, sin romance central.","Everybody Loves Large Chests","1.0"
"A Vital Breath","Daniel Humphreys","Find Magic, Find wizard, Find Witch, Find Demon AND Angel, Find Alien, Find Elf, _Biblioteca.Fantasia.Contemporanea","","1.0","#### “YOUR VERY REALITY IS UNDER SIEGE AS WE SPEAK.”
Vengeance came at a high cost. Paxton Locke not only lost his job, but he’s also the subject of a Federal manhunt. On the run, with no backup or resources, he still has a mission, albeit a cryptic one, issued by his angelic patron.
  
But his old Division M coworkers aren’t the only threat. Renaissance Gitano—an elite operative from a secretive order of magicians Paxton has faced before—also hunts him. She will go to the ends of any Earth to bring him to justice and satisfy her own need for revenge.  
With hidden and overt forces of the world arrayed against him, can Paxton Locke answer the call and save the day yet again?  
Harry Dresden's sorcery goes on a Supernatural-style road trip. Cool car sold separately.
","eng","","Subgenero · Fantasia urbana, Paranormal · Angeles y demonios, Tono · Oscuro","","Paranormal","90","Mundo real con ángeles, demonios y magos; caza de demonios, romance no central.","Paxton Locke","1.0"
"Revealed","D. I. Freed","Fantasy, Young Adults (13-18), _Biblioteca.Fantasia.Contemporanea","The Jade Phoenix Saga","2.0","Yu has finally started her journey towards becoming a true cultivator. As a member of the prestigious Black Dragon sect and the disciple of the infamous – and possibly mad – sect leader, she is in the perfect position to finally achieve her goals.  Yet despite her newfound abilities and enviable status, the sect holds challenges and dangers far greater than anything Yu faced in her rural home. Her sect is a brutal place – where power rules all.  And such power can create monsters.  Thrust into the spotlight – Yu once more finds herself the object of disdain and prejudice. She is a competitor to be crushed, a verger girl daring to rise beyond her station, unworthy of the gifts she has been given. Her enemies are everywhere, and they will stop at nothing to see her fail.  Despite the many daggers aimed at her throat, Yu must climb her way through the ranks of her new home, grow her cultivation, and reveal the true depths of her power.","eng","","Subgenero · Fantasia progresiva/Cultivo","","Fantasía","95","Cultivación xianxia en secta; sin romance central.","",""
"Little Miss Dead Girl","G. E. Penton","Find Vampire, _Biblioteca.Fantasia.Contemporanea","","1.0","Lainey is an average seventeen-year-old girl - or she was back in 2009 before she was murdered. She never expected not to get to graduate or not to get to grow up along with all her friends. What makes this worse is that she knows exactly who killed her and can't do anything about it as they walk free. She's stuck asking herself why this happened to her. What did she ever do to deserve this? Her life seems to be stuck in limbo until she happens to meet someone who just so happens to be able to talk to ghosts - and he could be the answer she was looking for.
With help from an old an old friendy works to get her murder solved and her killers to justice all while trying to cope with still just being seventeen.
","eng","","","","Misterio·Thriller·Terror","85","Ghost murder mystery with a teen protagonist.","",""
"Melinda West","K. C. Grifant","_Biblioteca.Fantasia.Contemporanea","","1.0","<p>""KC Grifant comes out guns blazing with Melinda West: Monster Gunslinger&#8212;a devious action-packed adventure set in a very weird version of the Old West. Fast, furious, and a hell of a lot of fun!""</p><p>&#8212;Jonathan Maberry, NY Times bestselling author of Son of the Poison Rose and Relentless</p><p> </p><p>""Melinda West is the hero I've been waiting for as long as I can remember. The world and characters are vivid and magical. This story is a delight.""</p><p>&#8212;Kate Jonez, Bram Stoker and Shirley Jackson Award-nominated author</p><p> </p><p>""Grifant takes her time building the world and its characters, imbuing all with a complexity that adds depth to this wildly entertaining story. This fun, imaginative, and confident series opener will be a massive crowd pleaser for general audiences...""</p><p>&#8212;Library Journal</p><p> </p><p>""KC Grifant's horror western hits the road at top speed and never takes its foot off the accelerator, making the book a perfect fit for...","eng","Monsters, demon, western horror, supernatural, horror western, gunslinger, old west","Arquetipo · Vaquero/Western, Tono · Oscuro","","Fantasía","90","Weird western with monster hunting; no central romance.","Melinda West","1.0"
"Cultivator vs. System: The Complete Series","Valerios","Fantasy, Find Magic, Find wizard, Find Witch, Find Demon AND Angel, Find Alien, _Biblioteca.Fantasia.Contemporanea","","1.0","**3 BOOKS. 1000+ PAGES OF LitRPG CULTIVATION.   
Follow the path of a Xianxia cultivator in a LitRPG setting. See him increase his powers and carve out a new home in a hostile world out to get him. Rejoice as he spreads cultivation to those in need, each with their own story to tell. In this journey, wholesomeness and epicness go hand-in-hand.**   
Long Fang is stranded in a foreign world where proper cultivation has been replaced by annoying blue screens. He is confused and alone... but not for long.   
Completely ignoring the System, he forms a wholesome sect of followers to spread cultivation across the wild world. Blue screens do not take kindly to rejection, however, and Long Fang’s stubbornness soon finds him pitted against increasingly dangerous foes.   
To overcome the System tribulations, he must quickly grow stronger and wiser... But first, he needs to get past that one annoying town guard.   
**Don't miss this special edition full series omnibus of an ambitious LitRPG/Xianxia mash-up. It’s perfect for fans of either genre, and lovers of all things Progression Fantasy.**
","eng","Fantasy","Subgenero · LitRPG/GameLit","","Fantasía","90","LitRPG de cultivación en mundo con sistema, sin romance central.","Cultivator vs. System","1.0"
"Forsaken Thrones","L. L. Stiles","Find Magic, Find Witch, Find Fae, Find Elf, _Biblioteca.Fantasia.Contemporanea","","1.0","Three sisters formed into weapons. One called to fight for the Queen set on conquering their land. The other two are determined to find their own paths.
But if the three are brought back together, could they be the key to ending the Queen’s terrible war?
Ellie Batair was sure of one thing and one thing only. If given the chance, she could defeat any man that stood in her way. But when forced to enlist in the army of a Queen she hates, and endure brutal, life threatening trials, she comes face to face with the truths of her past. Truths that her years of training never could have prepared her for.
In order to survive, Ellie finds allies in the most unlikely of people; a young Elf, a cunning witch, and a haughty Fae.
The Forsaken Series is an action packed fantasy, with an intricate magic system, multiple bad-ass heroines, and fated mates. This series is perfect for fans of the Throne of Glass series, Air Awakens, and These Hollow Vows.
","eng","","Paranormal · Fated mates, Ambientacion · Corte/Intriga palaciega","","Fantasía","70","Fantasy with war, magic, and fated mates.","Forsaken Series","1.0"
"The Huntsman of Alba","Doug Chapman","Find Magic, Find Werewolf, Find Witch, Find Demon AND Angel, _Biblioteca.Fantasia.Contemporanea","","1.0","Abducted as a child from his tribe in the New World, Hawk has spent the last fifteen years traveling medieval Europe as a huntsman for hire. All the while, he hopes to find and enact revenge upon the Norsemen raiders who murdered his family. This quest brings him to twelfth century Scotland’s Kingdom of Alba where he is propositioned by the king. In exchange for slaying a mysterious beast, the king will share information about Hawk’s kidnappers.  Hawk’s epic journey begins. He joins forces with a mysterious noblewoman, a chivalrous knight, and a witty and fearless warrior named Mòrag—all of whom seek the evil Norsemen. But as the kingdom falls apart at the hands of warring clans and his companions’ secret pasts threaten their quest and their lives, Hawk becomes ever more determined to not let his hunt for revenge fail.  But will his resolve aid him in his mission, or will vengeance blind him from what is truly important?  Written by renowned fantasy author Dr. Doug Chapman, *The Huntsman of Alba* is the first installation of the Huntsman of Alba series.","eng","","Ambientacion · Highlander/Escoces, Subgenero · Fantasia epica","","Fantasía","80","Escocia medieval, caza de bestia, venganza; sin romance central.","Huntsman of Alba","1.0"
"In the Kingdom of Dreams","C. L. Cannon","_Biblioteca.Fantasia.Contemporanea","","1.0","There is a power in dreams. Some might even call it magic...  Long ago in a kingdom far away, lived a fair king and his queen. For many years they longed for a child. Finally, the gods smiled upon them and they were blessed with a daughter whom they called Aurelia. She was the sunshine of their lives, until an evil fairy placed a curse upon her, damning her to sleep eternally until she should receive true love's first kiss. Forever to dream. But there is a power in dreams. Some might even call it magic...  Aurelia learned from a young age that there was something special about her and that many who professed to be her friends only sought to steal or extinguish that power. With the help of a handsome prince and a mysterious mage named Rook, she's going to fight for her life and her kingdom... even if she has to do it from the dream realm.  The first 18 years of Prince Edmond 's life have always been about duty. A duty to his mother to honor her wishes, a duty to his father to carry on his legacy of power and fairness, and a duty to his kingdom to release them from the plague that had now terrified them for three generations. Aurelia is the first person Edmond has ever felt he could choose for himself. She could be the key to delivering his kingdom from their ill fate, but first, he'll have to earn her trust.  Rook has a secret. He's not actually a simple mage and his chance meeting with Aurelia is not at all coincidental. He's been sent by his fairy guardian to ensure that her evil plan goes off without a hitch. There's only one problem, he underestimated the effect Aurelia would have on his heart. Can he do his duty and win his freedom from the fairy's clutches or will he be swayed by the goodness of her mortal enemy?","eng","","Ambientacion · Corte/Intriga palaciega, Dinamica · Amor a primera vista, Subgenero · Romantasy","","Romantasy","95","Cuento de hadas con romance central, mundo inventado.","",""
"The Black Rose of Helvetia","Gary Spechko","Litrpg, _Biblioteca.Fantasia.Contemporanea, Find Cock, Find Magic, Fantasy, vampire, Find Alien, Find Elf, Find Vampire","The Hero of the Valley","4.0","Duncan and Rose travel to the Kingdom of Helvetia in search of training and adventure. There, Duncan meets a mentor, makes a lot of new enemies, and takes the next steps on his path to becoming a legendary hero.
","eng","","Subgenero · Fantasia epica","","Fantasía","90","Fantasía de aventuras y entrenamiento heroico.","",""
"Tarotmancer","W. A. Simpson","Find Alien, Find Cock, Find Fae, Find Magic, Find Witch, Find wizard, gothic fantasy, flame tree press, Fantasy, modern fantasy, Epic Fantasy, hunger games, _Biblioteca.Fantasia.Contemporanea","","1.0","**If the first book was ""...a riveting tale about personal strength and hidden magic"" (** Foreword Reviews)**, this next one is about working together to defeat a great enemy in the magical Riven Isles.**  
Following *Tinderbox,* the acclaimed first title in the The Tales of the Riven Isles, the story of magic and revenge continues with *Tarotmancer*. Harper holds the Gift of Divination. Red is the infamous Reynard the Fox, fugitive shapeshifter. When his past finds him Red is taken to the Kingdom of Vale within Underneath so he can pay for his crimes and Harper is taken as hostage. With the Rot drawing on the hatred of the citizens, including Harper she realizes she must put her feelings aside and save Red from the punishment of the Cesspit. As the Rot continues to grow, all must take control of their emotions and join to protect Vale.  

","eng","gothic fantasy; flame tree press; fantasy; modern fantasy; epic fantasy; Hunger Games","Subgenero · Fantasia epica","","Fantasía","95","Fantasía épica con magia, cambiaformas y venganza.","The Tales of the Riven Isles","1.0"
"Alius Academy","Lara Wray","Paranormal, _Biblioteca.Fantasia.Contemporanea, Find Magic, Find Witch, vampire, Find Alien, Fantasy, Find Fae, Find Vampire","Elemental Mage","1.0","Thrust suddenly into a world of magic, monsters, aliens, and secrets, Lori’s in way over her head. And now she must face a series of treacherous trials… or die trying! 
Laurel-Leah Fields isn’t who she thought she was. She’s been snatched away to the most prestigious magical combat school in the the Alius Academy. Not only can she never see her parents again, but she only has two options—go to a detention facility, or accept an invitation to the Academy Trials to learn magic. 
Wanting to protect her family from the dangers she never knew existed, Lori chooses the trials—but only the use of her new-found magic, something she barely understands, will save her from their deadly challenges. 
It soon becomes clear that there’s far more to Alius Academy than beating the trials. Lori must learn to navigate a world full of speciesism, murderous mythical creatures, and boys who might want to eliminate her, kiss her or both. She needs allies to survive, and there seems to be more secrets at every turn. If she can’t discover who unbound her magic and who seems hellbent on hunting her down, she might not survive this… 
Escape to a world of fae, shape-shifters, flying horses, teacup alicorns, formidable dwarves, needling vampires, mages, alien creatures, and more! If you like magic combat academies , and trials of aptitude, you’ll love this first instalment in the Elemental Mage series. Lara Wray is a British author who writes fun, action-packed fiction that will have you gripped until the very last page! Suitable for 16 years and up 
This book ends on a cliff-hanger! One-click buy or read now to escape to the Alius World!
","eng","","Subgenero · Young adult/Juvenil, Ambientacion · Academia magica/Dark academia, Paranormal · Fae/Feerico","","Fantasía","85","Academia mágica con elementos sobrenaturales y sin romance central","Alius Academy","1.0"
"Social Vampire","James Schannep","Find Magic, Find Alien, Find Werewolf, Find Vampire, vampire, Young Adult, novel, Find wizard, _Biblioteca.Fantasia.Contemporanea","","1.0","**At a new school, you get a chance to reinvent yourself, so...why not be a vampire?** Gordon is hiding something. Is it the fact that he's secretly a vampire? No, of course n-wait. Yes. That's *exactly* what he's hiding. Let's go with that.  So when this nerdy teen moves to a small town where all the kids are obsessed with vampire fiction, he reinvents himself as their dream character: dark & brooding, cool as hell, and overly susceptible to stabs through the heart.  While rivaling the alpha male jock, garnering the attention of the most popular girl in his class, and forming a hilarious friendship with the girl next door (the only one who knows his secret), Gordon might find that his new school is the perfect place for him to shine-or, better yet, *sparkle*.  **But if his classmates dig up the truth, it'll be the nail in his coffin...**","eng","Fiction, Novel","Paranormal · Vampiros, Tono · Cozy/Ligero, Ambientacion · Small town, Subgenero · Young adult/Juvenil","","Paranormal","80","Vampiro adolescente en un pueblo pequeño, con toques cómicos y románticos pero el foco es la identidad y la escuela.","",""
"Love Lost","Cathryn Leigh","Find Magic, Find Vampire, _Biblioteca.Fantasia.Contemporanea","","1.0","Friends since childhood, Alethea and Eramaus find themselves embarking upon an adventure. But this is no tame childhood stroll in the rainforests of their youth: this is a journey of faith to the Holy City, for they have been called to serve their god, the Lord of Light. But Alethea is constantly called a Dark One, a child of Night, unworthy of becoming a mediki. Eramaus follows her to protect her, only to find himself falling in love. Will he have the strength necessary to deliver both of them to the Holy City in time to complete their initiate vows, or will Alethea's faith falter before they even get there?
","eng","","Dinamica · Amigos a amantes, Tono · Angst/Drama emocional","","Fantasía","90","Fantasy quest with religious undertones; friends-to-lovers subplot but romance not central.","",""
"Dance of Death","Peter Diggins","Find Alien, Find wizard, _Biblioteca.Fantasia.Contemporanea, Find Magic, Find Witch, Find Elf","The Syrane Chronicles","3.0","Get ready for the next epic installment in The Syrane Chronicles, where danger and betrayal lurk at every turn. 
Duncan Hawkwind, the outsider, has faced countless obstacles in his quest to return home to Earth. As he reaches the end of his journey, he discovers that his greatest challenges still lie ahead. 
In Dance of Death, Duncan must confront an army of undead, ancient gods, a gang of ruthless killers, and a formidable foe known only as the Sword Master. With the fate of the kingdom hanging in the balance, can Duncan complete his mission? 
As he battles to survive, Duncan begins to question his own mortality. How long can he continue to fight against forces he can barely comprehend? And even if he does survive, what kind of world will be waiting for him when he finally makes it back home? 
Don't miss Book 3 in the epic fantasy series, The Syrane Chronicles , and if you're new, be sure to pick up Book One, A Miscast Spell and find out for yourself why readers are raving about this action-packed series.
","eng","","Subgenero · Fantasia epica","","Fantasía","100","Aventura épica en mundo secundario con magia y monstruos.","The Syrane Chronicles","1.0"
"ORC G1RL","Gill McKnight","Find Magic, vampire, Find Werewolf, Find Vampire, Find Mafia, _Biblioteca.Fantasia.Contemporanea","","1.0","Bullied at school. Low income family. What does a kid do?
Get an after school job on an orc cleaning crew mopping up after vampires and werewolves.
Great money, zero life expectancy if you’re stupid. Our girl’s not stupid.
","eng","","Paranormal · Vampiros, Paranormal · Lobos/Shifters, Subgenero · Fantasia urbana, Tono · Cozy/Ligero","","Paranormal","80","Urban fantasy with orcs, vampires, werewolves in modern world, no romance.","",""
"I Am Ruin","Jeff Schanz","Find Magic, vampire, Find Werewolf, Find Witch, Find Demon AND Angel, Find Vampire, Find Alien, _Biblioteca.Fantasia.Contemporanea","","1.0","The answers to Merrick's mysteries are within his grasp. They will also tear him apart. What happens when the monster inside is freed?
Merrick and Kat hike across the U.S., searching for a solution to the monstrous entity (aka The Other One) that dwells inside Merrick. When the pursuit of their latest clue, “Everbright,” runs aground in a tiny Arkansas town, the couple stick around to dig further, unaware of the insidious net closing around them.
Like Merrick, other desperate hybrid souls have gravitated to the little town, chasing similar clues and rumors. When two beautiful siblings reveal themselves as fellow hybrids, a deadly trap is triggered, threatening Merrick and Kat’s lives, and their relationship.
Lies, misdirection, and deceptive agendas muddy the distinction between allies and enemies. Merrick becomes a pawn in a secret war between shadowy warlords coveting The Other One as a weapon at any cost. Looking to cash in, an enterprising doctor hunts Merrick with one tear The Other One from Merrick’s body and sell it to the highest bidder.
The Other One is an uncontrollable, uncontainable beast bent on destruction and death, defiant of any “master.” Yet, it’s not the only monster to fear. Another creature of unfathomable power and violence is unleashed to capture Merrick and The Other One, sparking a cataclysm that could destroy the town and everyone in it.
With help from “Everbright,” Merrick must reconcile his two halves to avert catastrophe in an endgame of deception, treachery, and murder. It will take a monster to destroy a monster.
","eng","","Tono · Oscuro, Subgenero · Fantasia urbana","","Fantasía","60","Monstruo interior y caza en un entorno realista; sin romance central.","",""
"Wild-Eyed Southern Boyz: Dead Cold War","Richard R. Rose","vampire, Find Werewolf, Find Demon AND Angel, Find Vampire, Find Alien, _Biblioteca.Fantasia.Contemporanea","","1.0","Over a year has passed since The Uprising, and the Smoky Mountains are slowly healing from the zombie outbreak that threatened the entire world. Buford and Rue begin their new lives protecting their beloved home, while Buford balances his duties between being a park ranger and training a new generation of Red Tunic initiates. Buford and Dolly get married and set off on a turbulent honeymoon. Things are looking up for Rue as he settles into his new role as the Townsend Chief of Police until an old enemy returns to settle a score with the Forrester clan.  Gallow, the Rougarou Alpha, has established an alliance with the Spawned Leader, Janusz, and the long-awaited world invasion known as The Culling is in the final planning stages. However, Gallow has a nefarious plan for revenge against the citizens of Stillwater before he enslaves the rest of the world. Meanwhile, Mad Dog travels to the White House to have his Navy Cross upgraded to the Medal of Honor. What could possibly go wrong?  While the world teeters on the precipice of a devasting war, Hunter’s degenerative condition worsens, and time is running out. Rachael leads an expedition to the Himalayas to retrieve a critical element that may lead to a cure. The stakes are higher than ever as Buford and Rue prepare for a war against the deadliest of enemies. They’ll need all the help they can get, but will it be enough?","eng","","Subgenero · Zombi/No muertos, Paranormal · Lobos/Shifters, Subgenero · Belica/Guerra, Tono · Oscuro","","Paranormal","85","Postapocalíptico con zombis y licántropos en Tierra; foco en supervivencia y guerra, sin romance central.","Wild-Eyed Southern Boyz","1.0"
"Deliverance","Joshua Phillips","Fantasy, _Biblioteca.Fantasia.Contemporanea","Life & Death Cycle","3.0","In a race against time, Mei Lynn flees her past and seeks refuge in the treacherous wilds, her family in tow. With her faith placed in the enigmatic Wanderer, Aidan, who once saved her life, she gathers her parents and best friend, Naomi, to help her liberate him from the grips of the Bastille.  Yet, escape is just the beginning of their arduous journey. Plagued by bitterness and regret, Mei must confront her insecurities and learn to embrace herself fully, for only then can she become the unwavering pillar of strength Aidan desperately needs. In the face of harrowing nightmares, even the strongest wills can falter.  Unbeknownst to Mei, the fate of much more than their own lives rests upon their success.","eng","","","","Fantasía","60","Sinopsis sugiere mundo de fantasía con bastilla y caminante; posible romance secundario, pero trama de huida y liberación.","",""
"If Found, Return to Hell","Em X. Liu","Fantasy, Find Magic, Find wizard, _Biblioteca.Fantasia.Contemporanea","","1.0","Being an intern at One Wizard sounds magical on the page, but in practice mostly means getting yelled at by senior mages and angry clients who've been turned into platypuses alike. So when Journeyman Wen receives a frantic call from a young man who's awoken to a talisman on his bedroom wall and no memory of how it got there, they jump at the chance to escape call center duty and actually help someone for once.
But the case ends up being more complicated than Wen could ever have anticipated. Their client has been possessed by a demon prince from Hell, and he's not interested in leaving...
","eng","Fantasy","","","Fantasía","80","Mundo de magia burocrática con demonios; sin romance central.","",""
"All but Forgotten","D. J. Dalton","_Biblioteca.Fantasia.Contemporanea, Find Fae, Find Magic, Find Witch, vampire, Find Elf, Find Demon AND Angel, Find Vampire","Demon Hunter Guild","1.0","***One flimsy piece of firmament separates the living from the dead.* *****And now, it’s ripping at the seams...* **Businesswoman. Healer. Guild Master. Necromancer. Morgan Whiltemore has plenty on her plate. When she discovers a lesser tear on a mandated patrol, she reluctantly decides to let another guild deal with it. Tears require specialist skills and precision demon hunting — two things Morgan has lost confidence in over the years. 
But when the tear allows evil to strike very close to home, Morgan vows to avenge the soul who was lost on her watch — the first human fatality at demon hands in ten years. The only problem? The Magic Enforcement Agency wants to take the case off her guild’s hands, due to a shortage of level-five members. 
With just three days to find a high-ranking new recruit and keep the investigation under her control, Morgan pulls all the strings she can to find someone to complete her team. But even as she battles to keep the demons out, forces within her guild are working to end her leadership — for good. 
**CLICK ‘BUY NOW’ TO START THE *DEMON HUNTER GUILD* URBAN FANTASY SERIES TODAY!**
","eng","","Subgenero · Fantasia urbana, Paranormal · Brujas/Magos, Tono · Oscuro","","Fantasía","90","Fantasía urbana con caza de demonios y gremios mágicos","Demon Hunter Guild","1.0"
"Blighted Angels","Z. J. Cannon","Find Magic, Find Demon AND Angel, Find Vampire, _Biblioteca.Fantasia.Contemporanea","Nic Ward","7.0","**Fun with Nic and Jane** I keep women at a distance for a reason. Jane most of all. She thinks my life in the shadows is exciting and glamorous. I know better. If I let her get too close, my world will eat her alive.  But when her ex gets himself into the kind of trouble I specialize in solving, she’s got nowhere else to turn. What am I supposed to do? Watch her get herself killed trying to save the guy on her own?  I’ve got no choice but to let her into my office. Doesn’t mean I’m letting her into my life. Because I’ve got a bad feeling this is no ordinary demon problem. This smells like Heaven’s work to me… and considering the well-deserved grudge that place has against me, by my side is the last place anyone should be.","eng","","Paranormal · Angeles y demonios, Tono · Oscuro","","Paranormal","85","Investigación demoníaca con implicaciones celestiales en entorno urbano; sin romance central.","",""
"Dead Weight","G. P. Robbins","_Biblioteca.Fantasia.Contemporanea, Find Magic, vampire, Fantasy, Find Vampire","Magic, Mayhem, and the Law in Precinct #153","1.0","Newly promoted Detective Jace Smithson has his hands full with solving the murders of ten men and the kidnapping of a unicorn capable of producing diamonds. On the surface, the crime appears to be a classic tale of greed and violence, but digging deeper reveals something sinister has come to Cauldron City. 
Securing the safety and security of those he swore to protect is only the beginning of Jace’s problems. Add in his relationship with the dragons of Cauldron City along with a few personal secrets, and he’s the ideal target for the killer. Surviving to tell the tale will test his wit and skills in ways he never thought possible. 
But if he wants to obtain justice for the wronged, he will have to face his challenged beliefs and come to terms with the darker realities of the city he calls home.
","eng","","","","Fantasía","80","Ciudad fantástica (Cauldron City) con dragones, unicornios; detective resuelve asesinatos, sin romance central.","",""
"The Court War","Violette Malan","Epic Fantasy, _Biblioteca.Fantasia.Contemporanea","","1.0","<b>The second book in this epic fantasy saga spins a tale of magic and danger, as a healer finds herself pulled deeper into a web of secrets and world-ending magic.</b><br>With innovative worldbuilding, witty banter, and world-ending magic, <i>The Court War</i> is epic fantasy at its best and most compelling.<br>Fenra Lowens, with her partner Elvanyn Karamisk, has already faced the Godstone. Now she has a different, simpler problem: getting the stick-in-the-mud practitioners of the White Court to return to the old ways of practice, the ways that keep the World healthy.<br>But before she has a chance to present her case, the uneasy balance of power between the practitioners of the White Court and the mundanes of the Red Court&mdash;in existence since the World itself began&mdash;suddenly erupts into open warfare.<br>Fenra is torn between helping her friends and fellow practitioners and moving ahead with the demands of an increasingly impatient World. Though she has help from...","eng","FIC000000 Fiction / General","","","Fantasía","80","Fantasía épica con magia y conflicto entre cortes, sin romance central.","",""
"Through Blood and Dragons","R. M. Schultz","Find wizard, _Biblioteca.Fantasia.Contemporanea, Find Magic, Find Witch, Find Elf, Fantasy, Find Fae","The Forged and The Fallen","1.0","SOON TO BE ADAPTED INTO A VIDEO GAME! 
Steeped in blood. Ruled by those with dragons. 
Cimeren is a world divided by a mysterious forest and the vast Lake on Fire. Suspicion brews on both sides, and the south has fallen into chaos as battles and quarrels rage between kingdoms. 
In the border outpost of Nevergrace, Cyran Orendain is dealing with the loss of his brother and his lord as he strives to face the mounting challenges of a squire of the dragonguard. 
But when Cyran’s guard-master is called to face the most powerful of the southern kings and bear witness to a secret stolen from the north, Cyran is dragged into a war that has been bubbling under the surface for centuries. 
Dragons are not only weapons—they are engines of war. And even though Cyran is not trained in the ways of the dragonguard, he must adapt and learn to become one of them or his homeland and all of Cimeren will be destroyed. 
But he was not born a champion. 
He may break, and he will bleed.
","eng","","","","","95","Epic fantasy with dragons, war, and a squire's journey; no central romance.","",""
"BridgeKeeper","L. S. Moore","Supernatural, Young Adults (13-18), _Biblioteca.Fantasia.Contemporanea","","1.0","On a night when the veil between the living and the dead is as thin as a soap bubble, Will McCurty discovers his dark destiny.
An ability passes to the firstborn in his family. Will's older brother will become a medium, a Bridge across the veil between the living and the dead.
To survive, every Bridge needs a Keeper, someone to control the spirits that possess him, figure out why they've come, and help right their wrongs.
Becoming a Keeper means Will must harbor secrets, lie to friends, and break his mother's heart.
It's that or abandon his brother to the desperate dead.
","eng","Young Adult, Teens, Ghost stories, Thriller, brothers, supernatural, Paranormal","Subgenero · Fantasia urbana","","Fantasía","90","Urban fantasy with spirit medium, no romance central.","",""
"The Nexus Stone","Sydney Michaels","_Biblioteca.Fantasia.Contemporanea, Find Cock, Find Alien, Find Elf, Find Orgasm, Find Magic, Find wizard","","1.0","**One man. Two worlds. Infinite possibilities.** Alex Silverstone was an aspiring archaeologist and academic until he unearthed the ancient Nexus Stone, an ancient artifact that opened a portal to a magical realm and awakened long-dormant abilities within him.  Soon, he discovers that he is destined to stop a tyrannical queen before she destroys his home worlds, old and new. Joined by his newfound companions - a righteous princess, a fiery elf and a healer with a murky past, Alex must navigate secrets of the past, dangers of the present and loves of the future.  **Two worlds, one destiny. Can Alex master his powers and save the day?**","eng","","Subgenero · Fantasia epica","","Fantasía","70","Artefacto mágico, portal a otro mundo, profecía.","",""
"Vision","Wrenna Stone","New Adult, Find wizard, _Biblioteca.Fantasia.Contemporanea, Find Fae, Find Magic, Find Witch, Find Elf, Fantasy, Find Demon AND Angel","The Keepers of Astraela","1.0","Eva has a world inside her head: the land of Astraela, where Darkness and Corrupted beasts threaten eternal doom. Vivid dreams have given her four books as an up-and-coming author, but when undead fiends appear on Earth for a killing spree, she is caught in the crossfire between fantasy and reality. 
These creatures shouldn't exist outside the pages of her books—and neither should Emrys, the fictional hero who slips in from the shadows to tell her Astraela is facing its ultimate destruction. With the fate of her own world at risk, and her main character's life being drained by an age-old curse, Eva must choose between stepping up to the plate or watching every reality she's ever known crumble before her eyes. 
Perfect for fans of The Witcher and Once Upon a Time, Vision is a new adult fantasy novel filled with heart-pounding adventure, magic, and the power of friendship. 
Content/trigger warnings for ""Vision"" include, but are not limited to: Animal death/harm, character death, dismemberment, disturbing imagery, gore, sexual assault.
","eng","","Subgenero · Fantasia epica","","Fantasía","90","Mundo de sueños (Astraela) y criaturas que cruzan a la Tierra; conflicto fantástico sin romance central.","",""
"A Troubled World: The Complete Series: (A LitRPG Adventure Box Set)","Stephanne Payne","Find Cock, Find Magic, Find Werewolf, Find wizard, Find Alien, Find Elf, LitRPG Adventure, _Biblioteca.Fantasia.Contemporanea","","1.0","","eng","","Subgenero · LitRPG/GameLit","","Fantasía","95","LitRPG box set; fantasy game world, no central romance.","A Troubled World","1.0"
