title,authors,tags,series,series_index,comments,identifiers,languages,library_name,#world,#subtitle,#subjects,#title_opf,#clasificacion,#libreria
"Muerte plácida","Charlaine Harris","Español.Fantasía.Fantasía Urbana, Temas.Historia Alternativa, Temas.Western, Temas.Guardaespaldas","Gunnie Rose","1.0","Comienza la nueva saga de Charlaine Harris, aclamada autora nº 1 del New York Times cuyas obras han dado lugar a series de culto como True Blood o Midnight, Texas. 
La magia existe... pero no conviene fiarse de ella. Eso lo sabe muy bien Lizbeth Rose, una joven mercenaria que se gana la vida como puede entre los restos de lo que queda en pie de Estados Unidos. Lizbeth recibe una oferta de trabajo por parte de un par de magos rusos para ser su guía y guardaespaldas mientras buscan, entre los pueblos que siguen la frontera con México, a un practicante de la magia de bajo nivel llamado Oleg Karkarov. Los magos creen que Oleg es descendiente directo de Grigori Rasputín y que la sangre de Oleg puede salvar la vida del zar. A medida que este peculiar trío avanza, se hace evidente que una poderosa fuerza no quiere que tengan éxito en su misión. Lizbeth es una mercenaria que nunca le ha fallado a un cliente, pero para esta vez tendrá que ponerse al límite.
","isbn:9788417390563,goodreads:52496981","spa","LFantasia","","","Crimen & Misterio, Fantasía Moderna, Sobrenatural","Muerte plácida","","Fantasía"
"Encrucijada a medianoche","Charlaine Harris","Español.Fantasía.Fantasía Urbana, Temas.Familia Encontrada, Temas.Brujas, Temas.Pueblo Pequeño","Midnight, Texas","1.0","Bienvenidos a Midnight, un pequeño pueblo en torno a un cruce de caminos, en una desolada área del oeste de Texas, un lugar apartado del mundo donde la acción transcurre alrededor de una encrucijada de norte a sur y de este a oeste. Hacia el sur, empieza el desierto. En la esquina noroeste, hay una estación de servicio regentada por un hombre y su hija. En la esquina noreste, una casa de empeños propiedad de un treintañero que ha sido abandonado por su última novia. En el sótano de la tienda viven una ladrona y un vampiro. En el apartamento de arriba, un adivino que claramente huye de algo. En el cuadrante suroeste, hay un restaurante y, en el sureste, un taller de reparación de automóviles que a su vez sirve de capilla... Si uno se detiene en el único semáforo del pueblo, todo parece normal. Pero al cabo de unos instantes, comprende que algo extraño pasa en esta comunidad, que ahora parece consternada por el descubrimiento de un cadáver…
","goodreads:23403269,isbn:9788466655934","spa","LFantasia","","","Fantasía Moderna, Crimen & Misterio, Sobrenatural","Encrucijada a medianoche","Ambientacion · Small town, Paranormal · Vampiros, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"Gata blanca","Holly Black","Español.Fantasía.Fantasía Urbana, Temas.Narrador No Confiable, Temas.Personajes Moralmente Grises, Temas.Familia Disfuncional","Curse Workers","1.0","No es agradable despertarse a medianoche en el tejado del internado completamente desnudo sin saber cómo has podido llegar hasta allí… y recordar únicamente que estabas soñando con una gata blanca. 
Cassel Sharpe pertenece a una familia donde todos tienen poderes y los utilizan clandestinamente. Su madre está entre rejas por timar a millonarios, su abuelo y su hermano mayor trabajan para una de las grandes familias de la mafia. Tan solo su hermano mediano, que estudia en la universidad, y él están al margen: el primero porque no utiliza su habilidad, y Cassel porque no posee ninguna. Siempre ha sido el raro: en su familia, por carecer de poderes; fuera de ella, por la familia que tiene. Aunque Cassel solo aspira a ser «normal», y lo es en todos los aspectos salvo por un «pequeño» detalle: hace tres años se despertó y descubrió que había matado a Lily, su mejor amiga e hija del capo local. La familia tuvo que encubrirlo. Ahora, sinembargo, empiezan a sucederle cosas raras…
","isbn:9788401339233","spa","LFantasia","","","Español.Fantasía.Fantasía Urbana, Temas.Narrador No Confiable, Temas.Personajes Moralmente Grises, Temas.Familia Disfuncional","Gata blanca","Subgenero · Fantasia urbana, Arquetipo · Mafia","Paranormal"
"Guante rojo","Holly Black","Español.Fantasía.Fantasía Urbana, Temas.Narrador No Confiable, Temas.Personajes Moralmente Grises, Temas.Familia Disfuncional","Curse Workers","2.0","Maleficios y estafas. Magia y mafia. En el mundo de Cassel Sharpe, siempre van de la mano. Cassel se consideraba un chaval corriente hasta que descubrió que sus hermanos le habían alterado la memoria. Pero ahora sabe la verdad: él es el obrador de maleficios más poderoso de todos. Con un simple roce, es capaz de transformar cualquier objeto o persona en algo totalmente distinto. Después de salvar a sus hermanos del castigo de Zacharov y descubrir que Lila nunca será suya, Cassel intenta recuperar algo parecido a la normalidad. Algo nada sencillo para alguien que forma parte de una familia de obradores relacionada con una de las familias mafiosas más importantes, y cuya madre cada vez se muestra más imprudente cuando lleva a cabo un timo. Pero Cassel ya está empezando a aceptar lo que significa ser un obrador de la transformación y a descubrir cómo hacer amigos. Sin embargo, la normalidad le dura poco: Cassel no tardará en verse asediado tanto por la ley como por el crimen y se verá obligado a hacer frente a su pasado. Un pasado del que solo recuerda fragmentos dispersos y que podría destruir a su familia y su futuro. Cassel deberá decidir en qué bando quiere estar, porque la neutralidad ya no es una opción. Y tendrá que organizar el mayor engaño de su vida si quiere sobrevivir. Porque el amor es una maldición, y cuando no puedes arriesgarte a perder la partida, el engaño es la única solución.
","isbn:9788416517787,epl:66559,revision:1.0","spa","LFantasia","","","Español.Fantasía.Fantasía Urbana, Temas.Narrador No Confiable, Temas.Personajes Moralmente Grises, Temas.Familia Disfuncional","Guante rojo","Tono · Oscuro, Arquetipo · Mafia","Fantasía"
"El Tributo De La Corte Oscura","Holly Black","Español.Fantasía.Fantasía Urbana, Temas.Slow Burn, Temas.Portal a Otro Mundo, Temas.Amor Prohibido, Temas.Personajes Moralmente Grises","Modern Faerie Tales","1.0","Kaye es una adolescente desarraigada que viaja de aquí para allá con su madre, una cantante mediocre con ansias de celebridad. Kaye no es una chica como las demás. Sus amigos opinan de ella que es un poco rara, y a menudo no encuentran explicación a las cosas misteriosas que le suceden. Cuando era pequeña, Kaye recibía la visita de las hadas y otros duendes extraños, aunque ahora, años después, cree que todo aquello sólo fue fruto de su imaginación.   
Pero un día, inesperadamente, las hadas llaman a su puerta, necesitan ayuda. La Corte Oscura va a llevar a cabo El Tributo: el cruel sacrificio de un humano bondadoso. Si lo consigue, las hadas solitarias perderán su libertad durante siete años. El equilibrio del universo mágico peligra. Pero ¿por qué acuden a ella? ¿Qué tiene de especial? Kaye descubrirá que la realidad que conocía no era más que un espejismo.
","isbn:9788420401515,revision:1.0,google:JljyAAAACAAJ,amazon:842040151X,amazon_es:842040151X,goodreads:7934245,grvotes:106381,epl:59649","spa","LFantasia","","","Español.Fantasía.Fantasía Urbana, Temas.Slow Burn, Temas.Portal a Otro Mundo, Temas.Amor Prohibido, Temas.Personajes Moralmente Grises","El Tributo De La Corte Oscura","Paranormal · Fae/Feerico, Subgenero · Fantasia urbana, Tono · Oscuro, Tono · Morally grey/Antiheroe","Fantasía"
"The Field Guide","Tony DiTerlizzi & Holly Black","Ambientacion · Portal a otro mundo/Isekai, Arquetipo · Heroe reticente, Dinamica · Familia encontrada, Genero · Fantasia, Subgenero · Aventura/Quest, Themes.Hero's Journey","The Spiderwick Chronicles","1.0","It all starts when Jared Grace finds their great uncle's book, 'Arthur Spiderwick's Field Guide to the Fantastic World Around You' and the Grace kids realize that they are not alone in their new house. Now the kids want to tell their story but the faeries will do everything they can to stop them.
","isbn:9780689859366","eng","LFantasia","","","English.Fantasy.Adventure Fantasy, Themes.Portal to Another World, Themes.Found Family, Themes.Hero's Journey, Themes.Quest, Themes.Reluctant Hero","The Field Guide","Paranormal · Fae/Feerico, Tono · Cozy/Ligero","Fantasía"
"The Seeing Stone","Tony DiTerlizzi & Holly Black","English.Fantasy.Adventure Fantasy, Themes.Portal to Another World, Themes.Found Family, Themes.Hero's Journey, Themes.Quest, Themes.Reluctant Hero","The Spiderwick Chronicles","2.0","***we said no still you looked  
now instead   
someone gets cooked* **  
The Grace kids are just beginning to get used to Aunt Lucinda's strange old mansion when Simon suddenly disappears. Jared and his sister have to rely on the help of a mischievous house boggart, a nasty bridge troll, and a loud-mouthed hobgoblin to get him back.
","isbn:9780689859373","eng","LFantasia","","","English.Fantasy.Adventure Fantasy, Themes.Portal to Another World, Themes.Found Family, Themes.Hero's Journey, Themes.Quest, Themes.Reluctant Hero","The Seeing Stone","Paranormal · Fae/Feerico, Tono · Cozy/Ligero","Fantasía"
"Lucinda's Secret","Tony DiTerlizzi & Holly Black","English.Fantasy.Adventure Fantasy, Themes.Portal to Another World, Themes.Found Family, Themes.Hero's Journey, Themes.Quest, Themes.Reluctant Hero","The Spiderwick Chronicles","3.0","*Let the story of my niece and nephews be a warning. The more you know, the more danger you're in. And trust me, you don't want to meddle with the Little People. -- S.S.*   
One thrilling adventure -- The Spiderwick Chronicles!   
Their world is closer than you think.
","isbn:9780689859380","eng","LFantasia","","","English.Fantasy.Adventure Fantasy, Themes.Portal to Another World, Themes.Found Family, Themes.Hero's Journey, Themes.Quest, Themes.Reluctant Hero","Lucinda's Secret","Paranormal · Fae/Feerico, Tono · Cozy/Ligero","Fantasía"
"The Ironwood Tree","Tony DiTerlizzi & Holly Black","English.Fantasy.Adventure Fantasy, Themes.Portal to Another World, Themes.Found Family, Themes.Hero's Journey, Themes.Quest, Themes.Reluctant Hero","The Spiderwick Chronicles","4.0","First a pack of vile, smelly goblins snatch Simon. Then a band of elves try to entrap Jared. Why is the entire faerie world so eager to get their hands on Spiderwick's Guide? And will the Grace kids be left alone, now that the Guide has mysteriously disappeared? Don't count on it.   
At school, someone is running around pretending to be Jared, and it's not Simon. To make matters even worse, now Mallory has disappeared and something foul in the water is killing off all the plants and animals for miles around. Clues point to the old abandoned quarry, just outside of town. Dwarves have taken over an abandoned mine there. And the faerie world's abuzz with the news that a creature with plans to rule the world has offered them a gift to join with him -- he's given them a queen...
","isbn:9780689859397","eng","LFantasia","","","English.Fantasy.Adventure Fantasy, Themes.Portal to Another World, Themes.Found Family, Themes.Hero's Journey, Themes.Quest, Themes.Reluctant Hero","The Ironwood Tree","Paranormal · Fae/Feerico, Tono · Cozy/Ligero","Fantasía"
"The Wrath of Mulgarath","Tony DiTerlizzi & Holly Black","English.Fantasy.Adventure Fantasy, Themes.Portal to Another World, Themes.Found Family, Themes.Hero's Journey, Themes.Quest, Themes.Reluctant Hero","The Spiderwick Chronicles","5.0","Three ordinary kids, Jared, Simon, and Mallory Grace, have entered another world -- without leaving this one! Two remarkable talents, New York Times best-sellers Tony DiTerlizzi and Holly Black, have risked everything to bring this remarkable account to light. Five books -- one thrilling adventure -- the Spiderwick Chronicles!  
Their world is closer than you think.
","isbn:9780689859403","eng","LFantasia","","","English.Fantasy.Adventure Fantasy, Themes.Portal to Another World, Themes.Found Family, Themes.Hero's Journey, Themes.Quest, Themes.Reluctant Hero","The Wrath of Mulgarath","Paranormal · Fae/Feerico, Tono · Cozy/Ligero","Fantasía"
"The Coldest Girl in Coldtown","Holly Black","English.Fantasy.Paranormal Fantasy, Themes.Forbidden Love, Themes.Love Triangle, Themes.Morally Gray Characters, Themes.Transformation, Themes.Power Imbalance, Themes.Betrayal","","1.0","What happens in Coldtown stays in Coldtown, because once anyone enters this Vegas-like prison for vampires and their infected human pets, there’s little chance of leaving it. After a fairly ordinary high-school party, Tana awakens to discover that she is surrounded by the corpses of her friends and classmates, who have all been drained of blood. While trying to leave, she finds her ex-boyfriend, Aidan, tied up but still alive, his eyes intense with the infection that will fully “turn” him if he receives the human blood he craves. Tana is saved from Aidan’s bite by a mysterious, red-eyed boy, Gavriel, who also materializes in the party’s gruesome aftermath. With hungry vampires scraping at the door, she escapes with both guys in tow to find a way to save them all: by somehow making it in—and out—of Coldtown. In this novel, inspired by her short story of the same name, Black returns with another dark, fast-paced thriller starring a sharp-witted, brave girl who does all the right things when faced with monsters. With rapid-fire dialogue, lavish details, and a wildly imagined world, this will enthrall Black’s fans from start to finish and leave them hoping for another bone-chilling, vicarious tour of Coldtown.  

","ff:b/holly-black/coldest-girl-in-coldtown,goodreads:17333763,amazon:0316213101,wd:Q17108777,isbn:9780316213103,google:AQM4AQAAQBAJ","eng","LFantasia","","","English.Fantasy.Paranormal Fantasy, Themes.Forbidden Love, Themes.Love Triangle, Themes.Morally Gray Characters, Themes.Transformation, Themes.Power Imbalance, Themes.Betrayal","The Coldest Girl in Coldtown","Subgenero · Fantasia urbana, Paranormal · Vampiros, Tono · Oscuro, Subgenero · Young adult/Juvenil","Paranormal"
"White Cat","Holly Black","English.Fantasy.Urban Fantasy, Themes.Unreliable Narrator, Themes.Morally Gray Characters, Themes.Dysfunctional Family","Curse Workers","1.0","Cassel comes from a family of curse workers: people who have the power to change your emotions, your memories, your luck, by the slightest touch of their hands. And since curse work is illegal, they're all criminals. Many become mobsters and con artists. But not Cassel. He hasn't got magic, so he's an outsider; the straight kid in a crooked family. You just have to ignore one small detail - he killed his best friend, Lila, three years ago. 
Cassel has carefully built up a facade of normalcy, blending into the crowd. But his facade starts to crumble when he finds himself sleepwalking, propelled into the night by terrifying dreams about a white cat that wants to tell him something. He's noticing other disturbing things, too, including the strange behavior of his two brothers. They are keeping secrets from him. As Cassel begins to suspect he's part of a huge con game, he must unravel his past and his memories. To find out the truth, Cassel will have to outcon the conmen.
","goodreads:6087756,isbn:9781416963967","eng","LFantasia","","","English.Fantasy.Urban Fantasy, Themes.Unreliable Narrator, Themes.Morally Gray Characters, Themes.Dysfunctional Family","White Cat","Subgenero · Fantasia urbana, Arquetipo · Mafia","Paranormal"
"Red Glove","Holly Black","English.Fantasy.Urban Fantasy, Themes.Unreliable Narrator, Themes.Morally Gray Characters, Themes.Dysfunctional Family","Curse Workers","2.0","<p><strong>CURSES AND CONS.<br /> MAGIC AND THE MOB.</strong>  </p> <p>In Cassel Sharpe's world, they go together. Cassel always though he was an ordinary guy, until he realized his memories were being manipulated by his brothers. Now he knows the truth - he's the most powerful curse worker around. A touch of his hand can transform anything - or anyone - into something else.  </p> <p>That was how Lila, the girl he loved, became a white cat. Cassel was tricked into thinking he killed her, when actually he tried to save her. Now that she's human again, he should be overjoyed. Trouble is, Lila's been cursed to love him, a little gift from his emotion-worker mom. And if Lila's love is as phony as Cassel's made-up memories, then he can't believe anything she says or does.  </p> <p>When Cassel's oldest brother is murdered, the Feds recruit Cassel to help make sense of the only clue - crime-scene images of a woman in red gloves. But the mob is after Cassel too - they know how valuable he could be to them. Cassel is going to have to stay one step ahead of both sides just to survive. But where can he turn when he can't trust anyone - least of all, himself?  </p> <p>Love is a curse and the con is the only answer in a game too dangerous to lose.</p>  <div><p><font face=""Segoe UI, sans-serif"" size=""2"">Las maldiciones y las estafas. La magia y la mafia. En el mundo de Cassel Sharpe, van de la mano. </font></p><p><font face=""Segoe UI, sans-serif"" size=""2"">Cassel siempre pensó que era un chico ordinario, hasta que se dio cuenta que sus recuerdos estaban siendo manipulados por sus hermanos. Ahora que sabe la verdad que él es, el trabajador de maldición más poderoso. Un toque de su mano puede transformar algo -o a alguien- en algo más.</font></p><p><font face=""Segoe UI, sans-serif"" size=""2"">Así fue como Lila, la mujer que amaba, se convirtió en un gato blanco. Cassel fue engañado, lo hicieron pensar que él la había asesinado, cuando en realidad trató de salvarla. Ahora que ella es humana de nuevo, debería estar feliz. El problema es que Lila ha sido maldecida para que lo ame, un pequeño regalo de su madre una trabajadora de emoción. Y si el amor de Lila es tan falso como los recuerdos que le fabricaron, entonces Cassel no puede creer nada de lo que ella dice o hace.</font></p><p><font face=""Segoe UI, sans-serif"" size=""2"">Cuando el hermano mayor de Cassel es asesinado, los federales reclutan a Cassel para ayudarles a dar sentido a la única pista que tienen, en las imágenes de la escena del crimen esta una mujer con guantes rojos. Pero entre la multitud se encuentra Cassel también, después de todo ellos saben lo valioso que él puede ser para ellos. Cassel va a tener que estar un paso adelante de ambos lados para poder sobrevivir. Pero, ¿a quién se puede acudir cuando no se puede confiar en nadie aún menos en el mismo?</font></p><p><font face=""Segoe UI, sans-serif"" size=""2"">El amor es una maldición y la estafa es la única respuesta en un juego demasiado peligroso de perder.</font></p></div>","isbn:9781442403390","eng","LFantasia","","","English.Fantasy.Urban Fantasy, Themes.Unreliable Narrator, Themes.Morally Gray Characters, Themes.Dysfunctional Family","Red Glove","Tono · Oscuro, Arquetipo · Mafia","Fantasía"
"Black Heart","Holly Black","English.Fantasy.Urban Fantasy, Themes.Unreliable Narrator, Themes.Morally Gray Characters, Themes.Dysfunctional Family","Curse Workers","3.0","<p><strong>In a world where Magic is illegal.</strong>  </p> <p>Cassel Sharpe has the most deadly ability of all. With one touch, he can transform any object - including a person - into something else entirely. And that makes him a wanted man. The Feds are willing to forgive all his past crimes if he'll only leave his con artist family behind and go straight. But why does going straight feel so crooked?  </p> <p>For one thing, it means being on the opposite side of the law from Lila, the girl he loves. She's the daughter of a mob boss and getting ready to join the family business herself. Though Cassel is pretty sure she can never love him back, he can't stop obsessing over her. Which would be bad enough, even if her father wasn't keeping Cassel's mother prisoner in a posh apartment and threatening not to let her leave until she returns the priceless diamond she scammed off him years ago. Too bad she can't remember where she put it.  </p> <p>The Feds say they need Cassel to get rid of a powerful man who is spinning dangerously out of control. But if they want Cassel to use his unique talent to hurt people, what separates the good guys from the bad ones? Or is everyone just out to con him?  </p> <p>Time is running out, and all Cassel's magic and cleverness might not be enough to save him. With no easy answers and no one he can trust, love might be the most dangerous gamble of all.</p>  <div><p><font face=""Segoe UI, sans-serif"" size=""2"">En un mundo donde la magia es ilegal, Cassel Sharpe tiene la habilidad más mortal de todas. Con un solo toque, puede transformar cualquier cosa, incluyendo a una persona, en algo completamente distinto. Y eso lo convierte en el trabajador más codiciado. El gobierno federal está dispuesto a perdonar todos sus crímenes del pasado si sólo deja atrás a su familia de estafadores y se mantiene recto. Pero ¿por qué hacer lo correcto se siente tan incorrecto?</font></p><p><font face=""Segoe UI, sans-serif"" size=""2"">Por un lado, significa estar al lado opuesto de la ley de Lila, la chica que ama. Ella es la hija de un jefe de la mafia y está lista para unirse al negocio de la familia. A pesar de que Cassel está bastante seguro que ella no podrá volverlo a amar, no puede dejar de pensar en ella. Lo cual es bastante malo, sin contar que su padre tiene prisionera a la madre de Cassel en un apartamento lujoso y amenazando con no dejarla Salir hasta que le regrese el costoso diamante que le había estafado años atrás. Lástima que ella no pueda recordar dónde lo dejo escondido.</font></p><p><font face=""Segoe UI, sans-serif"" size=""2"">Por otro lado, los federales le dicen a Cassel que necesitan que se deshaga de un hombre poderoso que está maniobrando peligrosamente fuera de control. ¿Pero si quieren que Cassel use su excepcional talento para herir a la gente, que separa a los buenos de los malos? ¿O es que todo el mundo sólo pretende engañarlo?</font></p><p><font face=""Segoe UI, sans-serif"" size=""2"">El tiempo se agota, y todo el poder de Cassel e ingenio podrían no ser suficientes para salvarlo. Sin respuestas fáciles y nadie en quien pueda confiar, el amor podría ser la apuesta más peligrosa de todas.</font></p></div>","isbn:9781442403468,goodreads:8884616","eng","LFantasia","","","English.Fantasy.Urban Fantasy, Themes.Unreliable Narrator, Themes.Morally Gray Characters, Themes.Dysfunctional Family","Black Heart","Subgenero · Fantasia urbana, Arquetipo · Mafia","Paranormal"
"Tithe","Holly Black","English.Fantasy.Urban Fantasy, Themes.Slow Burn, Themes.Portal to Another World, Themes.Forbidden Love, Themes.Morally Gray Characters","Modern Faerie Tales","1.0","Welcome to the realm of very scary faeries! 
Sixteen-year-old Kaye is a modern nomad. Fierce and independent, she travels from city to city with her mother's rock band until an ominous attack forces the sixteen-year-old back to her childhood home. There, amid the industrial, blue-collar New Jersey backdrop, Kaye soon finds herself an unwilling pawn in an ancient power struggle between two rival faerie kingdoms -- a struggle that could very well mean her death. Newcomer Holly Black's enormously powerful voice weaves teen angst, riveting romance, and capriciously diabolical faerie folk into an enthralling, engaging, altogether original reading experience.
","isbn:9780689849244","eng","LFantasia","","","English.Fantasy.Urban Fantasy, Themes.Slow Burn, Themes.Portal to Another World, Themes.Forbidden Love, Themes.Morally Gray Characters","Tithe","Paranormal · Fae/Feerico, Subgenero · Fantasia urbana, Tono · Oscuro, Tono · Morally grey/Antiheroe","Fantasía"
"Valiant","Holly Black","Themes.Forbidden Love, Fae, Fantasy, Themes.Morally Gray Characters, English.Fantasy.Urban Fantasy, Themes.Slow Burn, Themes.Portal to Another World, Fiction, Paranormal, Magic, Urban Fantasy, Fairies, Young Adult Fantasy, Young Adult, Romance","Modern Faerie Tales","2.0","When seventeen-year-old Valerie runs away to New York City, she's trying to escape a life that has utterly betrayed her. Sporting a new identity, she takes up with a gang of squatters who live in the city's labyrinthine subway system.  But there's something eerily beguiling about Val's new friends. And when one talks Val into tracking down the lair of a mysterious creature with whom they are all involved, Val finds herself torn between her newfound affection for an honorable monster and her fear of what her new friends are becoming.","goodreads:266607,isbn:9780689868238","eng","LFantasia","","","English.Fantasy.Urban Fantasy, Themes.Slow Burn, Themes.Portal to Another World, Themes.Forbidden Love, Themes.Morally Gray Characters","Valiant","Subgenero · Fantasia urbana, Paranormal · Fae/Feerico, Tono · Oscuro","Fantasía"
"The Darkest Part of the Forest","Holly Black","English.Fantasy.Urban Fantasy, Themes.Betrayal, Themes.Morally Gray Characters, Themes.Amnesia, Themes.Portal to Another World, Themes.Generational Curse","","1.0","""Children can have a cruel, absolute sense of justice. Children can kill a monster and feel quite proud of themselves. A girl can look at her brother and believe they're destined to be a knight and a bard who battle evil. She can believe she's found the thing she's been made for.""""   
""Hazel lives with her brother, Ben, in the strange town of Fairfold where humans and fae exist side by side. The faeries' seemingly harmless magic attracts tourists, but Hazel knows how dangerous they can be, and she knows how to stop them. Or she did, once.   
At the center of it all, there is a glass coffin in the woods. It rests right on the ground and in it sleeps a boy with horns on his head and ears as pointy as knives. Hazel and Ben were both in love with him as children. The boy has slept there for generations, never waking.   
Until one day, he does...   
As the world turns upside down and a hero is needed to save them all, Hazel tries to remember her years spent pretending to be a knight. But swept up in new love, shifting loyalties, and the fresh sting of betrayal, will it be enough?
","goodreads:24205214,isbn:9780316213059,amazon:B00QQPJYQ4,grvotes:87863","eng","LFantasia","","","English.Fantasy.Urban Fantasy, Themes.Betrayal, Themes.Morally Gray Characters, Themes.Amnesia, Themes.Portal to Another World, Themes.Generational Curse","The Darkest Part of the Forest","Paranormal · Fae/Feerico, Ambientacion · Small town, Subgenero · Young adult/Juvenil, Dinamica · Triangulo amoroso","Fantasía"
"Touch of Power","Maria V. Snyder","English.Fantasy.Adventure / Quest Fantasy, Themes.Found Family, Themes.Enemies to Lovers, Themes.Magic Has a Price, Themes.Quest","Healer","1.0","Laying hands upon the injured and dying, Avry of Kazan assumes their wounds and diseases into herself. But rather than being honoured for her skills, she is hunted. Healers like Avry are accused of spreading the plague that has decimated the Territories, leaving the survivors in a state of chaos. Stressed and tired from hiding, Avry is abducted by a band of rogues who, shockingly, value her gift above the golden bounty offered for her capture. Their leader an enigmatic captor–protector with powers of his own is unequivocal in his Avry must heal a plague–stricken prince, the leader of a campaign against her people. As they traverse the daunting Nine Mountains, beset by mercenaries and magical dangers, Avry must decide who is worth healing and what is worth dying for.","isbn:9781460804421,grvotes:47221,goodreads:38753256,amazon:B006TNSBBW","eng","LFantasia","","","English.Fantasy.Adventure / Quest Fantasy, Themes.Found Family, Themes.Enemies-to-Lovers, Themes.Magic Has a Price, Themes.Quest","Touch of Power","Dinamica · Proximidad forzada, Dinamica · Protector","Romantasy"
"Scent of Magic","Maria V. Snyder","English.Fantasy.Adventure / Quest Fantasy, Themes.Found Family, Themes.Enemies to Lovers, Themes.Magic Has a Price, Themes.Quest","Healer","2.0","**Hunted, Killed—Survived?** As the last Healer in the Fifteen Realms, Avry of Kazan is in a unique position: in the minds of her friends and foes alike, she no longer exists. Despite her need to prevent the megalomanical King Tohon from winning control of the Realms, Avry is also determined to find her sister and repair their estrangement. And she must do it alone, as Kerrick, her partner and sole confident, returns to Alga to summon his country into battle.  Though she should be in hiding, Avry will do whatever she can to support Tohon’s opponents. Including infiltrating a holy army, evading magic sniffers, teaching forest skills to soldiers and figuring out how to stop Tohon’s most horrible creations yet; an army of the walking dead—human and animal alike and nearly impossible to defeat.  War is coming and Avry is alone. Unless she figures out how to do the impossible ... again.","goodreads:12027429,isbn:9780778314189,grvotes:24534,amazon:0778314189","eng","LFantasia","","","English.Fantasy.Adventure / Quest Fantasy, Themes.Found Family, Themes.Enemies-to-Lovers, Themes.Magic Has a Price, Themes.Quest","Scent of Magic","","Fantasía"
"The Eyes of Tamburah","Maria V. Snyder","English.Fantasy.Children's / Young Adult Fantasy, Themes.Chosen One, Themes.Quest, Themes.World Within a World, Themes.Prophecy","Archives of the Invisible Sword","1.0","New York Times bestselling author Maria V. Snyder begins an action-packed new fantasy series: the Archives of the Invisible Sword. 2020 PRISM Award Winner: Fantasy He thinks you are the thief… Shyla is a researcher who resides in the underground desert city of Zirdai, which is ruled by the wealthy Water Prince and brutal Heliacal Priestess. Even though Shyla is sun-kissed - an outcast, considered cursed by the Sun Goddess - she is still renowned for uncovering innumerable archaic facts, lost artefacts, ancient maps, and obscure historical documents. Her quiet life is about to change when Banqui, an archaeologist, enlists her services to find The Eyes of Tamburah: legendary gemstones that bestow great magic on their wielder. These ancient objects can tip the balance of power and give whoever possesses them complete control of the city. But chaos erupts when The Eyes are stolen soon after they're found - and Shyla is blamed for the theft. Forced to flee, with the Prince's soldiers and the Priestess' deacons on her trail, Shyla must recover the jewels and clear her name. A quest that will unearth secrets even more valuable than The Eyes of Tamburah themselves...","ff:s/maria-v-snyder/eyes-of-tamburah,goodreads:43497241,isbn:9781489252814,grvotes:2666,amazon:B07MHFW8PV","eng","LFantasia","","","English.Fantasy.Children's / Young Adult Fantasy, Themes.Chosen One, Themes.Quest, Themes.World Within a World, Themes.Prophecy","The Eyes of Tamburah","Subgenero · Fantasia epica, Ambientacion · Corte/Intriga palaciega","Fantasía"
"The City of Zirdai","Maria V. Snyder","English.Fantasy.Children's / Young Adult Fantasy, Themes.Chosen One, Themes.Quest, Themes.World Within a World, Themes.Prophecy","Archives of the Invisible Sword","2.0","With her indomitable style, New York Times bestselling author Maria V. Snyder returns with an electric new fantasy series that will keep you on the edge of your seat.    * KING OF KORAHA, the thrilling conclusion, is available for pre-order now! *    'It's suicide, Shyla. You're the prize they want.'  Through her courage and tenacity, Shyla Sun-Kissed has awoken the power of The Eyes of Tamburah. But this feat only marks the beginning of the challenges that the magical order, the Invisible Sword, faces to free the underground city of Zirdai.  Though they have allies among the monks and splinter cells inside the city, Shyla knows the Invisible Sword doesn't have the strength to win. With the group fracturing due to the strain of losses from their latest ordeal, thinly veiled suspicions and endless disagreements, it's up to Shyla to forge a new united order.  When both the draconian Water Prince and brutal Heliacal Priestess learn of Shyla's new powers, life becomes even more complicated as they will stop at nothing to capture Shyla and take the magic of The Eyes for themselves. Hunted at every turn and unable to hide, Shyla and the Invisible Sword must use every resource at their command - and unearth new ones - in their race to save the city from destruction. But their enemies always seem to be one step ahead. And the cost to win the battle may be more than Shyla would ever be willing to pay...  Praise for The Eyes of  'Combines the sassiness and adventure of Tomb Raider, the twisted darkness of Blade Runner, and the secrets and mythology of Prince of Persia.' Bronwyn Eley, Booktopia  'An enjoyable desert-inspired treasure hunt that was full of action and plot twists. It keeps you on the edge of your seat and you find yourself addicted to turning the page.' Morgan, Mashleas Reads","google:mRtkzQEACAAJ,isbn:9781489252838,ff:s/maria-v-snyder/city-of-zirdai,goodreads:50311563,grvotes:1340,amazon:B083G7481X","eng","LFantasia","","","English.Fantasy.Children's / Young Adult Fantasy, Themes.Chosen One, Themes.Quest, Themes.World Within a World, Themes.Prophecy","The City of Zirdai","Subgenero · Fantasia epica","Fantasía"
