title,authors,comments,tags,languages,library_name,series,series_index,#language_code,#info,#world,#clasificacion,#subtitle,#subjects,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"The Heart of Psychos: Part One","Ames Mills","I spent one amazing night with the twins, Alexey and Dmitri Orlov, heirs to the Russian Mafia throne. We made a deal. One night with no strings attached. Now they’re convinced I’m theirs.  The only thing is, I don’t want to be attached. I wanted to experience what they were offering. Now I’m finding myself entangled in their lives. But they don’t come alone.  Ghost, Caden, and Banger come with their own secrets. Secrets that can kill. Secrets they’re running from.  We’re all running from something. It can be innocent or something more sinister.  I’m running from love, but this might be one thing I can’t outrun.  ** *The Heart of Psychos Part One is part of a duet and will end on a cliffhanger. It's a reverse harem/polyamorous romance intended for mature readers only. The FMC doesn't choose between love interests and there is male/male relationships/content. It's set in a fictional city in California, Abbs Valley, and will be the first of this world with more to come. Be sure to check the content/trigger warnings in the front of the book before proceeding.*","Arquetipo · Guardaespaldas, Arquetipo · Mafia, Dinamica · Why choose / Haren inverso, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","Abbs Valley","6.0","eng","","","Dinamica · Why choose / Haren inverso, Arquetipo · Mafia, Tono · Oscuro","","","Romance contemporáneo","95","Mafia rusa whychoose oscura.","Abbs Valley","1.0"
"All I Have: Part One","Ames Mills","Growing up as an outsider is never easy. I was the product of an affair, and when my father stepped up to raise me, my mother handed me over, no questions asked.  I had my brother Luca and my niece Alessa; that’s all I needed. When Luca passed away, it thrust Alessa and me into leading the Italian Mafia. I stepped up until she was ready and gladly handed the mantle back to her capable hands after I helped her forge an alliance with the Perez brothers.  Now I had one goal in life; win back Evander Perez.  Then Evie walked into our lives.  Ghosts from our pasts keep rising to haunt us, trying to rip away the very thing I would fight to the death to save.  Now Evander and I, his brother Mateo, my bodyguard Gray, and an enemy none of us saw coming have vowed to protect her.  No matter the cost. ** *All I Have Part One is part of a duet and will end on a cliffhanger. It's a reverse harem/polyamorous romance intended for mature readers only. The FMC doesn't choose between love interests and there is male/male relationships/content. It's set in a fictional city in California, Abbs Valley, and will be the first of this world with more to come. Be sure to check the content/trigger warnings in the front of the book before proceeding.*","Arquetipo · Guardaespaldas, Arquetipo · Mafia, Dinamica · Why choose / Haren inverso, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","Abbs Valley","3.0","eng","","","Dinamica · Why choose / Haren inverso, Arquetipo · Mafia, Representacion · LGBTQ+ (MM), Tono · Oscuro, Dinamica · Protector","","","Romance contemporáneo","95","Mafia whychoose con protectores y relaciones MM.","Abbs Valley","1.0"
"The Heart of Psychos: Part Two","Ames Mills","Everyone warns you that it isn't safe when you step into this life.  Danger lurks in every corner, and I’m constantly looking over my shoulder to see what will happen next. The villain in our story is supposed to be a protector, a father. But all he does is bring sorrow to his son, and he tried to take three important people from our lives. Will the villain succeed in his devious plot? Or will his son make the biggest mistake by leaving Abbs Valley behind to protect us?  My guys are fighting like hell to protect me. But who’s protecting them?  This villain underestimated me as the weak spot. He doesn’t understand that I’ll lay my life down for my guys, my family. It’s up to me to hold it all together. He doesn’t know that I’m the heart of these psychos.  Game on, bitches.  ** *The Heart of Psychos Part two is part of a duet. It’s a #whychoose/polyamorous romance meaning the main character has more than one love interest. This book also contains male/male content and relationships. It's intended for audiences 18+. It is a continuation of the Abbs Valley series and can be read as a stand-alone (with spoilers for the previous books). Be sure to check the content/trigger warnings at the beginning of the book.*","Arquetipo · Guardaespaldas, Arquetipo · Mafia, Dinamica · Why choose / Haren inverso, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","Abbs Valley","7.0","eng","","","Dinamica · Why choose / Haren inverso, Arquetipo · Mafia, Tono · Oscuro","","","Romance contemporáneo","95","Continuación de mafia rusa whychoose oscura.","Abbs Valley","1.0"
"Kyle","T. O. Smith","**K Y L E** I'm not interested in settling down. I get what I want from a woman, and I kick them out of my bed right after.  But Skylar Woods is different. And it's just my luck that she's in desperate need of a job and a place to stay.  But women always come with some kind of problem, and Skylar was no exception.  Before I know it, I'm offering her protection within the club . . . with me basically as her own personal bodyguard.  ~ *~* ~  **S K Y L A R** Kyle Frazier . . . Two words: holy shit.  He's cocky, blunt, a bit rude, and sinfully hot. He's everything I don't need in my life right now.  Except he's got a job and a place for me to stay. I'm in desperate need of both. So, who am I to turn him down?  But when I find out my husband has located me, I know that absolute hell is about to break loose.  I need help; I need protection. And who am I to turn Kyle down when he offers me his protection, especially when that protection comes with hella good benefits?","Arquetipo · Guardaespaldas, Arquetipo · Moteros/MC, Dinamica · Why choose / Haren inverso, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","Savage Crows MC Mother Charter","2.0","eng","","","Arquetipo · Moteros/MC, Dinamica · Protector, Tono · Oscuro","","","Romance contemporáneo","95","MC ofrece protección a mujer que huye de su marido.","",""
"(Not) the Boss of Me","Kenzie Reed","Considerate. Loves dogs. Walks old ladies across the street. Loves me no matter what I look like. We all have a list of our dream man’s ideal qualities – even if it’s just in our head. And okay, mine might be written in swirly script, laminated, and used as a bookmark for my favorite Jane Austen novel. You know what’s NOT on my list? Arrogant. Impatient. Distractingly sexy. In other words, mega-successful department store magnate Blake Hudson is everything I’m not looking for. Unfortunately, I may have ruined his life a little bit when I got creative on my first day as a personal shopper. And unless I want to see my new career go up in flames, I’m stuck with the world’s smuggest billionaire until I fix everything I’ve broken. Find the hottest toy of the season for an overindulged niece? On it. Pose as his date at his company’s annual gala, to fool his obsessed ex – and let him fake-flirt with me all night long? Uh oh, this could be trouble. Let Blake see me safely home – and then let him make me see stars? Wait, that wasn’t on my list… Doesn’t matter. Moving on. I will not let Blake Handsome – I mean Blake Hudson - defeat me with his To-Do List of Impossibility, or his pillow-soft lips, or his secretly tender heart, or the swell of his biceps, or…oops. I seem to have forgotten where I was going with this, but if I can’t remember, I’m shopping for nothing but heartbreak.
","Arquetipo · Billonario/CEO, Dinamica · Enemigos a amantes, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","","1.0","eng","","","Arquetipo · Billonario/CEO, Dinamica · Romance de oficina, Tono · Picante/Erotico","","","Romance contemporáneo","85","Billionaire romance de oficina con cita falsa.","",""
"The Doomsday Date","Faridah Àbíké-Íyímídé","An exclusive new World Book Day story from the bestselling author of ACE OF SPADES, Faridah Àbíké-Íyímídé. The hilarious, heart-soaring story of one night, two friends and a list that will change everything, perfect for teen readers.   
On the day before the world is meant to end, Sanjeet dyes his hair pink... He's determined not to die without ever having really lived, so he's come up with the Doomsday List.   
Ten things he needs to do before the sky comes crashing down.   
Sola knows the world's not going anywhere. But, as Sanjeet's best friend, she's decided to help him out.   
As the seconds tick down to midnight, Sanjeet will need all his courage - and Sola's, to finish the list. Especially number ten. The one that scares him the most. 
","Genero · Romance contemporaneo, Subgenero · Young adult/Juvenil","eng","LRomance","","1.0","eng","","","Dinamica · Amigos a amantes, Subgenero · Young adult/Juvenil, Tono · Cozy/Ligero","","","Romance contemporáneo","90","Contemporary YA romance with friends-to-lovers trope, no speculative elements.","",""
"Not in Love","Ali Hazelwood","**An Indie Next and a Hall of Fame LibraryReads Pick!  A forbidden, secret affair proves that all’s fair in love and science—from **New York Times** bestselling author Ali Hazelwood.**  Rue Siebert might not have it *all* , but she has *enough* : a few friends she can always count on, the financial stability she yearned for as a kid, and a successful career as a biotech engineer at Kline, one of the most promising start-ups in the field of food science. Her world is stable, pleasant, and hard-fought. Until a hostile takeover and its offensively attractive front man threatens to bring it all crumbling down.  Eli Killgore and his business partners want Kline, period. Eli has his own reasons for pushing this deal through—and he’s a man who gets what he wants. With one burning exception: Rue. The woman he can’t stop thinking about. The woman who's off-limits to him.  Torn between loyalty and an undeniable attraction, Rue and Eli throw caution out the lab and the boardroom windows. Their affair is secret, no-strings-attached, and has a built-in deadline: the day one of their companies will prevail. But the heart is risky business—one that plays for keeps.","Genero · Romance contemporaneo, Tono · Cozy/Ligero, Tono · Picante/Erotico","eng","LRomance","","1.0","eng","","","Dinamica · Prohibido, Dinamica · Romance de oficina, Tono · Picante/Erotico","","","Romance contemporáneo","95","Aventura secreta entre ejecutivos de empresas rivales, ambientación contemporánea.","",""
"Johnston","T. O. Smith","JOHNSTON  Being the mother charter prez, I've got to lead by example. Treat your old lady with respect. Keep a level head. Never make rash decisions.  But Aaliyah tips my entire world upside down. My blood runs hot every time she steps into the room. It's a struggle to keep my hands to myself around her.  It's easier when I know she's got a man she lives with.  But when he screws up . . . well, that major boundary is now off the table, and I'm about to wreck my entire world and destroy the example I'm trying to make because Aaliyah . . . I need a taste.  AALIYAH  Johnston is the kind of monster your parents told you wasn't under your bed when you were a little kid. He's the boy your parents warned you not to date when you were in high school.  He's the definition of danger and a bad member of society.  But I don't care; I can't help myself. I've always had a taste for the wild side, and I'm telling you--it doesn't get much wilder than Johnston.  But apparently, I like them really wild because Johnston is married .  Talk about opening a new can of worms.  Trigger cheating on wife with FMC, criminal activity, strangulation, ow drama  This is book one of a fourteen book series. The books may be read as standalones, but they are better enjoyed if read in order.  Scorpion (Savage Crows MC Texas Charter Book 11) sets the scene for Satan's Worshippers MC.","Arquetipo · Moteros/MC, Genero · Romance contemporaneo, Tono · Oscuro, Tono · Picante/Erotico","eng","LRomance","Satan's Worshippers MC","1.0","eng","","","Arquetipo · Moteros/MC, Dinamica · Prohibido, Tono · Oscuro, Tono · Morally grey/Antiheroe","","","Romance contemporáneo","95","Presidente de MC casado se involucra con otra mujer.","",""
"Property of the Italian Mafia Boss","Rosalie Rose","It was supposed to be the trip of a lifetime--   
Until I was kidnapped by the Italian mafia.   
Now, the boss wants me to have his baby...   
Adrian Benedetti is cold, manipulative, and dangerous--   
A savage with no regard for mercy.   
And he has his eyes set on me.   
Ten years ago, he saved my life   
But my freedom had an expiration date.   
I was kidnapped and delivered to the enemy,   
To my hero who was also my   
Adrian.   
But there’s something about Adrian that draws me to him   
And after dark forbidden lines are crossed,   
A secret starts growing inside me   
That will bind me to him forever. Adrian   
Everyone in the Mafia knows me as a killer.   
But ten years ago I saved Mable’s life. And each day for ten years, she’s haunted my dreams. Now my father is forcing me to marry   
And I’ll do whatever it takes to make Mable mine.   
But how could she ever forgive me   
When she finds out the truth about her family?   
Property of the Italian Mafia Boss is a steamy arranged marriage romance between an Italian Mafia Boss and his arranged wife.   
Contains mature themes that may be sensitive to some.
","Arquetipo · Mafia, Dinamica · Embarazo sorpresa/Bebe secreto, Dinamica · Matrimonio concertado, Dinamica · Posesivo/Celoso, Genero · Romance contemporaneo, Paranormal · Lobos/Shifters, Tono · Oscuro, Tono · Picante/Erotico","eng","LRomance","Possessive Mafia Kings","4.0","eng","","","Arquetipo · Mafia, Dinamica · Matrimonio fingido/conveniencia, Tono · Picante/Erotico, Dinamica · Embarazo sorpresa/Bebe secreto","","","Romance contemporáneo","85","Italian mafia boss romance con matrimonio arreglado y embarazo.","",""
"Owned by the Italian Mafia Boss","Rosalie Rose","**I was forced to marry a ruthless mafia boss and give him a baby   
Or let my father die...   
Delilah**   
They call him “The Devil.”   
Head of the Italian Mafia and the man who rules this city.   
A man too dangerous to go near.   
But my father’s life is in danger   
And the only way to save him is to agree to The Devil’s demands.   
Pose as his wife and give him a child.   
I was expecting to be tortured.   
I was expecting to be used.   
I wasn’t expecting to fall for him.   
And now his child is growing inside me,   
I have no idea what to do.   
I can’t walk away from my baby.   
And I can’t walk away from this man either...   
**Carmine**   
This was supposed to be nothing but business.   
She marries me, gives me a child and I let her father go free.   
But nothing about Delilah is as I expected.   
Not her courage, or her boldness   
Or the way I just can’t stay away from her.   
Now I want far more from her than just a child.   
I want a life together.   
A family.   
I know I’m crazy to be thinking this way.   
Because how could anyone ever truly love The Devil?   
*Note: Owned by the Italian Mafia Boss* is a steamy arranged marriage romance between an Italian Mafia Boss and a woman who is just his match. For mature readers only.
","Arquetipo · Mafia, Dinamica · Embarazo sorpresa/Bebe secreto, Dinamica · Matrimonio concertado, Dinamica · Posesivo/Celoso, Genero · Romance contemporaneo, Paranormal · Lobos/Shifters, Tono · Oscuro, Tono · Picante/Erotico","eng","LRomance","Possessive Mafia Kings","1.0","eng","","","Arquetipo · Mafia, Dinamica · Matrimonio fingido/conveniencia, Tono · Picante/Erotico, Dinamica · Embarazo sorpresa/Bebe secreto","","","Romance contemporáneo","85","Mafia romance de matrimonio arreglado con embarazo.","",""
"When Grumpy Met Sunshine","Charlotte Stein","**‘A hilarious and modern Cinderella story that feels like eating warm chocolate cake.’ Talia Hibbert, author of Get a Life, Chloe Brown** **Finding love was not the only goal . . .** When grumpy ex-footballer Alfie Harding gets badgered into selling his memoirs, he knows he’s never going to be able to write them. He hates revealing a single thing about himself, is allergic to most emotions, and can't imagine doing a good job of putting pen to paper.And so in walks curvy, cheery, cute-as-heck ghostwriter Mabel Willicker, who knows just how to sunshine and sass her way into getting every little detail out of Alfie. They banter and bicker their way to writing his life story, both of them sure they’ll never be anything other than at odds.But after their business arrangement is mistaken for a budding romance, the pair have to pretend to be an item for a public who’s ravenous for more of this Cinderella story. Or at least, it feels like it’s pretend – until each slow-burn step in their fake relationship sparks a heat neither can control. Now they just have to is this sizzling chemistry just for show? Or something so real it might just give them their fairy-tale ending? **A steamy, opposites-attract romance with undeniable chemistry between a grumpy retired footballer and his fabulous and very sunshine-y ghostwriter. For fans of Ted Lasso and Tessa Bailey.**","Arquetipo · Deportistas, Dinamica · Grumpy/Sunshine, Dinamica · Matrimonio fingido/conveniencia, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","","1.0","eng","","","Dinamica · Grumpy/Sunshine, Dinamica · Matrimonio fingido/conveniencia, Arquetipo · Deportistas, Tono · Picante/Erotico","","","Romance contemporáneo","100","Romance contemporáneo con fake relationship y deportista.","",""
"The Rule Book","Sarah Adams","Nora Mackenzie's entire career lies in the hands of famous NFL tight end Derek Pender who also happens to be her extremely hot college ex-boyfriend. Nora didn't end things as gracefully as she could have back then, and now it's come back to haunt her. Derek is her first client as an official full-time sports agent and he's holding a grudge.   
Derek has set his sights on a little friendly revenge. If Nora Mackenzie, the first girl to ever break his heart, wants to be his agent, oh he'll let her be his agent. The plan is simple: make Nora's life absolutely miserable. But if Derek knows anything about the woman he once loved-she won't quit easily.   
Instead of giving in, Nora starts a scheme of her own. But then a wild night in Vegas leads to Nora and Derek in bed the next morning married. With their rule book out the window, could this new relationship be the thing to save their careers?
","Arquetipo · Deportistas, Genero · Romance contemporaneo, Tono · Cozy/Ligero","eng","LRomance","The Cheat Sheet","2.0","eng","","","Dinamica · Enemigos a amantes, Dinamica · Matrimonio fingido/conveniencia, Arquetipo · Deportistas, Dinamica · Segunda oportunidad","","","Romance contemporáneo","90","Contemporary sports romance with enemies-to-lovers and fake marriage.","",""
"The Cheat Sheet","Sarah Adams","**Is it ever too late to leave the friend zone? Discover the heartwarming friends to lovers romance that became a sensation on TikTok—now with a new chapter and a Q &A with the author!**  
The friend zone is *not* the end zone for Bree Camden, who is helplessly in love with her longtime best friend and extremely hot NFL legend, Nathan Donelson. The only problem is that she can’t admit her true feelings, because he clearly sees her as a best friend with no romantic potential, and the last thing Bree wants is to ruin their relationship. But those abs . . .   
Nope! Nothing but good old-fashioned, no-touching-the-sexiest-man-alive, platonic friendship for Bree. In any case, she has other things to worry about. After a car accident ended her chance at becoming a professional ballerina, Bree changed paths and now owns her own dance studio, with big dreams to expand it. But one more rent increase could mean the end of the studio entirely.   
Then, as usual, Nathan comes to the rescue and buys the entire building. A stubborn Bree is not happy about it and decides to rebel with a couple—okay, maybe more than a couple—of tequila shots. Then her plan backfires as she spills her deepest, darkest secret to a TMZ reporter. One viral video later, the world thinks Nathan and Bree are the perfect couple. Before they can really talk about her confession, Nathan’s publicist proposes a big opportunity that could mean financial security for Bree. The catch? They have to pretend to be in love. For three whole weeks.   
What will happen when Bree gives in to the feelings she’s been desperately hiding for so long, and could she be imagining that Nathan is actually enjoying it? Sarah Adams scores more than touchdowns in this exciting romantic comedy.
","Arquetipo · Deportistas, Genero · Romance contemporaneo, Tono · Cozy/Ligero","eng","LRomance","The Cheat Sheet","1.0","eng","","","Dinamica · Amigos a amantes, Dinamica · Matrimonio fingido/conveniencia, Arquetipo · Deportistas, Tono · Cozy/Ligero","","","Romance contemporáneo","90","Contemporary sports romance with friends-to-lovers and fake relationship.","",""
"Stuck With You","Ali Hazelwood","**Nothing like a little rivalry between scientists to take love to the next level.** Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract and rivals make you burn…  Logically, Sadie knows that civil engineers are supposed to build bridges. However, as a woman of STEM she also understands that variables can change, and when you are stuck for hours in a tiny New York elevator with the man who broke your heart, you earn the right to burn that brawny, blond bridge to the ground. Erik can apologize all he wants, but to quote her rebel leader—she’d just as soon kiss a Wookiee.  Not even the most sophisticated of Sadie’s superstitious rituals could have predicted such a disastrous reunion. But while she refuses to acknowledge the siren call of Erik’s steely forearms or the way his voice softens when he offers her his sweater, Sadie can’t help but wonder if there might be more layers to her cold-hearted nemesis than meet the eye. Maybe, possibly, even burned bridges can still be crossed….  To read Mara and Hannah’s stories look for the novellas Under One Roof, available now, and Below Zero, coming soon from Berkley!","Dinamica · Opuestos se atraen, Genero · Romance contemporaneo, Subgenero · Supervivencia, Tono · Cozy/Ligero, Tono · Picante/Erotico","eng","LRomance","The STEMinist Novellas","2.0","eng","","","Dinamica · Segunda oportunidad, Dinamica · Enemigos a amantes, Dinamica · Proximidad forzada","","","Romance contemporáneo","95","Ex pareja quedan atrapados en un ascensor, romance contemporáneo.","",""
"Below Zero","Ali Hazelwood","3 hours, 44 minutes  **From the New York Times bestselling author of The Love Hypothesis comes a new steamy, STEMinist novella…  It will take the frosty terrain of the Arctic to show these rival scientists that their chemistry burns hot.**  Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract and rivals make you burn…  Hannah’s got a bad feeling about this. Not only has the NASA aerospace engineer found herself injured and stranded at a remote Arctic research station—but the one person willing to undertake the hazardous rescue mission is her longtime rival.  Ian has been many things to Hannah: the villain who tried to veto her expedition and ruin her career, the man who stars in her most deliciously lurid dreams…but he’s never played the hero. So why is he risking everything to be here? And why does his presence seem just as dangerous to her heart as the coming snowstorm?  To read Mara and Sadie’s stories look for the novellas Under One Roof and Stuck with You available now from Berkley!","Dinamica · Opuestos se atraen, Genero · Romance contemporaneo, Subgenero · Supervivencia, Tono · Cozy/Ligero, Tono · Picante/Erotico","eng","LRomance","The STEMinist Novellas","3.0","eng","","","Dinamica · Enemigos a amantes, Dinamica · Proximidad forzada, Tono · Picante/Erotico","","","Romance contemporáneo","95","Novela romántica contemporánea con científicos rivales en el Ártico, sin elementos fantásticos.","",""
"Under One Roof","Ali Hazelwood","3 hours, 39 minutes  **From the New York Times best-selling author of The Love Hypothesis comes a new steamy, STEMinist novella….  A scientist should never cohabitate with her annoyingly hot nemesis – it leads to combustion.**  Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract and rivals make you burn….  As an environmental engineer, Mara knows all about the delicate nature of ecosystems. They require balance. And leaving the thermostat alone. And not stealing someone else’s food. And other rules Liam, her detestable big-oil lawyer of a roommate, knows nothing about. Okay, sure, technically she’s the interloper. Liam was already entrenched in his aunt’s house like some glowering grumpy giant when Mara moved in, with his big muscles and kissable mouth just sitting there on the couch tempting respectable scientists to the dark side…but Helena was her mentor and Mara’s not about to move out and give up her inheritance without a fight.  The problem is, living with someone means getting to know them. And the more Mara finds out about Liam, the harder it is to loathe him…and the easier it is to love him.  To listen to Sadie and Hannah’s stories, look for the novellas Stuck with You and Below Zero, coming soon, available first on audio!","Dinamica · Opuestos se atraen, Genero · Romance contemporaneo, Subgenero · Supervivencia, Tono · Cozy/Ligero, Tono · Picante/Erotico","eng","LRomance","The STEMinist Novellas","1.0","eng","","","Dinamica · Enemigos a amantes, Dinamica · Companeros de piso, Tono · Picante/Erotico","","","Romance contemporáneo","95","Cohabitación forzada entre rivales, romance contemporáneo.","",""
"Pucking Ever After: Volume 2","Emily Rath","**From the International Bestselling Jacksonville Rays Hockey Series comes a second Happily Ever After novella!** **PUCKING EVER VOL 2** provides readers with **SEVEN** new chapters of happily ever after content. This volume spans five years and includes swoony and spicy HEA stories for both the Price Family (PUCKING AROUND) and Tess & Ryan (PUCKING WILD).""Come on daddy...don't make me beg.""""I can't breathe for wanting you. I have no pride left.""""Mars...do you love me?"" **PUCKING EVER VOL 2 is a special collection of bonus scenes meant to be read after PUCKING WILD (book #2 in the Jax Rays hockey romance series). A list of tropes and tags can be found at the author's website.**
","Arquetipo · Deportistas, Dinamica · Why choose / Haren inverso, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","Jacksonville Rays","2.5","eng","","","Dinamica · Why choose / Haren inverso, Tono · Picante/Erotico","","","Romance contemporáneo","90","Segundo volumen de escenas extra; incluye también a otra pareja de la serie.","Jacksonville Rays","1.0"
"Pucking Wild","Emily Rath","The hockey star she never expected may be the one person to finally set her free . . .   
My name is Tess Owens and my soon to be ex-husband is trying to set fire to my entire life. Unwilling to face the heat, I do what I do best: run.   
I run to a new life in a new city and straight into the arms of Rachel and her team of NHL hockey players. They're all charming, but one player stands apart from the rest, the star forward of the Jacksonville Rays, Ryan Langley.   
Now I have six weeks to launch a new business. Six weeks to fight for my freedom...all while fighting my growing attraction to this All-American sweetheart with a winning smile and a career on the rise. Did I mention he's ten years younger than me?   
Ryan doesn't need my drama. And we have nothing in common. But it's getting harder to deny the way he makes me feel.   
Fun. Free. Wild.
","Arquetipo · Deportistas, Dinamica · Why choose / Haren inverso, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","Jacksonville Rays","2.0","eng","","","Arquetipo · Deportistas, Dinamica · Age gap","","","Romance contemporáneo","90","Hockey romance contemporáneo con diferencia de edad.","Jacksonville Rays","1.0"
"That One Night","Emily Rath","""Tonight, we're just two people lost in a city not our own. 
""My name is Rachel Price, and the sky is officially falling. Imagine being at your brother's wedding brunch when you get an email that crushes all your dreams. I didn't win the Barkley Fellowship. My rising career in sports medicine has just come crashing down. So here I sit, alone in this swanky hotel bar, ready to drown my feelings in bitters and bourbon. Then suddenly, in walks...him. 
THAT ONE NIGHT is the spicy prequel novella to PUCKING AROUND, a 'why choose' hockey romance coming April 2023. For a list of tropes, tags, and content warnings, please check my website.
","Arquetipo · Deportistas, Dinamica · Why choose / Haren inverso, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","Jacksonville Rays","0.5","eng","","","Dinamica · Why choose / Haren inverso, Arquetipo · Deportistas, Tono · Picante/Erotico","","","Romance contemporáneo","90","Prequel why choose hockey romance, explícitamente picante.","Jacksonville Rays","1.0"
"Pucking Ever After: Volume 1","Emily Rath","From the Amazon Bestselling Jacksonville Rays Hockey Series comes a Happily Ever After novella full of spice, laughter, and so much love.   
Curious to know what happened to Rachel and the guys after that fateful hockey game in LA? PUCKING EVER AFTER: VOL 1 provides readers with a six-chapter peek into the future of Team Price. Bonus content in this volume spans four years after the end of PUCKING AROUND.   
""Show me all the ways I'm yours.""   
""I would bury myself in you, wife. No beginning. No end.""   
""Mars, if this is your baby, please don't name him Flörp.""   
PUCKING EVER AFTER: VOL 1 is a special collection of bonus scenes meant to be read after PUCKING AROUND. It is a spicy 'why choose' hockey romance. A list of tropes and tags can be found at the author's website.
","Arquetipo · Deportistas, Dinamica · Why choose / Haren inverso, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","Jacksonville Rays","1.5","eng","","","Dinamica · Why choose / Haren inverso, Tono · Picante/Erotico","","","Romance contemporáneo","90","Novela de escenas extra de la serie; continúa el romance poliamoroso.","Jacksonville Rays","1.0"
"Pucking Around","Emily Rath","THE INTERNATIONAL BESTSELLING TIK TOK SENSATION AND START OF THE JACKSONVILLE RAYS SERIES!   
I can't fall for a player, let alone three...   
My name is Rachel Price, and two months ago, I walked away from the perfect man. We shared one magical night. No names. No strings. I never thought I'd see him again. I was wrong.   
It turns out my perfect man is actually the playboy grinder for the Jacksonville Rays, the NHL's hottest new hockey team...and I'm his new physical therapist.   
This fellowship is going to be the longest ten months of my life. Mr. Perfect will do anything to get back on my good side. Meanwhile, his best friend, the surly new equipment manager, is always riding my case. Worst of all, I've got an uncooperative goalie who thinks I can't tell he's hiding an injury!   
These man are ready to test my limits, but this is my chance to prove myself, and I'm not risking it for anything. I can't fall for a player, let alone three. But if love is a game, these guys are playing to win.   
PUCKING AROUND is a spicy 'why choose' hockey romance. 
","Arquetipo · Deportistas, Dinamica · Why choose / Haren inverso, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","Jacksonville Rays","1.0","eng","","","Dinamica · Why choose / Haren inverso, Arquetipo · Deportistas, Tono · Picante/Erotico","","","Romance contemporáneo","95","Rachel, fisioterapeuta, se involucra con tres jugadores de hockey; romance poliamoroso explícito.","Jacksonville Rays","1.0"
"The Love Hypothesis","Ali Hazelwood","**The Instant** New York Times **Bestseller and TikTok Sensation!  As seen on THE VIEW!  A BuzzFeed Best Summer Read of 2021  * * * When a fake relationship between scientists meets the irresistible force of attraction, it throws one woman's carefully calculated theories on love into chaos.**  As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships—but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees.  That man is none other than Adam Carlsen, a young hotshot professor—and well-known ass. Which is why Olive is positively floored when Stanford's reigning lab tyrant agrees to keep her charade a secret and be her fake boyfriend. But when a big science conference goes haywire, putting Olive's career on the Bunsen burner, Adam surprises her again with his unyielding support and even more unyielding...six-pack abs.  Suddenly their little experiment feels dangerously close to combustion. And Olive discovers that the only thing more complicated than a hypothesis on love is putting her own heart under the microscope.","Dinamica · Matrimonio fingido/conveniencia, Genero · Romance contemporaneo, Tono · Cozy/Ligero, Tono · Picante/Erotico","eng","LRomance","","1.0","eng","","","Dinamica · Matrimonio fingido/conveniencia, Dinamica · Enemigos a amantes, Tono · Picante/Erotico","","","Romance contemporáneo","95","Relación falsa entre estudiante y profesor, ambientación universitaria contemporánea.","",""
"Love on the Brain","Ali Hazelwood","**From the *New York Times* bestselling author of *The Love Hypothesis* comes a new STEMinist rom-com in which a scientist is forced to work on a project with her nemesis—with explosive results.** Bee Königswasser lives by a simple code: What would Marie Curie do? If NASA offered her the lead on a neuroengineering project - a literal dream come true - Marie would accept without hesitation. Duh. But the mother of modern physics never had to co-lead with Levi Ward.  Sure, Levi is attractive in a tall, dark, and piercing-eyes kind of way. But Levi made his feelings toward Bee very clear in grad school - archenemies work best employed in their own galaxies far, far away.  But when her equipment starts to go missing and the staff ignore her, Bee could swear she sees Levi softening into an ally, backing her plays, seconding her ideas... devouring her with those eyes. The possibilities have all her neurons firing.  But when it comes time to actually make a move and put her heart on the line, there's only one question that matters: What will Bee Königswasser do?","Genero · Romance contemporaneo, Tono · Cozy/Ligero, Tono · Picante/Erotico","eng","LRomance","","1.0","eng","","","Dinamica · Enemigos a amantes, Dinamica · Proximidad forzada, Tono · Picante/Erotico","","","Romance contemporáneo","95","Romance contemporáneo STEM con rivales obligados a colaborar.","",""
