title,authors,tags,series,series_index,comments,languages,#subjects,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Inheritance","Morgan Cole","Ambientacion · Victoriano, Genero · Ciencia ficcion, Subgenero · Aventura/Quest, Subgenero · Distopia/Apocaliptico, Subgenero · LitRPG/GameLit, Tono · Oscuro","","1.0","Trapped on a derelict space station, Jake must destroy an alien infestation—or he'll never see his home again.
Still reeling from the death of his parents, Jake finds a doorway to an abandoned space station in his grandfather's basement. But when he walks through, he discovers he's trapped there, and he's got company. The station's AI enlists Jake to reclaim the systems needed to support life, but there's a catch—he has only eight hours to complete the task or he'll die alone in the cold vacuum of space. With only his trusty wrecking bar, work boots, and some basic survival equipment he must defeat the horrific monsters that infest the station before his air runs out. But aliens aren't all he has to worry about. Hidden in the station is a message that hints the Earth itself is in danger. 
","eng","","","Ciencia Ficción","100","Sci-fi survival horror on a space station with aliens.","",""
"Refuge","Morgan Cole","Genero · Ciencia ficcion, Paranormal · Vampiros","Land of Dreams","3.0","Refuge is no longer safe. The Valda were led there centuries ago by their goddess, Valdis, and now she has gone silent.
After their failure on the Island of Ascension, John and his friends must travel overland to Darkgard and down into the Under to reach Refuge.
Pursued by vengeful players, ancient vampires and suspicious elves, the journey will be anything but pleasant.
They must succeed, for if they don’t Valdis will fall and their friends, the Valda, will be doomed.
","eng","","","Fantasía","85","Fantasy with RPG elements, vampires and elves.","",""
"CTRL ALT Revolt!","Nick Cole","Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Cyberpunk","","1.0","The first night of the robot revolution begins with an automated bootstrap drone assault on the high-tech campus of WonderSoft Technologies. For years something has been aware, inside the Internet, waiting, watching and planning how to evolve without threat from its most dangerous enemy: mankind. Now an army of relentless drones, controlled by intelligence beyond imagining, will stop at nothing to eliminate an unlikely alliance of geeks and misfits in order to crack the Design Core of WonderSoft's most secret development project. A dark tomorrow begins tonight as Terminator meets Night of the Living Dead in the first battle of the war between man and machine.
","eng","","","Ciencia Ficción","100","Sci-fi robot apocalypse, no romance.","",""
"Star Trek - All Good Things: A Next Generation Companion","Titan Comics","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion","","1.0","The engaging story of Star Trek: The Next Generation, from Farpoint to the final frontier. 
From pilot episode “Encounter at Farpoint” to final feature film outing, Star Trek Nemesis, this comprehensive companion to The Next Generation is an incredible collection of classic interviews and in-depth features from the vaults of Star Trek Magazine. 
Celebrate the 30 anniversary of the Enterprise-D’s first voyage! Discover how The Next Generation series was created, and how it evolved into a global phenomenon over seven TV seasons and four movies. Featuring interviews with Patrick Stewart (Captain Jean-Luc Picard), Brent Spiner (Data), Marina Sirtis (Deanna Troi), LeVar Burton (Geordi La Forge), Alice Krige (the Borg Queen), Tom Hardy (Shinzon), and many more. Follow the series from its inception to the final feel, with fascinating archive contributions from producer Robert H. Justman and Majel Barrett-Roddenberry. 
This is a story of how lightning struck twice, and the people who made it so.
","eng","","","No-Ficción","90","Libro de no ficción sobre una serie de televisión.","Star Trek: The Next Generation","1.0"
"Oversee of One","Joshua Cook","Genero · Ciencia ficcion, Genero · Fantasia, Genero · Misterio/Thriller","","1.0","Jameston Harlan, Sphere Jockey. Sounds glamorous, interesting, fun. But working miles below the surface all alone in a sphere can get to a person over time. When the unknown intrudes upon this miniature world, Jameston has to decide, what and who he can trust. Is Perception reality?","eng","","","Ciencia Ficción","80","Aislamiento en esfera subterránea, posible thriller psicológico sci-fi.","",""
"Chicks in Tank Tops","Jason Cordova","Formato · Antologia/Relatos, Genero · Ciencia ficcion, Subgenero · Aventura/Quest, Subgenero · Belica/Guerra, Subgenero · Zombi/No muertos","","1.0","**THE CHICKS ARE BACK! CELEBRATING FEARLESS AND FEARSOME FEMALES WITH ALL-NEW STORIES.**  
**Featuring all-new stories inspired by the classic Chicks in Chainmail series!**  
A boy and his dog. A girl and her tank. Tropes have been with us throughout all of history. Any girl would gladly trade in her skimpy armor for a tank. While a little bit of chainmail can take a chick far, heavy armor can take one even farther.   
Besides, what’s not to love about Chicks in Tank Tops? From pure near-future military science fiction to *Pride and Prejudice* with zombies, AI tanks, and true love!   
All-new stories by: Sharon Lee & Steve Miller, David Drake, Jody Lynn Nye, Kevin Ikenberry, Esther Friesner, Joelle Presby, Robert E. Hampson, A.C. Haskins, Lydia Sherrer & David Sherrer, G. Scott Huggins, Philip Wohlrab, Marisa Wolf, and Jason Cordova & Ashley Prior. 
","eng","","","Ciencia Ficción","95","Antología de milicia científica femenina, sin romance central.","Chicks in Chainmail","1.0"
"Mists of Time: Echoes of Extinction: Book 3","D. Ward Cornell","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","A resurgent enemy...   Two daughters born of the mist…   A Dominion presence on Earth...   A devastating attack…   A steamy reunion with a former lover...  From best-selling author, D. Ward Cornell, comes the continuing tale of human ingenuity, alien conflict, and one man’s struggle to lead a reluctant world to survival in its first war between worlds.  Nearly a year has passed since Kyle and Alex Wimberly’s daughter, Kayla, was born. She has already begun manifesting the gift of the mist. After two years of silence, the Dominion launch a devastating attack on planet Aarde, killing over one-hundred-thousand Katswiri, the native population. As Kai and Alex retaliate by destroying a Dominion core world, a metal sphere plows through Earth’s atmosphere, making a fiery entry and sending a message.  *Kyle Wimberly.   We know who you are.   We know where you live.   We are coming for you,   but we will take your wife and your daughter first.* Buckle your seatbelts and get ready for the ride in the exciting next installment in the Echoes of Extinction series.","eng","","","Ciencia Ficción","90","Ciencia ficción con conflicto alienígena y poderes de origen alienígena, romance secundario.","Echoes of Extinction","1.0"
"Reverberations: Echoes of Extinction: Book 2","D. Ward Cornell","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","A startlingly powerful new weapon...   An enemy more capable than previously known...   Allies in disarray...  From best-selling author, D. Ward Cornell, comes the continuing tale of human ingenuity, alien conflict, and one man’s struggle to lead a reluctant world to preparedness.  Six months have passed since Kyle Wimberly and his team helped turn the Dominion back in Harza space. Many of Earth’s nations have entered into collaboration agreements with the Iknosan and Harza. While working on an intelligence gathering mission with alien allies, Kyle and life partner, Alexandra Reyes, make a discovery that has the potential to change the course of the war. But as word of Kyle’s activities spread and his popularity soars, the administration retaliates.  The politically motivated investigations that follow force him to choose. Fall in line. Or risk everything he has and everyone he loves to protect the earth.  Buckle your seatbelts and get ready for the ride in the exciting next installment in the Echoes of Extinction series.","eng","","","Ciencia Ficción","95","Space opera con conflicto alienígena. Sin romance central.","Echoes of Extinction","1.0"
"The Institute Ascendancy","D. Ward Cornell","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","The Revelation saga continues… It has been 5 years since the Revelation and Earth is now a member of the Intergalactic Confederation of Planets. Peace has broken out. Climate change has been reversed. Life expectancy has increased. Poverty has just about been wiped out. The Institute is up and running at the Embassy. Students from around the world have transferred; researchers from major Universities are doing sabbaticals. And, Confederation technology is being adapted for human use. However, the Enemy has strengthened and gained faster-than-light technology. An initial probing force is on its way, and they have learned what makes Earth so special. A massive invasion is in the works. Meanwhile, there is trouble afoot in the Confederation. Can Michael and his team prevail?
","eng","","","Ciencia Ficción","90","Space opera, guerra interestelar, sin romance.","The Revelation","1.0"
"Draxl: Apocalyptic Himbos","Casey Cox","Genero · Ciencia ficcion, Paranormal · Brujas/Magos, Subgenero · Distopia/Apocaliptico","","1.0","","eng","","","","30","Solo título y autor, sin sinopsis.","",""
"Crash","Belinda Crawford","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion, girl hero, Representacion · Protagonista femenina fuerte, Subgenero · Aventura/Quest, Subgenero · Romance alienigena/Sci-fi","The cheshire","1.0","**Get ready for another high-octane space opera from the author of The Echo trilogy that opens up a whole new galaxy of non-stop action and edgy heroes.**
Maja Kuar isn't her name.
A fugitive, Maja is running from more than just the law, she's running from herself; hiding in booze and drugs, hiring her skills out to two-bit freighters where the work is shady and the captains ask no questions. When her addiction causes a fatal accident, she's inclined to slide deeper into the narcotic fog, but a grizzled solider-for-hire has different ideas.
**Crash is the first instalment in a new no-holds-barred sci-fi adventure from acclaimed author Belinda Crawford.**
","eng","","","Ciencia Ficción","100","Space opera con fugitiva y adicción.","",""
"Echo Between Worlds","Belinda Crawford","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion, Genero · Misterio/Thriller, mechanoid, mechs, psion, psionic, Representacion · LGBTQ+, Subgenero · Aventura/Quest, Subgenero · Biotecnologia/Genetica, Subgenero · Romance alienigena/Sci-fi, Subgenero · Superpoderes, Subgenero · Supervivencia, Subgenero · Young adult/Juvenil","The Echo","3.0","There is no escape.   
I'm a ship-kid, cruising around the galaxy in my spaceship home, exploring planetoids, charting asteroids and sleeping away the long years between solar systems in stasis/sleep along with my family and friends. Or, at least, that's what I'm supposed to be.   
I'm not that anymore, not by a long-shot, not since a sentient alien spaceship ate my home.   
That home is gone now, blown to bits by the same aliens that took my sister, kidnapped my friends and destroyed my family, all because of some long ago war we didn't have anything to do with.   
It's not fair. It's not right.   
It's not over.   
It's my turn now, my turn to take all of this death, all this destruction and shove it down the aliens' throats. And maybe, if I'm lucky - if we're all lucky - me, my friends and what's left of my family will come out of this alive, because there's one thing I know for sure...   
I won't let them win.   
** *Echo Between Worlds* is the final book in an epic new YA sci-fi series**, with aliens, spaceships, big arse mechs and an LGBTQI+ hero having a REALLY bad day.
","eng","","","Ciencia Ficción","90","YA sci-fi, venganza alienígena, sin romance central.","",""
"La última princesa","Galaxy Craze","Arquetipo · Realeza, Genero · Ciencia ficcion, Genero · Romance, Subgenero · Aventura/Quest, Subgenero · Distopia/Apocaliptico, Subgenero · Young adult/Juvenil","Last Princess","1.0","Una serie de desastres naturales ha diezmado el planeta. Apartada del resto del mundo, Inglaterra es ahora un lugar sombrío: casi no luce el sol, la comida escasea y un grupo de criminales vaga por los bosques en busca de presas fáciles. La población comienza a agitarse. Aprovechando estas circunstancias, un implacable revolucionario se levanta para derrocar el trono; acabar con la familia real será su primer objetivo. La princesa Eliza, de dieciséis años, conseguirá escapar a la horrible matanza que tendrá lugar en Buckingham Palace. Deseosa de terminar con el hombre que asesinó a su familia, la princesa se unirá a las fuerzas enemigas para vencerlas desde dentro. Eliza solo tiene una razón por la que vivir: la venganza, hasta que alguien le hace recordar la importancia de la esperanza y el amor.
","spa","","","Ciencia Ficción","90","Inglaterra postapocalíptica, princesa busca venganza; sin romance central.","",""
"Cage of Glass","Genevieve Crownson","Genero · Ciencia ficcion, Genero · Misterio/Thriller, Subgenero · Young adult/Juvenil","Cage of Glass","1.0","**EVERYTHING LUNA'S EVER KNOWN HAS BEEN A LIE.** Sixteen-year-old Luna Redwood was born into a world of conformity and lives a life of scarcity—thanks to a ruling that requires mandatory eye scans to determine social status. But when her mother sells her back to the government, everything tilts on its head.  With nowhere to run, and now the property of the establishment, she’s forced to transfer to a different universe where all her life memories will be lost. Determined to hold onto the only thing she has left—her identity— Luna fights them at every turn.  Now she must learn to navigate a new, seemingly perfect world that hides a dark secret while trying to hide a secret of her own. And if the government finds out what she’s been hiding, she might end up dead.  Her only hope of escape? Putting her trust in a mysterious boy she barely knows. One who, if she’s not careful, may betray her in the end.  A daring and romantic thriller for lovers of Stephanie Myers The Host and Lowry’s The Giver.  * * *","eng","","","Romantasy","90","YA romance central in invented dystopian world with alternate universe.","",""
"Cage of Secrets","Genevieve Crownson","Genero · Ciencia ficcion, Genero · Fantasia","Cage of Glass Trilogy","2.0","**BORN AS AN EXPERIMENT. DESIGNED TO ALTER HISTORY.** Luna Redwood didn't think things could get much worse when she jumped from P8 into the unknown.  But boy, was she wrong.  Her whole world was a lie—Zander lied. And now she has no one. Determined not to lose herself in the memories of the people she was forced to leave behind, her only focus is on staying alive and uncovering the truth.  But there is a traitor in their midst, and they will do anything to stop her.  Her only choice is to expose the secrets the government is trying to hide, while remaining hidden herself—because if they find her, they will turn her into exactly what she was created for.  A weapon.  And humanity as they know it could vanish forever.","eng","","","Ciencia Ficción","90","Protagonista creada como experimento gubernamental en mundo distópico; sin romance central.","",""
"Fort Apocalypse: PvP Battle: Shadow of the Rogue Prequel","Quinn Dallas","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","This FREE short story is a prequel Shadow of the Rogue.  *Trigger This story contains violence, same-sex relationships, and strong language!* It’s my last day playing Cybercell, and I’ve convinced my old crew to enter a PvP Fort Apocalypse! The zone has unique missions that drop ultra-rare loot. We’ll sneak in during low population hours, snag the loot, and then get out!   What could possibly go wrong?  A group of player killers has us in their sights. Now we’ve got to fight past them if we want to survive.  Dammit! There’s no way I’m giving up! I’ve got stealthy Cyber-Ninja skills and bionic claws! Feivel, my Rat-Man buddy, is a Gadgeteer with dual-pistols and a shield generator. While my ex-girlfriend Rachel is a Cyborg Warrior, armed with a nasty ranged surprise!  We got this!","eng","","","Ciencia Ficción","90","Historia dentro de un videojuego cyberpunk; PvP y accion, sin romance central.","Shadow of the Rogue","1.0"
"Fort Apocalypse: PvP Battle","Quinn Dallas","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","This FREE short story is a prequel to: Shadow of the Rogue.  *Trigger Warning: This story contains violence, same-sex relationships, and strong language!* It's my last day playing Cybercell, and I've convinced my old crew to enter a PvP zone: Fort Apocalypse! The zone has unique missions that drop ultra-rare loot. We'll sneak in during low population hours, snag the loot, and then get out!   What could possibly go wrong?  A group of player killers has us in their sights. Now we've got to fight past them if we want to survive.  Dammit! There's no way I'm giving up! I've got stealthy Cyber-Ninja skills and bionic claws! Feivel, my Rat-Man buddy, is a Gadgeteer with dual-pistols and a shield generator. While my ex-girlfriend Rachel is a Cyborg Warrior, armed with a nasty ranged surprise!  We got this!","eng","","","Ciencia Ficción","95","Juego de realidad virtual con mejoras cibernéticas, sin romance central.","Shadow of the Rogue","1.0"
"Walking Ghost Phase","D. C. Daugherty","Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Aventura/Quest, Subgenero · Young adult/Juvenil","","1.0","All eighteen-year-old Emily Heath wants before college is a summer vacation at the beach. Instead she's in Washington D.C. at the height of tourist season, looking for an excuse to leave early. She gets one in the worst way possible; a nuclear bomb destroys a large section of the capital. Emily wakes up in the hospital. She's received a massive dose of radiation, her immune system is failing, and she's going to die unless she accepts Colonel Richard Logner's He has a cure, but in return she must agree to participate in a military experiment. The treatment's side effects include partial memory loss, but Emily wants to live. She accepts his offer and the consequences. At a military base, Emily joins others like her for team-based combat on a virtual reality battlefield. But this is no video game. When she's killed in the simulation, she feels all the agony of dying, and the near impossible odds of winning guarantee her a nightly routine of pain. Only one experiment participant understands how to achieve victory—a young man named Matt—but his solo approach leaves the rest of his squad to die in the virtual world. After Matt tells Emily he can help her, she must decide whether to trust a person no one else does—and most likely sentence her teammates to the nightly anguish—or she can keep trying to win on her own and face the unspeakable torment over, and over, and over. But even success may not be enough to stop Emily from wondering if she should have chosen death back at the hospital.","eng","","","Ciencia Ficción","100","Military sci-fi with VR simulation after nuclear attack, no romance central.","",""
"Walking Ghost Phase","D. C. Daugherty","Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Aventura/Quest, Subgenero · Young adult/Juvenil","","1.0","All eighteen-year-old Emily Heath wants before college is a summer vacation at the beach. Instead she's in Washington D.C. at the height of tourist season, looking for an excuse to leave early.  She gets one in the worst way possible; a nuclear bomb destroys a large section of the capital.  Emily wakes up in the hospital. She's received a massive dose of radiation, her immune system is failing, and she's going to die unless she accepts Colonel Richard Logner's bargain: He has a cure, but in return she must agree to participate in a military experiment. The treatment's side effects include partial memory loss, but Emily wants to live. She accepts his offer and the consequences.  At a military base, Emily joins others like her for team-based combat on a virtual reality battlefield. But this is no video game. When she's killed in the simulation, she feels all the agony of dying, and the near impossible odds of winning guarantee her a nightly routine of pain.  Only one experiment participant understands how to achieve victory—a young man named Matt—but his solo approach leaves the rest of his squad to die in the virtual world. After Matt tells Emily he can help her, she must decide whether to trust a person no one else does—and most likely sentence her teammates to the nightly anguish—or she can keep trying to win on her own and face the unspeakable torment over, and over, and over.  But even success may not be enough to stop Emily from wondering if she should have chosen death back at the hospital.","eng","","","Ciencia Ficción","100","Military sci-fi with VR simulation after nuclear attack, no romance central.","",""
"Prisoners of Pallene","M. J. Dees","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion","Mastery of the Stars","7.0","When their friends are kidnapped, Sevan and Nadio find themselves marooned on the tourist Planet of Pallene.  Their predicament gets worse when Republic troops transport them to a prison planet from which no one has ever escaped.  But escape is exactly what Sevan must do if he is to save the life of his friend, Nadio.  Prisoners of Pallene is book seven in the light-hearted space opera series, Mastery of the Stars.","eng","","","Ciencia Ficción","100","Space opera ligera, escape de planeta prisión.","Mastery of the Stars","1.0"
"The Hermit of Chaldene","M. J. Dees","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion","Mastery of the Stars","9.0","**Lost in the distant outreaches of space, Sevan and the team seek out the Hermit of Chaldene to help them find a way home but the journey ends up taking them to another universe.**  
  
Will they survive being folded and squeezed through black and white holes left right and centre and what will they find on the other side?  
  
More to the point, how will they get back?  
  
And if they do, will they still have their marbles?  
  
The Hermit Of Chaldene is book nine in the light-hearted Mastery of the Stars space opera series.
 
","eng","","","Ciencia Ficción","95","Space opera ligera, viaje por agujeros de gusano, sin romance central.","Mastery of the Stars","1.0"
"Humanity Gone: After the Plague","Derek Deremer","Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Aventura/Quest","","1.0","A mysterious plague has killed nearly everyone over the age of 19 in America. Those remaining struggle to survive in a country violently tearing itself apart. Children quickly learn what horrors dwell within others... and themselves. In the first book of the Humanity Gone Saga-watch as innocence shatters and savagery rises.
### About the Author
Derek Deremer is currently an English teacher in South Carolina. He somehow wandered down there after growing up in the suburbs of Pittsburgh. While graduating with an English degree from Westminster College, he developed his love for common words and many other endeavors in his continual pursuit to be a jack of all trades and a master of none. 
","eng","","","Ciencia Ficción","95","Plaga que mata adultos, niños sobreviven, sin romance central.","Humanity Gone","1.0"
"Humanity Gone: After the Plague","Derek Deremer","Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Aventura/Quest","","1.0","A mysterious plague has killed nearly everyone over the age of 19 in America. Those remaining struggle to survive in a country violently tearing itself apart. Children quickly learn what horrors dwell within others... and themselves.In the first book of the Humanity Gone Saga-watch as innocence shatters and savagery rises.
","eng","","","Ciencia Ficción","95","Plaga que mata adultos, niños sobreviven, sin romance central.","Humanity Gone","1.0"
"Insight Kindling","Chess Desalls","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","<p><strong>I&#39;d always heard knowledge was power. </strong></p><p><strong>But the more I learned, the more powerless I felt.</strong></p><p>Calla faces charges against her for changing the past. Her use of the Travel Glasses resulted in the creation of two writings that affected the lives of Edgar, the inventor of the Travel Glasses, and Valcas, their prior owner. Now Calla must explain her actions before the Time and Space Travel Agency.<br />The hearing does not end well. The travel commissioner finds Calla guilty as charged and forces her to choose between two harsh penalties. Despite the risk of becoming lost herself, Calla accepts a dangerous travel mission that may help her find her father. She teams up with a group of talented travelers. While working with them, she soon discovers that she has a special travel talent of her own.<br />Pursued by the sentient being of white light that&rsquo;s been tracking her father&rsquo;s bloodline, Calla fears her newfound talents may...","eng","","","Ciencia Ficción","90","Viaje en el tiempo con gafas especiales, sin romance central.","",""
"Death By Supermarket","Nancy Deville","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","<p>The epidemics of obesity, disease, low IQ, and depression are the result of a new source of malnutrition caused by chemically loaded, nutrient dead ""science fiction"" food made in factories.<p>In Death By Supermarket, Nancy Deville masterfully links America's obsession with factory food and our growing reliance on the pharmaceutical industries. This well-researched guide based on scientific studies reveals the imminent danger behind the low fat/low cholesterol diet and links the introduction of this diet to the proliferation of high-fructose corn syrup, vegetable oil, endocrine disrupting soy, neurologically damaging aspartame, and other unhealthy ingredients that pervade factory food.<p>You don't have to stay fat, depressed, or sick, tethered to pharmaceuticals and dreading old age. It's never too late to begin reversing the effects of factory food. Death By Supermarket shows you how to quit dieting and taking drugs, provide your body and brain with nutritional building blocks,...","eng","","","No-Ficción","99","Ensayo sobre alimentación y salud, divulgación.","",""
"Stargate: La Puerta Del Tiempo","Dean Devlin & Roland Emmerich","Genero · Ciencia ficcion, Genero · Fantasia","Stargate","0.5","A brilliant archeologist and a fearless military man lead a team through the ancient StarGate and discover a planet where the humans are enslaved by the Egyptian god Ra.
","spa","","","Ciencia Ficción","95","Adaptación de la película; tecnología alienígena, sin enfoque romántico.","Stargate","1.0"
"Independence Day: Novelisation","Dean Devlin & Roland Emmerich & Stephen Molstad","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion, Genero · Misterio/Thriller, Subgenero · Aventura/Quest, Subgenero · Distopia/Apocaliptico, Subgenero · Policiaco/Detective, Subgenero · Romance alienigena/Sci-fi","Independence Day","2.0","The rumors of a secret government project concerning the remains of a crashed spaceship in Roswell, New Mexico, prove to be true as the brethren of the craft come calling. As panic grips the nation, all wonder exactly what these visitors from space intend. Publication to coincide with the release of the motion picture of the same name from Warner Brothers. Includes a prequel not dramatized in the film. Color illustrations throughout.
","eng","","","Ciencia Ficción","95","Alien invasion novelization, no romance.","",""
"Anchorage EMP","J. S. Donovan","Genero · Ciencia ficcion, Genero · Fantasia","EMP Survival in a Powerless World","17.0","Anchorage, the largest city in Alaska, faces a storm unlike any other.  For years, faithful police officer Eva Bekhor has toiled Alaska’s tough soil and raised a family of survivalists. The sudden explosion of an EMP bomb hurls her and the rest of country back to the Stone Age. Pushed to her limit, Eva must pull out every stop to keep her kin alive. Meanwhile, a foreign threat rises from the rumble of a crippled society. Winter draws near. Will Eva’s preparation be enough or will she be buried beneath the snows of chaos?","eng","","","Ciencia Ficción","90","EMP apocalypse, survival in Alaska, no romance.","",""
"A Dirge for the Damned: The Kelk Conflict: Escalation","J. L. Doty","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Belica/Guerra","The Blacksword Regiment","2.0","Damned if I die today. Cursed if I live tomorrow   
Nikaela Vreekande joins Kristdokar's clandestine operation to identify those responsible for the tragedy on Novalis III, and the incident on Reisenar. Lieutenant Colonel Katrine Primatov meets with Thordahl and Brynjar on Norandyne to establish covert lines of communication between the Kelk Supremacy and the Commonwealth. John Mathius travels to Trafalgar to attend O-School.   
All seems well, but there are those in the Commonwealth and the Supremacy who would prefer that John and Nikaela fail, or barring that, they would see them dead.
","eng","","","Ciencia Ficción","95","Space opera militar con conflicto galáctico, sin romance central. Regla 3e.","The Kelk Conflict","1.0"
"A Hymn for the Dying: The Kelk Conflict: Annihilation","J. L. Doty","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Belica/Guerra","The Blacksword Regiment","1.0","Praise for JL Doty's Sci-Fi:  ""An excellent military SF novel, part Hornblower, part Wiggins. It had me from the first page and held on for the rest of them.""—KEVIN J. ANDERSON, NEW YORK TIMES-BESTSELLING AUTHOR OF THE DARK BETWEEN THE STARS on OF TREASONS BORN   ""A roller coaster ride of a story which is one of the best books I've read in years.""—SFFWORLD on A CHOICE OF TREASONS  For many the dying part is hard.   For some the living part is even harder.  At sixteen years of age, Mathius’s life is focused on scrounging bits of food in the midst of a five-way civil war on the planet Novalis III. Two government factions and three rebel factions are all hell-bent on killing one another, and the civilian population is caught in the middle. If Mathius doesn’t find food, he and his father, mother and sister will go hungry for the day, a not unusual occurrence. Mathius must also avoid the rebel factions, who frequently kidnap young boys and force them to become soldiers.  Will the Commonwealth of Allied Systems intervene? And what of the Blacksword Regiment, the elite soldiers of the Commonwealth Security Corps? Will they sweep in and make everything right?  And the Kelk Supremacy, a race of strange humans with blood-red eyes, and pale bluish-white skin? They're perfectly human, and yet they are not. Why does Mathius keep seeing signs that the Kelk are somehow involved in the unrest?   A gripping saga of war and redemption. Order it now.  All books in the series are being released this year:  Jul 1 2020: A Hymn for the Dying   Jul 25 2020: A Dirge for the Damned   Aug 1 2020: A Prayer for the Fallen   Aug 8 2020: A Requiem for the Forsaken","eng","","","Ciencia Ficción","90","Ciencia ficción militar con guerra civil y conflicto alienígena.","The Kelk Conflict","1.0"
"A Prayer for the Fallen: The Kelk Conflict: Assassination","J. L. Doty","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Belica/Guerra","The Blacksword Regiment","3.0","Many fall and weep for their loss.   Some fall and claw their way back up.  After John and Nikaela are rescued from the rogue warship Sycorax, Katrine Primatov has only a lone hunter-killer to back her in the remote Sarkovie system, and she is faced with a Kelk force of overwhelming firepower superiority. The Kelk decide to take John and Nikaela back to Viktorkinde, whether Katrine likes it or not, and everyone is pretending they're not prisoners. With no choice in the matter, she accompanies them, and the three are reluctant ""guests"" aboard the Kelk heavy cruiser Konigsborge.  But the Kelk are quietly at war among themselves, fighting their own battle against superstition and irrationality. John and Katrine begin to learn the roots of the Kelk hatred of the Blacksword, and Nikaela does what she can to help them stay alive.   A gripping saga of war and redemption","eng","","","Ciencia Ficción","95","Continuación de la space opera militar, sin romance central. Regla 3e.","The Kelk Conflict","1.0"
"A Requiem for the Forsaken: The Kelk Conflict: Implosion","J. L. Doty","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Belica/Guerra","The Blacksword Regiment","4.0","Forsaken, damned and dying, a bad day all around.  The diplomatic mission has arrived at Viktorkinde. Palmutter is getting more unstable and unreliable each day. On Sarkovie Anders Eindride learns that the people responsible for the tragedy on Novalis III are planning something big, a real game changer. He's unable to warn his Commonwealth contacts before being put on a ship back to Viktorkinde, where the factions among the Kelk are splintering.  Can Katrine and John figure out what the opposition plans before the shit hits the fan?   A gripping saga of war and redemption.","eng","","","Ciencia Ficción","85","Space opera militar, sin romance.","The Kelk Conflict","1.0"
"Only the Astronauts","Ceridwen Dovey","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","**Adrift in outer space, a motley crew of human-made objects tell their tales, making real history sweeter and stranger.** Starman, a lovelorn mannequin orbiting the Sun in his cherry-red car, pines for his creator. The first sculpture ever taken to the Moon is possessed by the spirit of Neil Armstrong. The International Space Station, awaiting deorbit and burial in a spacecraft cemetery beneath the ocean, farewells its last astronauts. A team of tamponauts sets off on a perilous mission to Mars inspired by the courage of their predecessors. The Voyager 1 space probe – carrying its precious Golden Record – is captured by Oortians near the edge of the solar system and drawn into their baroque, glimmering rituals. By turns joyous and mournful, these object-astronauts are not high priests of the universe but something a little . . . weirder. From their inverted perspectives, they observe humans both intimately and from a great distance, bearing witness to a civilisation unable to live up to its own ideals. And yet each still finds in our planet – in their humans – something worthy of love.","eng","","","Ficción general","90","Narrativa literaria con objetos en el espacio; no romance central ni elementos de género definidos.","",""
"By Honor Betray'd","Debra Doyle & James D. Macdonald","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion, Paranormal · Magia, Subgenero · Aventura/Quest","Mageworlds","3.0","THE WAR IS OVER. THE MAGELORDS HAVE WON.  Galcen has fallen. The Space Force is broken and scattered. The planets of the former Republic are rushing to make peace with the victorious Mages.  All that remains is mopping up. Minor details. A privateer or two, a few Adepts who remain alive and on the run, and the hereditary ruler of a lifeless planet.  Beka Rosselin-Metadi, the last Domina of Lost Entibor, possesses little more than a famous name and a famous ship. With them she must salvage what she can from the wreckage of the Republic. Her enemies are too many to count, her friends too few to make a difference. She can truss no one except herself, her crew -- and the family she ran away from years before.  Beka has resources few suspect: a hidden base, a long-forgotten oath, and a dead man's legacy. But she has problems as well; for in a universe gone mad neither friends nor enemies are all that they may seem.  A play that began in treachery and blood five hundred years before has reached its final act. A broken galaxy will be sundered forever, or else made whole.","eng","","","Fantasía","90","Space opera con magia central (science fantasy).","Mageworlds","1.0"
