title,authors,tags,series,series_index,comments,identifiers,#subtitle,#subjects,#clasificacion,#libreria,#clasificacion_ia,#confianza_ia,#libreria_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Falling for You","Sarah Taylor","Themes.Explicit Sex, Romance, _Biblioteca.Romance.Contemporaneo","Big Hot Heroes","4.0","Wolf  I’m a cop and my life revolves around my work. My colleagues on the force are like my family.  Although I’m a bit rough around the edges I like to think I have a bit of charisma to offset it.  I’ve known Violet almost all my life. I used to hang out with her brother Liam back in the day, but to me she was always just his kid sister.  Seeing her at that wedding recently changed my opinion. She’s no longer the annoying little kid she once was.  But she’s still a lot younger than me and although I’m attracted to her it still feels wrong and I’m not ready to commit.  Or am I?  Violet  I’ve always been the ambitious type. Above all I want to make my family proud of me.  But taking over the family veterinary business has caused a rift between me and my brother Liam. It should have been his by right, but he’s gone off the rails.  Studying to become a vet and running the business was never my first choice, but what else can I do?  And then there’s Wolf. He was Liam’s friend back in school and I had the biggest crush on him. He’s a cop now and seeing him again for the first time in years brought back a lot of memories.  But if he’s not ready for commitment and I’m not willing to be strung along it might be pointless, no matter how great he looks.  Or is it?  Are you craving a sweet insta-love story? No cliffhangers? Guaranteed HEA? Falling for You is the perfect short, steamy read you've been waiting for.","mobi-asin:B08BZVPMMV,goodreads:54379672","","","Dinamica · Amor a primera vista, Tono · Picante/Erotico, Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"The Medic for You","Sarah Taylor","Themes.Explicit Sex, Romance, _Biblioteca.Romance.Contemporaneo","Big Hot Heroes","5.0","Noah  I work as a paramedic and I enjoy life as much as the next guy.  When I first saw Ava in the hospital she really caught my eye. There was something about her. But we never got the chance to meet properly.  Then my buddy Wolf threw a party and guess who was there?  We couldn’t keep our hands off each other but relationships aren’t my thing and I swore it would just be for that one night.  I can’t deny that something was different that night and now I’m confused about what I want, or if she even wants me.  Now it seems like she’s rubbing salt into the wounds and telling me that I’ll never have her.  And that suits me fine.  Ava  The first time I saw Noah he was bringing a patient into the hospital where I work.  He looked great and just the kind of guy I would go for, but I have this rule; never date anyone in the medical profession. I get enough of them at work.  When I met him at Wolf and Violet’s party I got quite a shock.  And of course, with a bit too much to drink, one thing led to another and…  That one night stand turned my life upside down. Now I’m pregnant with Noah’s baby and I don’t know how to tell him.  He was always unlikely to want to have anything to do with me once he found out and now that’s come true.  So I’ve decided. I’m going to keep it a secret. If I can.  Are you craving a sweet insta-love story? No cliffhangers? Guaranteed HEA? Complete with You is the perfect short, steamy read you've been waiting for.","mobi-asin:B08CZ4QN3B,goodreads:54573640","","","Dinamica · Amor a primera vista, Tono · Picante/Erotico, Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"Caught Up","Liz Tomforde","Contemporary, English.Romance.Contemporary Romance, Themes.Explicit Sex, _Biblioteca.Romance.Contemporaneo","Windy City","3.0","KaiI'm a single dad and starting pitcher for Chicago's MLB team. 
I'm stretched too thin, but I don't want help raising my son. 
Each of his previous nannies only lasted a few weeks before I let them go. 
Now, my coach is putting his foot down by hiring the one person I can't fire-his daughter. 
Miller Montgomery is the last woman I should fall for. Too wild, too young, and too unattached. 
Chicago is just a quick stop for her. I thought I'd be counting down the days until she left, but summer feels too short when I start thinking about forever. MillerAs a high-end pastry chef who recently won the most prestigious award in my industry, I'm desperate to prove I deserve it. But with a new title comes new pressure, and I can't create a fresh and inspiring dessert to save my life. 
With only two months to get back on track, I should be focusing in the kitchen, but instead, I let my dad talk me into using my time off to nanny for his star player's kid. 
Kai Rhodes forgot how to have fun, and I'm eager to jog his memory. But when he and his son start to feel like home, I have to remind us both that my time in Chicago ends with the summer. 
Besides, I've always been a runner, and the last thing I want is to get caught.
","isbn:9798868972201,goodreads:88151671,ff:t/liz-tomforde/caught-up,amazon:B0BSL6GMZX,google:LB9Y0AEACAAJ","","Contemporary, Romance, Sexual Content","Tono · Picante/Erotico, Arquetipo · Deportistas, Dinamica · Hermano del mejor amigo/a, Arquetipo · Mafia, Paranormal · Lobos/Shifters, Dinamica · Padre/Madre soltero/a","Romance contemporáneo","","","","","",""
"Mile High","Liz Tomforde","Contemporary, English.Romance.Contemporary Romance, Themes.Explicit Sex, _Biblioteca.Romance.Contemporaneo","Windy City","1.0","ZANDERS   
Chicago hockey isn't complete without me - everyone's favourite player to hate. I know my role, and I play it well. In fact, I thoroughly enjoy spending the majority of my game time in the penalty box before leaving the arena with a new girl on my arm each night.   
What I don't like is the new flight attendant on our team's private plane. She works for me, not the other way around. But I'll be sure to remind her of that, and I can guarantee, by the end of the season, she'll be begging to quit her job.   
But every road trip blurs the lines, and I can't quite figure out if I keep pushing that flight attendant call button in order to push her buttons, or if it's more than that.   
STEVIE   
I've been a flight attendant for years. I thought I'd seen it all, but when my new job lands me onboard working for the most egotistical and self-righteous diva in the NHL, I start to second guess everything. Including the promise I made to myself of never hooking up with an athlete again . . . no matter how annoyingly tempting he may be.   
Evan Zanders is unfiltered, unapologetic, and too attractive for his own good. He loves his image, but I hate everything about it.   
Everything but him.
","mobi-asin:B09X4PVC6F,amazon:B09X4PVC6F,ff:t/liz-tomforde/mile-high,goodreads:123014107","","Contemporary, Romance, Sexual Content","Tono · Picante/Erotico, Arquetipo · Deportistas, Dinamica · Hermano del mejor amigo/a, Arquetipo · Mafia, Paranormal · Lobos/Shifters, Dinamica · Padre/Madre soltero/a","Romance contemporáneo","","","","","",""
"The Right Move","Liz Tomforde","Contemporary, English.Romance.Contemporary Romance, Themes.Explicit Sex, English.Romance.Mafia Romance, _Biblioteca.Romance.Contemporaneo","Windy City","2.0","RYAN   
Shes a distraction, thats what she is.   
Im the newest Captain of the Devils, Chicagos NBA team, and the last thing I needed this year was for Indy Ivers, my sisters best friend, to move into my apartment. Shes messy, emotional, and way too tempting.   
But when the teams General Manager vocalizes his blatant disapproval of my promotion to Captain, referring to me as an unapproachable lone wolf with no work-life balance, I cant think of a better way to convince him otherwise than pretending to date my outgoing roommate.   
The only problem? Faking it feels far too natural.   
Having a fake girlfriend wasnt supposed to be messy but having Indy under my roof and in my bed is complicated, especially when she wants all the romantic parts of life that I could never give her.   
INDY   
I never imagined Id be living with my best friends brother, NBA superstar Ryan Shay. Even more unbelievable? He needs me to act as his loving girlfriend whos suddenly changed him into a friendly and approachable guy.   
Because, well hes not. Hes controlling of his space and untrusting of others.   
Our arrangement isnt one-sided, though. Im in a wedding coming up, one where every one of my childhood friends, including my ex-boyfriend, will be in attendance, and theres no better date than my exs celebrity hero.   
Blurred lines make it almost impossible to separate real from fake. Falling for my roommate was never part of the deal, especially when Ryan is quick to remind me that he doesnt believe in love.   
Im a romantic and cant help fantasizing that hell change, but soon enough, I find myself questioning if sharing a roof with my best friends brother was the right move after all
","amazon:B0B2L6CBXQ,goodreads:84943172,ff:t/liz-tomforde/right-move,mobi-asin:B0B2L6CBXQ","","Contemporary, Romance, Sexual Content","Tono · Picante/Erotico, Arquetipo · Deportistas, Dinamica · Hermano del mejor amigo/a, Arquetipo · Mafia, Paranormal · Lobos/Shifters, Dinamica · Padre/Madre soltero/a","Romance contemporáneo","","","","","",""
"Surrender","Stephanie Tyler","military romance, _Biblioteca.Romance.Contemporaneo","Section 8","1.0","**Desperate, fearless, and hunted  
**  
For former Navy SEAL Dare O’Rourke, Section 8 was legendary. The son of one of its missing members, he grew up in the shadow of its secrets. All he knew was that it was a cabal of operatives discharged from branches of the military and reassigned to extremely dangerous, off-the-books international missions. And that their handler was as shrouded in mystery as the missions themselves.  

**Nothing can stop them. Nothing can break them.**  

Now the handler of Section 8 has given extreme orders to kill any remaining members, along with their families. Dare must save his long-lost half sister, Avery, whom he was never meant to meet. Determined to fight for their lives and find their missing father, Dare and Avery bring together those who are in danger because of their relationship to Section 8 for one last mission—to avenge their families and to survive.  

### Review
Praise for the Novels of Stephanie Tyler  

“Unforgettable.”— *New York Times* bestselling author Cherry Adair  

“Red-hot romance. White-knuckle suspense.”— *New York Times* bestselling author Lara Adrian  

“No one writes a bad-boy hero like Tyler.”— *New York Times* bestselling author Larissa Ione  

“A story that kept me on the edge of my seat.”— *New York Times* bestselling author Alexandra Ivy  

“Stephanie Tyler is a master.”— *Romance Junkies*  

“Sexy and witty.”— *Fresh Fiction*  

“A thrill ride with twists and turns to keep the reader guessing.”— *Night Owl Reviews*  

“Takes murder, suspense, psychic gifts, and passion; twists them all up; and then tosses them out in a way that will keep you wondering what will happen next.”— *Joyfully Reviewed*  

“Heart-stoppingly exciting.”— *Romantic Times  
*  
“A very satisfying romantic thriller.”— *Publishers Weekly*  

### About the Author
**Stephanie Tyler** is the *New York Times* extended bestselling author of two previous military romantic suspense series, as well as the Eternal Wolf Clan series. *Surrender i* s the first novel in the Section 8 series. Stephanie lives in New York with her husband, kids, and a crazy Weimaraner named Gus.  

","isbn:9780451413499,amazon:0451413490","","Military romance","Arquetipo · Militar/SEAL, Paranormal · Lobos/Shifters, Subgenero · Superpoderes, Subgenero · Romantic suspense","Romance contemporáneo [REVISAR]","","","","","",""
"Surrender","Stephanie Tyler","military romance, _Biblioteca.Romance.Contemporaneo","","1.0","**Desperate, fearless, and hunted  
**  
For former Navy SEAL Dare O’Rourke, Section 8 was legendary. The son of one of its missing members, he grew up in the shadow of its secrets. All he knew was that it was a cabal of operatives discharged from branches of the military and reassigned to extremely dangerous, off-the-books international missions. And that their handler was as shrouded in mystery as the missions themselves.  

**Nothing can stop them. Nothing can break them.**  

Now the handler of Section 8 has given extreme orders to kill any remaining members, along with their families. Dare must save his long-lost half sister, Avery, whom he was never meant to meet. Determined to fight for their lives and find their missing father, Dare and Avery bring together those who are in danger because of their relationship to Section 8 for one last mission—to avenge their families and to survive.  

### Review
Praise for the Novels of Stephanie Tyler  

“Unforgettable.”— *New York Times* bestselling author Cherry Adair  

“Red-hot romance. White-knuckle suspense.”— *New York Times* bestselling author Lara Adrian  

“No one writes a bad-boy hero like Tyler.”— *New York Times* bestselling author Larissa Ione  

“A story that kept me on the edge of my seat.”— *New York Times* bestselling author Alexandra Ivy  

“Stephanie Tyler is a master.”— *Romance Junkies*  

“Sexy and witty.”— *Fresh Fiction*  

“A thrill ride with twists and turns to keep the reader guessing.”— *Night Owl Reviews*  

“Takes murder, suspense, psychic gifts, and passion; twists them all up; and then tosses them out in a way that will keep you wondering what will happen next.”— *Joyfully Reviewed*  

“Heart-stoppingly exciting.”— *Romantic Times  
*  
“A very satisfying romantic thriller.”— *Publishers Weekly*  

### About the Author
**Stephanie Tyler** is the *New York Times* extended bestselling author of two previous military romantic suspense series, as well as the Eternal Wolf Clan series. *Surrender i* s the first novel in the Section 8 series. Stephanie lives in New York with her husband, kids, and a crazy Weimaraner named Gus.  

","isbn:9780451413499,mobi-asin:2bd0104c-29bf-43c7-bf08-7ee3f4b7b1d3","","Military romance","Arquetipo · Militar/SEAL, Paranormal · Lobos/Shifters, Subgenero · Superpoderes, Subgenero · Romantic suspense","Romance contemporáneo [REVISAR]","","","","","",""
"Forever Yours","Jennifer J. Williams","Themes.Explicit Sex, Contemporary, Booktok, Friends To Lovers, Contemporary Romance, Small Town Romance, _Biblioteca.Romance.Contemporaneo, Romance","Forever","2.0","Olivia  I fell in love when I was only twelve to my older brother’s best friend. Despite the years-old crush, he still didn’t know how I felt until he saw me in a Christmas elf costume, and I acted very out of character. It might be time to change our cordial friendship to something a little more uncordial. With love in the air, can I resist the pull I feel toward the man I know should be off-limits?  Liam  I was only a teen when I fell in love with my best friend’s little sister. But I’ve shut down any connection to anyone outside of platonic friendships. My childhood trauma haunts me. But watching my best friend fall in love makes me realize my happiness may be within reach with Liv. Can I leave my demons behind and give Liv the life I know she deserves?  Forever Yours is a small-town contemporary romance. It is book two of the Forever Series but can be read as a standalone. It features a brother's best friend and a guaranteed Happily Ever After. Forever Yours features sexually explicit material, profanity, and some content that may be triggering. This book is intended for readers 18+.","asin:B0BJJ4TD2C,goodreads:63049620","","","Dinamica · Amor a primera vista, Paranormal · Lobos/Shifters, Tono · Picante/Erotico, Dinamica · Enemigos a amantes, Dinamica · Age gap, Tono · Angst/Drama emocional, Ambientacion · Navideno/Festivo, Representacion · LGBTQ+ (FF), Dinamica · Amigos a amantes, Dinamica · Hermano del mejor amigo/a, Paranormal · Fae/Feerico, Paranormal · Angeles y demonios, Ambientacion · Small town, Dinamica · Segunda oportunidad, Arquetipo · Bad boy, Publico · New adult, Tono · Trauma/Salud mental, Tono · Oscuro, Arquetipo · Billonario/CEO","Romance contemporáneo","","","","","",""
"Worth the Risk","Jennifer J. Williams","Themes.Explicit Sex, Contemporary, General, _Biblioteca.Romance.Contemporaneo, Fiction, Romance, Sports","Eternity","1.0","HannahThe night before starting my new job was not when I wanted to meet my neighbor. Certainly not in the middle of the night, wearing next to nothing, as I bang on his door to tell him to quiet down. And when he answers the door, I almost swallow my tongue. He's possibly the hottest guy I've ever seen. But when he opens his mouth, my Southern upbringing rears its ugly head, and I slam up those carefully constructed walls around my heart.
Luca calls me Pixie, and suggests I need to loosen up. When I finally decide to lower my walls with him however, he walks into my work office. As the social media manager for the Denver Wolves hockey team, I'd been warned about one specific hot player, both on and off the ice. Of course, he'd be that hot player. But I just can't stay away ... until I'm forced to.
LucaI'm the black sheep of the Wolves. The one who has too much bad publicity. Everyone, including my family, thinks I'm a player. No one believes that I'm tired of the partying. The lifestyle. The games. But I don't know how to change things, until she moves in next door.
Hannah makes me want to be a better man. But life on the ice has gotten murky, and my coach is clearly looking to get rid of me. I've never taken chances on anyone before, but something tells me Hannah is worth the risk.
Worth the Risk is a small town contemporary romance. It is book one of the Eternity Series, but can be read as a standalone. It features a neighbors, workplace, hockey romance and a guaranteed Happily Ever After. Worth the Risk features sexually explicit material, profanity, and some content that may be triggering. This book is intended for readers 18+.
","asin:B0CJ7L1J93,isbn:9781967829019,goodreads:199036788,google:iGaP0QEACAAJ","","","Tono · Picante/Erotico, Arquetipo · Deportistas, Paranormal · Lobos/Shifters, Paranormal · Fae/Feerico, Ambientacion · Small town","Romance contemporáneo [REVISAR]","","","","","",""
"Believe It or Knot: Part Two","Harper Wylde","Themes.Explicit Sex, Paranormal, Erotica, Contemporary, Dark, English.Romance.Mafia Romance, Omegaverse, Themes.Reverse Harem, Dark Romance, Why Choose, _Biblioteca.Romance.Contemporaneo, Romance, Fantasy","Runaway Omega","2.0","**Fate gave me everything… and then my past came back and stole it all away.** In the blink of an eye, I lost my freedom, my fated pack, and my only shot at happiness.  Alone and outnumbered, I’m held captive by my worst nightmares. My old pack thinks I’m worthless and weak, but I’m not the same Omega they once knew. They have no idea how hard I’ll fight to get back to them—the six men who claimed my heart. My scent matches. My perfect pack.  I’ll go to any lengths, walk through any hell, if it means getting to see them again.  Now that I’ve had a taste of love, I’m not giving it up.  I know my mates are coming for me, but if life has taught me anything, it’s that sometimes, you have to claim your destiny for yourself.  The promise of our future hangs just out of reach, dangled in front of me like a carrot on a stick. But I’m done being a pawn in the wicked games of others.  There’s power in being an Omega, and for the first time in my life, I’m ready to embrace who I am.  I’m Demi Leigh, an Omega who never used to believe in happily ever afters. But since I met my pack, I know they exist.  And I’m willing to do whatever it takes to make mine come true.  *Believe It or Knot: Part Two is the second book in a reverse harem (MFMMMMM) Omegaverse duet (now complete) with no choosing, no cheating, and a guaranteed HEA! Please read the content warning at the start of the book for possible triggers.*","asin:B0CNSKLBTF,amazon:B0CNSKLBTF,goodreads:202508142","","","Dinamica · Harem inverso/Why choose, Tono · Oscuro, Tono · Picante/Erotico, Arquetipo · Mafia, Paranormal · Lobos/Shifters, Paranormal · Fated mates, Paranormal · Omegaverse, Tono · Cautiverio/Trata","Romantasy [REVISAR]","","","","","",""
"Harlequin Nocturne October 2018 Box Set","Barbara J. Hancock","","","1.0","Do you harbor passionate otherworldly desires where the normal and paranormal collide? Let <strong>Harlequin&#174; Nocturne</strong> bring you into dark and dangerous territory where your senses will be awakened. <br>This box set includes:<br><strong>LEGENDARY BEAST<br>by Barbara J. Hancock</strong><br>Once upon a time, Madeline was trapped in an enchanted sleep, her baby wrapped tight in her arms. Then the white wolf woke her, and her son disappeared. For centuries, Lev Romanov searched for his wife and their child, and the search drove him half-mad. Can Madeline trust the wolf to be the man who can help her save their son?<br><strong>WITCH HUNTER<br>by Shannon Curtis</strong><br>When a name appears on Dave Carter's skin, he goes hunting. It's his job to find and kill witches who transgress natural law. He can't believe that sweet, naive empath Sully Timmerman is the murderer he's seeking. Is she dangerous, in danger, or both? Dave wants to protect her, but he can't protect his...","","","","Paranormal · Lobos/Shifters, Paranormal · Brujas/Magos","Paranormal [REVISAR]","","","","","",""
"Thrown to the Wolves","Persephone Black","","The Red Rivals Duet","1.0","***Lyssa can't resist a damsel in distress…but she'll wish she resisted this one.** * 
The ferocious Styx Syndicate enforcer and trainer known as ""the Wolf"" has always been the hunter, never the hunted. So when Lyssa sees the gorgeous Scarlett getting harassed by thugs in a dive bar she's visiting for intel, she jumps straight into protective mode. 
But Lyssa soon discovers that not every damsel needs saving. 
And sometimes, wolves wear sheep's clothing… 
Lyssa thought she'd buried her past, but now it's rushing back with a vengeance—literally. Scarlett has a score to settle, and she’s not going to back off. 
The Styx Syndicate wants Scarlett dead. But Lyssa sees potential in her nemesis—and maybe something more. Something Lyssa has never allowed herself to want. 
Something she didn’t think was even an option. 
Can Lyssa persuade the Syndicate to give Scarlett a chance? Or will she follow orders like she always has, and destroy the one person who makes her feel like something more than a monster? 
*Thrown to the Wolves* is part one of the Red Rivals Duet, a twisty, steamy contemporary Sapphic mafia romance based (very) loosely on the Little Red Riding Hood fairytale. Reader discretion is advised, and content notes are available on the Copyright page.
","mobi-asin:B0CW1HLSGW,goodreads:213682838,amazon:B0CW1HLSGW","","","Tono · Picante/Erotico, Arquetipo · Mafia, Paranormal · Lobos/Shifters, Representacion · LGBTQ+ (FF)","Paranormal [REVISAR]","","","","","",""
"Brutal Surrender","Em Brown","","Dark Mafia Omegaverse","2.0","**This dark mafia romance is an enemies-to-lovers romance with revenge, morally grey characters and Omegaverse elements. Full list of triggers listed inside. Read at your own risk.** My conscience died years ago, and there's no limit to my savagery.  I kept my would-be assassin alive just so I could make her life a living hell.  Sadistic f*** that I am, I relish all the ways I can use her own body against her. She's helpless to stop me. All she can do is submit.  Except...she's not like anyone I've ever come across. She doesn't just push my buttons in a way that makes me want to pound her into oblivion. Somehow, she's reaching into my past and pulling it to the forefront, ripping my heart open in the process.  She's going to pay a brutal price for making me bleed.  *Reading* BRUTAL SUBMISSION (Book 1 of the Dark Mafia Omegaverse) *is not required but recommended.*","goodreads:214969155,asin:B0D7DSCSPY,grvotes:291,amazon:B0D7DSCSPY","","","Tono · Morally grey/Antiheroe, Arquetipo · Mafia, Paranormal · Lobos/Shifters, Paranormal · Omegaverse","Romance contemporáneo [REVISAR]","","","","","",""
"Wild Angel","Logan Fox","mafia romance, Enemies To Lovers, Dark Romance, Romance, Dark","A Crime Family Affair","2.0","**I’m her only hope. She’s my greatest weakness.** I told myself a long time ago that women had no place in my kill-or-be-killed world.   I had rules: don’t get distracted, don’t get tied down, and don’t get *weak*.   But then Nyx comes along and breaks every single one of those rules. All tempting curves, blue eyes, and as ruthless as I am.   I should have killed her. The gorgeous assassin was after my own father, for God’s sake.   But instead of killing her, I saved her from a rival cartel.   Now she needs my help. Again.   I was weak before. I can’t get caught up in her again. Not when my enemies know me as a savage killer.   My rules have kept me alive and in power. Breaking them again could have the wolves at my door.   Or worse, *hers*.   But instead of pushing her away, I keep pulling her closer. I should put her in the ground, not in my bed.   Now I don’t know which is worse: that this wild angel might have her hooks in me, or that I might just *like* them there…","amazon:B08ZQ8D512,goodreads:58360380,mobi-asin:B08ZQ8D512","A Dark Mafia Romance","","Dinamica · Enemigos a amantes, Tono · Oscuro, Arquetipo · Mafia, Paranormal · Lobos/Shifters, Paranormal · Angeles y demonios, Subgenero · Policiaco/Detective","Romance contemporáneo [REVISAR]","","","","","",""
"Que sea la última vez...","Màxim Huerta","","","1.0","Margarita Gayo, reina indiscutible e indiscutida de la televisión, recibe una carta de la revista TP que hará tambalearse su vida: quieren darle el premio a toda una carrera... Lo que debería ser motivo de alegría se convierte en una auténtica pesadilla. ¡La están llamando VIEJA! ¡¡¡Le están anticipando la jubilación!!! 
Desde ese mismo día Margarita vivirá sin vivir en sí. Tiene que hacer algo. Por ejemplo, acercarse a la clínica de su amiga Rita para que le dé unos pinchacitos que la hagan parecer más joven, irse de compras a las tiendas haute couture para darse un baño de masas y quitarse la depresión, programar un viajecito a París para adquirir el último modelo de Christian Lacroix... Y todo ello mientras los problemas se suceden a su alrededor: Luchi Lobo, que fue salir de Miss España, ponerse unos pechos enormes en la clínica Mallorca y tener programa para ella solita, le quiere quitar su puesto; en su pueblo, en vez de ofrecerle una plaza conmemorativa, sólo le dan una simple calle... y encima, en París, conoce a un modelazo guapísimo, divertido e inteligente de sólo ¡23 años! que la seduce y la conquista. Y así transcurre su vida hasta que llegue el día de la gran gala, ensayando el discurso una y mil veces: “El PREMIO que hoy tengo entre manos quiero que sea el alimento profesional de todas las demás aspirantes a presentadoras, todas esas misses, putones verbeneros, lobas, carroñeras, perras, busconas, zorrongas, descentradas, arribistas, liantas, alimañas peliteñidas, siliconadas, bichos, perversas, sabandijas, bestias, musarañas, rastreras escotadas, minifalderas golfas y frescas que empiezan en la televisión”...
","mobi-asin:c67e8a56-9611-49f8-b719-d74c7692be5c,goodreads:16077186,isbn:9788427021228","","","Paranormal · Lobos/Shifters, Tono · Trauma/Salud mental","Romance histórico [REVISAR]","","","","","",""
"The Groom Wore Leather","Taylor Manning","Contemporary Romance, Texas, motorcycle","The Grooms Trilogy","4.0","<p>The Ladies Prayer Circle of Ophelia, Texas, has undertaken the task of seeing that Hannah Murphy gets married. But when a bad-boy biker in leather and skin-tight jeans rolls into town, will stubborn Hannah be the first to ruin the Prayer Circle's long string of successes?","isbn:9781601740755","","Contemporary Romance, Texas, motorcycle","Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"The Groom Wore White","Taylor Manning","Love stories; American, Texas, Contemporary Romance","The Grooms Trilogy","3.0","<p>Texas rancher Winnie Davis had a husband and doesn't want another one. She keeps men at arm's length with wolf whistles, dragging them to the dance floor, and calling out her appreciation of the ""stock."" But her sassy behavior is only a wall to keep men away and protect the secret she has kept from everyone, even her very best friends. Winnie's great aunt, Miss Daisy Hemphill and the ladies of the Ophelia, Texas, Prayer Circle seek heavenly assistance in finding husbands for the town's single women. When they take on Winnie's case, she's not glad for the attention.<p>Ophelia's new doctor, Will Barker, is fascinated by the sexy lady rancher, and intrigued by her brash sassiness. He's not looking for anything permanent while he establishes himself in his new hometown, but Winnie's charms are too much to ignore.<p>To send the Prayer Circle ladies on to another victim, Winnie agrees to Will's plan for a pretend romance...until it becomes more.","isbn:9781601741301","","Love Stories; American, Texas, Contemporary Romance","Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"Cardinal House","K. L. Taylor-Lane","_Topics.Forced Proximity, _Topics.Dark","The Blackwell Brothers","4.0","Obsession.  As a Blackwell, it’s my curse.  It lives in all five of my brothers. Two hearts thriving with it, three of them rotting, but I didn’t believe in it. Didn’t want to believe that it would latch itself onto me, sink its claws bone deep and never let go.  Until I meet her.  Suddenly, my whole world shifts, my focus is her and only her, and I won’t stop until she’s mine.  Then, all too quickly, she’s gone.  Stolen away from me in the night, my heart is in pieces.  Rain. Blood. Coffin.  But I won’t give up.  I’ll fight to bring her back to me, uncover her past, and hunt the people that hurt her. Can I defeat the monsters that haunt her, or will I end up being the worst monster of them all?  Cardinal House is a dark gothic MF romance featuring Wolf Blackwell.  Cardinal House can be read as a standalone, but for maximum enjoyment I recommend you read the entire series in order.","goodreads:128079005,grvotes:128,mobi-asin:B0C21GLBDN,amazon:B0C21GLBDN","","","Dinamica · Proximidad forzada, Dinamica · Obsesion/Stalker, Tono · Gotico, Paranormal · Lobos/Shifters, Dinamica · Amor a primera vista","Romantasy [REVISAR]","","","","","",""
"Howling for More","Bailey Bradford","LGBT Romance Fiction","","1.0","<P><B>FROM BESTSELLING AUTHOR OF LGBTQIA ROMANCE BAILEY BRADFORD</B></P><P><B>Book one in the Triple Threat series &amp;#8211; a newly revised edition of <I>Bowen's Battle</I></B></P><P><I>What happens when the wolf is unleashed?</I></P><P>Bowen's used to life as a lone wolf. He has the occasional hook-up, but rarely with the same man twice. Chiz is an exception to his rule, and one night's adventure that neither of them expected forces Bowen to see Chiz as more than just a pretty sub he can scratch his itch for rough sex with.</P><P>Chiz has his own rules for getting off with guys. His secret crush on Bowen was supposed to remain just that—a secret—until the one night that changes everything, and hiding things is impossible.</P><P>Then there's Dare, the big tough bar owner who has questions for Bowen and Chiz and whose attraction to them is too strong to resist...and is just as powerful as the feelings Bowen and Chiz have for him.</P><P>But giving in to the overpowering sexual...","","","LGBT Romance Fiction","Dinamica · Amor no correspondido/Pining, Paranormal · Lobos/Shifters","Paranormal [REVISAR]","","","","","",""
"Bad Wolf","Claire Ivy","second chance romance, Explicit Sex, Romance","","1.0","Knox   Ours was an epic love. Sure, we were young but it seemed like we had it all. And we had our whole lives ahead of us.   Then she broke me. Tore my heart right out of my chest leaving me alone and betrayed. She turned me into a cold, live-for-the-moment playboy who built walls up to protect myself. I’d never let anyone get that close again.   Now it’s six years later and I just hope those barricades are strong enough to withstand her.  Wren   We were so in love. Crowned Prom queen and king and named most likely to get married and start a family. I found my soulmate at fifteen and we had our whole lives ahead of us.   But mistakes were made. I had to break him. Had to put myself between him and that which would ruin him, while shattering my own heart to pieces. Wishing and hoping that one day he’d be able to forgive me.   Now it’s six years later and it’s time he finally knew the truth.","mobi-asin:B0CL8M829Z,amazon:B0CL8M829Z,isbn:9781739769161,goodreads:200091995","","","Dinamica · Segunda oportunidad, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Fated mates","Romance contemporáneo [REVISAR]","","","","","",""
"She Wolf","Claire Ivy","Explicit Sex, Hockey, Hockey Romance, Romance, Sports, Sports Romance","Wolves Hockey","2.0","Friends to Lovers, Teammates sister, Best friends sister, Single Mom  Book Two in the Wolves Hockey Series - Available for Pre Order Now!  Releasing January 1st 2023  Gunner  Have you ever wanted someone so bad it hurts? Been so consumed by need, you wonder how you function? Except, it’s so sweet and addicting, you just can’t help but keep coming back for more. Well, that’s me and let me tell you it’s like constantly being in penalty kill mode. And the worst part of it all?  It’s so close and almost mine for the taking. Notice the “almost” there? Yep, technically the girl with the butt that won’t quit belonged to someone else and my poor caveman heart couldn’t stand it. But now the divorce is final and I’m about to make the biggest play of my life.  Four years ago, my best friend introduced me to his twin sister and it’s time to make her mine.  Coralie  Have you ever wanted someone so bad it hurts? Been so consumed by need, you wonder how you function? Except the pull is so strong, you can’t help but keep wishing for just that little bit more? Well, that’s me and let me tell you, it’s not easy. And the worst part of it all? It’s so close and almost mine for the taking.  Notice the “almost” there? Yep, I’m the one who married the wrong man, and my lonely, wasted heart pined for the boy in plaid. But now the divorce is final and I’m about to take the biggest leap of my life.  Four years ago, my brother introduced me to his best friend and it’s time to make him mine.  She Wolf is a full-length sports romance with a HEA and is book two in the Wolves hockey series. Can be read as stand alone but probably best enjoyed in order.","isbn:9781739769123,amazon:B0BPJVSR87,goodreads:64664099","","explicit sex, Find Orgasm, Romance, Find Magic","Dinamica · Amigos a amantes, Dinamica · Hermano del mejor amigo/a, Dinamica · Padre/Madre soltero/a, Tono · Picante/Erotico, Arquetipo · Deportistas, Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
